DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2006-05-25,4.03,4.61,4.02,4.6,39534300.0,4.6,GOOG-H
2006-05-26,4.63,4.67,4.41,4.49,10304400.0,4.49,GOOG-H
2006-05-30,4.5,4.5,4.29,4.4,4989800.0,4.4,GOOG-H
2006-05-31,4.43,4.54,4.43,4.49,3000200.0,4.49,GOOG-H
2006-06-01,4.49,4.81,4.49,4.75,6234400.0,4.75,GOOG-H
2006-06-02,4.85,4.87,4.68,4.7,3725300.0,4.7,GOOG-H
2006-06-05,4.71,4.93,4.7,4.92,3718800.0,4.92,GOOG-H
2006-06-06,5.0,5.06,4.78,4.83,4904500.0,4.83,GOOG-H
2006-06-07,4.83,4.84,4.68,4.76,2501300.0,4.76,GOOG-H
2006-06-08,4.76,4.77,4.55,4.77,3443900.0,4.77,GOOG-H
2006-06-09,4.88,4.88,4.77,4.78,1337200.0,4.78,GOOG-H
2006-06-12,4.8,4.83,4.63,4.7,1454600.0,4.7,GOOG-H
2006-06-13,4.62,4.74,4.53,4.55,1671600.0,4.55,GOOG-H
2006-06-14,4.49,4.55,4.44,4.51,1597100.0,4.51,GOOG-H
2006-06-15,4.54,4.61,4.51,4.6,1650000.0,4.6,GOOG-H
2006-06-16,4.55,4.6,4.5,4.5,1228000.0,4.5,GOOG-H
2006-06-19,4.55,4.55,4.41,4.43,1150900.0,4.43,GOOG-H
2006-06-20,4.47,4.5,4.35,4.4,2379200.0,4.4,GOOG-H
2006-06-21,4.4,4.59,4.4,4.53,1806300.0,4.53,GOOG-H
2006-06-22,4.64,4.7,4.59,4.66,1303800.0,4.66,GOOG-H
2006-06-23,4.7,4.79,4.69,4.7,1161200.0,4.7,GOOG-H
2006-06-26,4.7,4.75,4.64,4.75,856500.0,4.75,GOOG-H
2006-06-27,4.75,4.8,4.72,4.73,982700.0,4.73,GOOG-H
2006-06-28,4.68,4.74,4.65,4.7,875600.0,4.7,GOOG-H
2006-06-29,4.7,4.81,4.7,4.8,1447100.0,4.8,GOOG-H
2006-06-30,4.76,4.8,4.66,4.8,2596400.0,4.8,GOOG-H
2006-07-03,4.79,4.8,4.68,4.73,702900.0,4.73,GOOG-H
2006-07-05,4.74,4.78,4.67,4.76,1326600.0,4.76,GOOG-H
2006-07-06,4.72,4.74,4.68,4.68,809700.0,4.68,GOOG-H
2006-07-07,4.68,4.68,4.58,4.61,838000.0,4.61,GOOG-H
2006-07-10,4.62,4.66,4.61,4.65,497800.0,4.65,GOOG-H
2006-07-11,4.65,4.65,4.53,4.64,807900.0,4.64,GOOG-H
2006-07-12,4.64,4.64,4.55,4.56,767200.0,4.56,GOOG-H
2006-07-13,4.52,4.52,4.43,4.47,1662500.0,4.47,GOOG-H
2006-07-14,4.46,4.47,4.39,4.39,966300.0,4.39,GOOG-H
2006-07-17,4.39,4.42,4.38,4.4,645800.0,4.4,GOOG-H
2006-07-18,4.4,4.41,4.37,4.39,1248300.0,4.39,GOOG-H
2006-07-19,4.39,4.55,4.38,4.53,1584000.0,4.53,GOOG-H
2006-07-20,4.54,4.58,4.51,4.56,882900.0,4.56,GOOG-H
2006-07-21,4.55,4.56,4.48,4.53,851100.0,4.53,GOOG-H
2006-07-24,4.55,4.55,4.5,4.5,501700.0,4.5,GOOG-H
2006-07-25,4.52,4.64,4.52,4.61,690000.0,4.61,GOOG-H
2006-07-26,4.61,4.79,4.58,4.67,1033800.0,4.67,GOOG-H
2006-07-27,4.69,4.72,4.65,4.65,600900.0,4.65,GOOG-H
2006-07-28,4.65,4.68,4.63,4.63,433900.0,4.63,GOOG-H
2006-07-31,4.63,4.64,4.59,4.59,461700.0,4.59,GOOG-H
2006-08-01,4.59,4.59,4.47,4.5,740400.0,4.5,GOOG-H
2006-08-02,4.81,5.01,4.73,5.0,5337400.0,5.0,GOOG-H
2006-08-03,4.91,5.02,4.87,5.0,2169000.0,5.0,GOOG-H
2006-08-04,5.03,5.15,5.0,5.01,1421600.0,5.01,GOOG-H
2006-08-07,5.05,5.13,5.03,5.11,691800.0,5.11,GOOG-H
2006-08-08,5.11,5.27,5.11,5.26,1407300.0,5.26,GOOG-H
2006-08-09,5.3,5.45,5.2,5.29,1504300.0,5.29,GOOG-H
2006-08-10,5.22,5.39,5.21,5.36,872500.0,5.36,GOOG-H
2006-08-11,5.35,5.45,5.33,5.37,907800.0,5.37,GOOG-H
2006-08-14,5.38,5.45,5.35,5.42,631400.0,5.42,GOOG-H
2006-08-15,5.47,5.49,5.43,5.45,856100.0,5.45,GOOG-H
2006-08-16,5.47,5.54,5.42,5.43,1534400.0,5.43,GOOG-H
2006-08-17,5.42,5.42,5.32,5.35,1021700.0,5.35,GOOG-H
2006-08-18,5.31,5.37,5.25,5.35,934300.0,5.35,GOOG-H
2006-08-21,5.33,5.56,5.28,5.43,1248700.0,5.43,GOOG-H
2006-08-22,5.42,5.55,5.42,5.52,976100.0,5.52,GOOG-H
2006-08-23,5.55,5.58,5.45,5.46,1043900.0,5.46,GOOG-H
2006-08-24,5.49,5.59,5.48,5.57,542000.0,5.57,GOOG-H
2006-08-25,5.58,5.59,5.49,5.5,801600.0,5.5,GOOG-H
2006-08-28,5.49,5.55,5.48,5.5,374800.0,5.5,GOOG-H
2006-08-29,5.53,5.57,5.52,5.54,321400.0,5.54,GOOG-H
2006-08-30,5.55,5.58,5.52,5.53,580100.0,5.53,GOOG-H
2006-08-31,5.53,5.62,5.53,5.59,702300.0,5.59,GOOG-H
2006-09-01,5.6,5.75,5.6,5.66,2055900.0,5.66,GOOG-H
2006-09-05,5.69,5.72,5.63,5.69,461800.0,5.69,GOOG-H
2006-09-06,5.69,5.89,5.66,5.89,1575300.0,5.89,GOOG-H
2006-09-07,5.85,6.09,5.85,6.01,2654900.0,6.01,GOOG-H
2006-09-08,6.1,6.13,5.93,5.98,1517700.0,5.98,GOOG-H
2006-09-11,5.98,6.2,5.96,6.19,1706400.0,6.19,GOOG-H
2006-09-12,6.1,6.21,6.1,6.21,1699500.0,6.21,GOOG-H
2006-09-13,6.2,6.23,6.09,6.14,1235500.0,6.14,GOOG-H
2006-09-14,6.09,6.33,6.07,6.28,1301000.0,6.28,GOOG-H
2006-09-15,6.28,6.52,6.28,6.5,1931500.0,6.5,GOOG-H
2006-09-18,6.57,6.76,6.43,6.51,2365600.0,6.51,GOOG-H
2006-09-19,6.5,6.62,6.43,6.48,1726800.0,6.48,GOOG-H
2006-09-20,6.51,6.67,6.45,6.66,1347600.0,6.66,GOOG-H
2006-09-21,6.75,6.96,6.7,6.91,2906500.0,6.91,GOOG-H
2006-09-22,6.9,6.95,6.51,6.59,2987500.0,6.59,GOOG-H
2006-09-25,6.53,6.57,6.22,6.44,3567700.0,6.44,GOOG-H
2006-09-26,6.34,6.73,6.28,6.6,4000100.0,6.6,GOOG-H
2006-09-27,6.7,6.79,6.55,6.78,1963700.0,6.78,GOOG-H
2006-09-28,6.77,6.89,6.77,6.87,1339700.0,6.87,GOOG-H
2006-09-29,6.85,7.05,6.76,7.04,2007100.0,7.04,GOOG-H
2006-10-02,7.04,7.04,6.97,7.0,1739300.0,7.0,GOOG-H
2006-10-03,6.84,7.09,6.84,6.97,1673300.0,6.97,GOOG-H
2006-10-04,7.0,7.04,6.88,6.96,1367900.0,6.96,GOOG-H
2006-10-05,6.98,7.29,6.9,7.26,2576300.0,7.26,GOOG-H
2006-10-06,7.24,7.59,7.2,7.52,3541000.0,7.52,GOOG-H
2006-10-09,7.19,7.32,7.1,7.28,3709100.0,7.28,GOOG-H
2006-10-10,7.12,7.33,7.05,7.19,2676500.0,7.19,GOOG-H
2006-10-11,7.1,7.1,6.83,6.95,3548400.0,6.95,GOOG-H
2006-10-12,6.91,7.08,6.87,7.04,1511700.0,7.04,GOOG-H
2006-10-13,7.1,7.17,6.98,7.01,1132100.0,7.01,GOOG-H
2006-10-16,7.0,7.17,6.99,7.13,880200.0,7.13,GOOG-H
2006-10-17,7.11,7.12,6.93,6.95,986500.0,6.95,GOOG-H
2006-10-18,6.96,7.12,6.95,7.05,856200.0,7.05,GOOG-H
2006-10-19,7.05,7.29,6.98,7.23,1345700.0,7.23,GOOG-H
2006-10-20,7.28,7.29,7.1,7.12,526400.0,7.12,GOOG-H
2006-10-23,7.14,7.16,6.98,7.03,738900.0,7.03,GOOG-H
2006-10-24,7.02,7.15,6.99,7.12,851200.0,7.12,GOOG-H
2006-10-25,7.13,7.13,7.05,7.08,1134900.0,7.08,GOOG-H
2006-10-26,7.09,7.4,6.99,7.22,2115200.0,7.22,GOOG-H
2006-10-27,6.95,7.3,6.9,7.26,2674100.0,7.26,GOOG-H
2006-10-30,7.26,7.36,7.18,7.25,1747100.0,7.25,GOOG-H
2006-10-31,7.27,7.63,7.19,7.41,3594200.0,7.41,GOOG-H
2006-11-01,8.2,8.75,8.18,8.51,14128700.0,8.51,GOOG-H
2006-11-02,8.38,8.81,8.25,8.76,6255400.0,8.76,GOOG-H
2006-11-03,8.77,8.98,8.68,8.95,4249300.0,8.95,GOOG-H
2006-11-06,9.0,9.71,9.0,9.63,9780600.0,9.63,GOOG-H
2006-11-07,9.57,9.62,9.24,9.25,7162700.0,9.25,GOOG-H
2006-11-08,9.2,9.2,8.81,8.84,6419000.0,8.84,GOOG-H
2006-11-09,9.15,9.24,8.82,8.82,6299600.0,8.82,GOOG-H
2006-11-10,8.86,9.05,8.78,8.92,2854300.0,8.92,GOOG-H
2006-11-13,9.4,9.8,9.33,9.65,11418500.0,9.65,GOOG-H
2006-11-14,9.68,9.72,9.44,9.52,3853000.0,9.52,GOOG-H
2006-11-15,9.52,9.97,9.5,9.53,5661000.0,9.53,GOOG-H
2006-11-16,9.63,9.72,9.39,9.45,3565100.0,9.45,GOOG-H
2006-11-17,9.34,9.54,9.21,9.48,2853100.0,9.48,GOOG-H
2006-11-20,9.4,9.62,9.37,9.62,2290500.0,9.62,GOOG-H
2006-11-21,9.85,10.08,9.65,10.06,5951600.0,10.06,GOOG-H
2006-11-22,10.18,10.39,10.08,10.33,4265300.0,10.33,GOOG-H
2006-11-24,10.19,10.59,10.05,10.55,2175200.0,10.55,GOOG-H
2006-11-27,10.6,10.86,9.9,9.9,7371100.0,9.9,GOOG-H
2006-11-28,9.75,10.1,9.55,10.07,6162500.0,10.07,GOOG-H
2006-11-29,10.24,10.27,9.69,9.92,4899600.0,9.92,GOOG-H
2006-11-30,9.93,10.2,9.65,10.18,4128400.0,10.18,GOOG-H
2006-12-01,10.22,10.25,9.91,10.12,3521300.0,10.12,GOOG-H
2006-12-04,10.1,10.15,9.93,10.01,2027800.0,10.01,GOOG-H
2006-12-05,10.0,10.23,9.9,9.93,2127000.0,9.93,GOOG-H
2006-12-06,10.12,10.2,9.85,9.91,3008100.0,9.91,GOOG-H
