DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-04-05,12.92,14.04,12.75,13.7,65621000.0,13.7,GOOG-H
2000-04-06,13.71,13.92,13.59,13.87,15204800.0,13.87,GOOG-H
2000-04-07,13.71,13.87,13.48,13.65,13486200.0,13.65,GOOG-H
2000-04-10,13.76,13.81,13.59,13.76,5637200.0,13.76,GOOG-H
2000-04-11,13.64,13.7,13.42,13.48,5055100.0,13.48,GOOG-H
2000-04-12,13.59,14.93,13.48,14.43,10846600.0,14.43,GOOG-H
2000-04-13,14.48,15.37,14.2,15.15,10626100.0,15.15,GOOG-H
2000-04-14,15.1,15.15,14.09,14.15,9750300.0,14.15,GOOG-H
2000-04-17,14.26,14.65,14.26,14.37,3522200.0,14.37,GOOG-H
2000-04-18,14.43,14.54,13.81,14.37,5422400.0,14.37,GOOG-H
2000-04-19,14.43,14.43,14.04,14.26,5348800.0,14.26,GOOG-H
2000-04-20,14.04,14.2,13.7,13.76,6912000.0,13.76,GOOG-H
2000-04-24,13.81,14.26,13.76,14.2,3114800.0,14.2,GOOG-H
2000-04-25,14.15,14.31,14.15,14.26,6755100.0,14.26,GOOG-H
2000-04-26,14.2,14.31,14.2,14.31,5648300.0,14.31,GOOG-H
2000-04-27,14.04,14.26,13.81,14.2,2319100.0,14.2,GOOG-H
2000-04-28,14.04,15.04,13.7,14.76,5681300.0,14.76,GOOG-H
2000-05-01,15.26,15.98,15.04,15.98,5439900.0,15.98,GOOG-H
2000-05-02,15.54,15.98,15.54,15.87,2843400.0,15.87,GOOG-H
2000-05-03,15.37,15.98,15.37,15.6,1778000.0,15.6,GOOG-H
2000-05-04,15.48,15.6,14.43,15.6,2974500.0,15.6,GOOG-H
2000-05-05,15.48,15.87,15.26,15.65,1690800.0,15.65,GOOG-H
2000-05-08,15.93,16.49,15.87,16.04,2647100.0,16.04,GOOG-H
2000-05-09,16.21,16.26,14.93,15.26,3869800.0,15.26,GOOG-H
2000-05-10,15.15,15.87,15.15,15.65,2830200.0,15.65,GOOG-H
2000-05-11,15.48,16.32,15.48,16.04,2425500.0,16.04,GOOG-H
2000-05-12,16.15,16.54,16.1,16.43,1472500.0,16.43,GOOG-H
2000-05-15,16.93,17.15,16.6,16.88,2277500.0,16.88,GOOG-H
2000-05-16,16.93,17.43,16.76,16.99,3957000.0,16.99,GOOG-H
2000-05-17,16.93,17.54,16.37,16.99,1179600.0,16.99,GOOG-H
2000-05-18,16.93,16.99,16.65,16.82,2500300.0,16.82,GOOG-H
2000-05-19,16.49,16.49,16.15,16.21,3658700.0,16.21,GOOG-H
2000-05-22,16.26,16.37,15.48,16.26,1546800.0,16.26,GOOG-H
2000-05-23,16.26,16.93,16.26,16.82,1558500.0,16.82,GOOG-H
2000-05-24,16.82,17.38,16.65,17.32,1116700.0,17.32,GOOG-H
2000-05-25,16.88,17.27,16.76,17.1,982900.0,17.1,GOOG-H
2000-05-26,16.88,17.66,16.88,17.6,2462500.0,17.6,GOOG-H
2000-05-30,17.77,17.93,17.38,17.71,2961400.0,17.71,GOOG-H
2000-05-31,17.71,18.27,17.27,18.27,2325400.0,18.27,GOOG-H
2000-06-01,18.21,18.21,17.82,17.82,2657900.0,17.82,GOOG-H
2000-06-02,18.71,18.71,18.16,18.71,3238800.0,18.71,GOOG-H
2000-06-05,18.6,18.6,18.16,18.32,1517400.0,18.32,GOOG-H
2000-06-06,18.6,18.6,18.16,18.21,2861700.0,18.21,GOOG-H
2000-06-07,18.44,18.44,18.16,18.44,820700.0,18.44,GOOG-H
2000-06-08,18.44,18.44,18.05,18.21,835300.0,18.21,GOOG-H
2000-06-09,18.6,18.71,18.05,18.71,1039800.0,18.71,GOOG-H
2000-06-12,18.49,18.49,17.54,18.21,778800.0,18.21,GOOG-H
2000-06-13,18.44,18.55,17.99,18.55,875600.0,18.55,GOOG-H
2000-06-14,18.32,18.38,17.66,17.71,2099300.0,17.71,GOOG-H
2000-06-15,17.99,17.99,17.71,17.82,1472300.0,17.82,GOOG-H
2000-06-16,17.99,17.99,17.6,17.88,2528900.0,17.88,GOOG-H
2000-06-19,17.82,17.93,17.66,17.82,1122400.0,17.82,GOOG-H
2000-06-20,17.71,17.88,16.54,16.76,2674400.0,16.76,GOOG-H
2000-06-21,16.76,17.04,16.15,16.49,2183800.0,16.49,GOOG-H
2000-06-22,16.65,17.32,16.6,17.1,1835500.0,17.1,GOOG-H
2000-06-23,16.93,17.38,16.71,17.21,1878500.0,17.21,GOOG-H
2000-06-26,17.82,17.82,17.04,17.54,1125500.0,17.54,GOOG-H
2000-06-27,17.32,18.27,17.1,17.71,1802700.0,17.71,GOOG-H
2000-06-28,18.05,18.05,17.32,17.43,2753800.0,17.43,GOOG-H
2000-06-29,17.71,19.22,17.49,18.99,4568900.0,18.99,GOOG-H
2000-06-30,19.38,19.38,16.93,18.77,4037800.0,18.77,GOOG-H
2000-07-03,18.49,19.1,18.44,19.05,679900.0,19.05,GOOG-H
2000-07-05,18.94,18.94,18.27,18.83,1788700.0,18.83,GOOG-H
2000-07-06,18.38,19.61,18.32,19.49,1345700.0,19.49,GOOG-H
2000-07-07,19.38,19.66,19.38,19.49,1327500.0,19.49,GOOG-H
2000-07-10,19.38,19.49,19.1,19.1,708400.0,19.1,GOOG-H
2000-07-11,18.99,18.99,18.27,18.55,1259900.0,18.55,GOOG-H
2000-07-12,18.6,18.6,17.88,18.21,1731500.0,18.21,GOOG-H
2000-07-13,18.21,18.21,17.66,17.66,1630700.0,17.66,GOOG-H
2000-07-14,17.66,18.83,17.66,18.55,1120600.0,18.55,GOOG-H
2000-07-17,18.05,18.83,18.05,18.1,507000.0,18.1,GOOG-H
2000-07-18,17.88,18.21,17.88,18.16,2224800.0,18.16,GOOG-H
2000-07-19,17.93,18.55,17.93,18.21,1264800.0,18.21,GOOG-H
2000-07-20,17.93,18.77,17.93,18.49,1605900.0,18.49,GOOG-H
2000-07-21,18.49,18.71,18.32,18.49,726200.0,18.49,GOOG-H
2000-07-24,18.1,18.27,17.82,18.27,670000.0,18.27,GOOG-H
2000-07-25,18.1,18.88,18.05,18.71,1104800.0,18.71,GOOG-H
2000-07-26,18.44,18.88,18.44,18.55,1076300.0,18.55,GOOG-H
2000-07-27,18.16,18.94,18.16,18.21,724900.0,18.21,GOOG-H
2000-07-28,17.88,18.21,17.88,18.16,720800.0,18.16,GOOG-H
2000-07-31,18.27,18.83,17.99,18.71,2114300.0,18.71,GOOG-H
2000-08-01,18.66,18.94,18.49,18.83,1874300.0,18.83,GOOG-H
2000-08-02,18.71,18.83,18.44,18.6,1242600.0,18.6,GOOG-H
2000-08-03,18.6,18.66,17.71,17.93,2856400.0,17.93,GOOG-H
2000-08-04,17.93,18.1,17.27,18.1,3804400.0,18.1,GOOG-H
2000-08-07,18.44,19.94,18.38,19.94,3370900.0,19.94,GOOG-H
2000-08-08,21.28,21.72,20.72,20.77,8207300.0,20.77,GOOG-H
2000-08-09,20.72,21.11,20.16,20.33,2907200.0,20.33,GOOG-H
2000-08-10,20.5,21.39,20.27,21.39,4053500.0,21.39,GOOG-H
2000-08-11,21.39,21.55,20.89,21.39,1922200.0,21.39,GOOG-H
2000-08-14,21.39,21.44,21.16,21.33,1075800.0,21.33,GOOG-H
2000-08-15,21.33,21.44,21.05,21.39,688200.0,21.39,GOOG-H
2000-08-16,21.28,21.28,20.66,20.94,623200.0,20.94,GOOG-H
2000-08-17,21.28,21.44,20.94,21.33,794800.0,21.33,GOOG-H
2000-08-18,21.0,21.44,20.94,21.22,871100.0,21.22,GOOG-H
2000-08-21,21.22,21.44,20.89,21.16,754900.0,21.16,GOOG-H
2000-08-22,21.28,21.55,20.83,21.39,1634100.0,21.39,GOOG-H
2000-08-23,21.16,22.28,21.16,22.22,1124400.0,22.22,GOOG-H
2000-08-24,22.17,22.33,21.5,21.55,1298500.0,21.55,GOOG-H
2000-08-25,21.67,21.67,21.0,21.05,592800.0,21.05,GOOG-H
2000-08-28,20.94,21.16,20.83,20.94,768500.0,20.94,GOOG-H
2000-08-29,21.05,21.44,21.0,21.39,1019000.0,21.39,GOOG-H
2000-08-30,21.39,22.17,21.33,22.11,1613700.0,22.11,GOOG-H
2000-08-31,22.11,22.22,21.55,21.67,1044600.0,21.67,GOOG-H
2000-09-01,21.83,22.45,21.39,22.17,1490400.0,22.17,GOOG-H
2000-09-05,21.72,22.22,21.16,21.61,1738500.0,21.61,GOOG-H
2000-09-06,21.83,22.06,21.78,21.83,1128800.0,21.83,GOOG-H
2000-09-07,22.06,22.17,21.72,21.94,1321900.0,21.94,GOOG-H
2000-09-08,22.0,22.5,21.89,22.33,337300.0,22.33,GOOG-H
2000-09-11,22.5,22.67,21.61,22.11,1159800.0,22.11,GOOG-H
2000-09-12,22.22,22.22,21.28,21.94,1558100.0,21.94,GOOG-H
2000-09-13,21.94,22.95,21.61,22.72,2237500.0,22.72,GOOG-H
2000-09-14,22.5,22.5,21.94,22.17,1654000.0,22.17,GOOG-H
2000-09-15,22.22,22.28,21.83,21.89,808200.0,21.89,GOOG-H
