DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-02-15,38.4,45.44,38.4,41.6,228100.0,41.6,GOOG-H
2011-02-16,44.8,44.8,40.32,40.32,214900.0,40.32,GOOG-H
2011-02-17,35.84,38.4,35.2,35.2,489850.0,35.2,GOOG-H
2011-02-18,37.76,41.6,37.76,40.96,20000.0,40.96,GOOG-H
2011-02-22,40.96,40.96,34.56,35.2,243045.0,35.2,GOOG-H
2011-02-23,33.92,39.68,33.92,38.4,339000.0,38.4,GOOG-H
2011-02-24,38.4,38.4,33.92,34.56,60000.0,34.56,GOOG-H
2011-02-25,38.4,38.4,35.2,35.2,61700.0,35.2,GOOG-H
2011-02-28,35.84,35.84,35.84,35.84,19200.0,35.84,GOOG-H
2011-03-01,35.84,36.48,35.84,35.84,112500.0,35.84,GOOG-H
2011-03-02,35.84,35.84,35.84,35.84,150000.0,35.84,GOOG-H
2011-03-03,35.84,35.84,35.2,35.84,93500.0,35.84,GOOG-H
2011-03-04,37.12,38.4,35.84,38.4,46020.0,38.4,GOOG-H
2011-03-07,38.4,38.4,36.48,38.4,819750.0,38.4,GOOG-H
2011-03-08,40.96,41.6,40.96,41.6,64740.0,41.6,GOOG-H
2011-03-09,39.68,41.6,39.68,41.6,395525.0,41.6,GOOG-H
2011-03-10,40.96,42.88,38.4,38.4,779850.0,38.4,GOOG-H
2011-03-11,41.6,41.6,38.4,40.96,21800.0,40.96,GOOG-H
2011-03-14,44.8,44.8,41.6,42.24,35500.0,42.24,GOOG-H
2011-03-15,41.6,44.8,40.32,44.8,210200.0,44.8,GOOG-H
2011-03-16,44.8,44.8,40.32,44.8,117200.0,44.8,GOOG-H
2011-03-17,43.52,48.0,43.52,44.8,983500.0,44.8,GOOG-H
2011-03-18,44.8,44.8,44.8,44.8,20000.0,44.8,GOOG-H
2011-03-21,50.56,50.56,50.56,50.56,13000.0,50.56,GOOG-H
2011-03-22,48.0,48.0,48.0,48.0,12300.0,48.0,GOOG-H
2011-03-23,48.0,48.0,48.0,48.0,28867.0,48.0,GOOG-H
2011-03-24,48.0,48.0,45.44,45.44,207500.0,45.44,GOOG-H
2011-03-25,47.36,51.2,46.08,49.28,30500.0,49.28,GOOG-H
2011-03-28,45.44,46.72,45.44,45.44,26000.0,45.44,GOOG-H
2011-03-29,46.08,48.0,45.44,48.0,31200.0,48.0,GOOG-H
2011-03-30,48.0,51.2,48.0,48.64,119000.0,48.64,GOOG-H
2011-03-31,48.0,48.0,48.0,48.0,45000.0,48.0,GOOG-H
2011-04-01,46.72,49.92,46.08,49.92,361500.0,49.92,GOOG-H
2011-04-04,49.92,49.92,47.36,49.92,44660.0,49.92,GOOG-H
2011-04-05,50.56,51.2,48.64,51.2,135900.0,51.2,GOOG-H
2011-04-06,50.56,53.76,50.56,53.12,222250.0,53.12,GOOG-H
2011-04-07,51.84,53.76,51.2,52.48,80200.0,52.48,GOOG-H
2011-04-08,51.84,51.84,48.0,49.28,249500.0,49.28,GOOG-H
2011-04-11,50.56,56.96,49.92,52.48,710400.0,52.48,GOOG-H
2011-04-12,52.48,53.12,49.92,53.12,76500.0,53.12,GOOG-H
2011-04-13,52.48,53.76,48.0,51.2,146000.0,51.2,GOOG-H
2011-04-14,52.48,52.48,50.56,51.84,108500.0,51.84,GOOG-H
2011-04-15,52.48,52.48,50.56,51.2,61000.0,51.2,GOOG-H
2011-04-18,51.2,51.84,46.72,46.72,67380.0,46.72,GOOG-H
2011-04-19,46.72,46.72,44.8,44.8,53000.0,44.8,GOOG-H
2011-04-21,44.8,44.8,38.4,43.52,95417.0,43.52,GOOG-H
2011-04-26,44.8,49.92,44.16,49.92,83000.0,49.92,GOOG-H
2011-04-27,49.28,50.56,45.44,45.44,88000.0,45.44,GOOG-H
2011-04-28,49.92,49.92,49.92,49.92,30500.0,49.92,GOOG-H
2011-04-29,50.56,51.2,48.0,49.28,72000.0,49.28,GOOG-H
2011-05-02,51.2,52.48,49.92,51.2,154500.0,51.2,GOOG-H
2011-05-03,51.2,51.2,48.64,51.2,62500.0,51.2,GOOG-H
2011-05-04,51.2,51.2,48.0,49.28,82000.0,49.28,GOOG-H
2011-05-05,46.72,46.72,46.72,46.72,1500.0,46.72,GOOG-H
2011-05-06,48.0,48.0,46.72,46.72,4500.0,46.72,GOOG-H
2011-05-09,48.0,48.0,46.08,46.08,28500.0,46.08,GOOG-H
2011-05-10,49.28,49.28,49.28,49.28,4480.0,49.28,GOOG-H
