DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,56.97,57.28,54.84,56.03,12400.0,56.03,GOOG-H
2000-01-04,54.79,54.89,51.05,51.88,2600.0,51.88,GOOG-H
2000-01-05,51.47,51.55,48.67,49.99,11800.0,49.99,GOOG-H
2000-01-06,49.96,51.86,49.91,50.95,41000.0,50.95,GOOG-H
2000-01-07,50.01,52.69,49.57,52.53,45100.0,52.53,GOOG-H
2000-01-10,52.66,54.37,52.53,54.22,51200.0,54.22,GOOG-H
2000-01-11,54.79,54.84,53.75,54.22,12800.0,54.22,GOOG-H
2000-01-12,54.32,55.88,54.16,54.63,32600.0,54.63,GOOG-H
2000-01-13,54.79,55.28,53.96,54.97,7200.0,54.97,GOOG-H
2000-01-14,56.14,57.12,55.38,56.99,22500.0,56.99,GOOG-H
2000-01-18,57.0,57.59,55.49,55.51,8800.0,55.51,GOOG-H
2000-01-19,55.88,56.94,55.83,56.32,17100.0,56.32,GOOG-H
2000-01-20,55.68,56.97,55.25,55.96,9000.0,55.96,GOOG-H
2000-01-21,55.93,55.93,54.58,55.0,3200.0,55.0,GOOG-H
2000-01-24,55.41,55.83,52.04,53.13,60100.0,53.13,GOOG-H
2000-01-25,53.03,54.53,52.71,53.72,12600.0,53.72,GOOG-H
2000-01-26,54.16,55.15,53.23,55.15,9000.0,55.15,GOOG-H
2000-01-27,54.79,56.76,54.58,56.09,43200.0,56.09,GOOG-H
2000-01-28,54.79,56.19,52.19,52.56,57700.0,52.56,GOOG-H
2000-01-31,52.71,55.0,51.88,55.0,40800.0,55.0,GOOG-H
2000-02-01,54.48,54.68,52.76,53.13,149200.0,53.13,GOOG-H
2000-02-02,52.92,55.83,51.99,54.06,83400.0,54.06,GOOG-H
2000-02-03,54.79,55.31,53.33,54.79,43100.0,54.79,GOOG-H
2000-02-04,54.48,54.68,53.18,54.53,31100.0,54.53,GOOG-H
2000-02-07,53.54,54.27,53.13,54.06,126900.0,54.06,GOOG-H
2000-02-08,55.62,57.02,55.2,56.29,61800.0,56.29,GOOG-H
2000-02-09,57.12,57.23,55.2,55.77,46600.0,55.77,GOOG-H
2000-02-10,55.83,56.45,54.63,55.46,29500.0,55.46,GOOG-H
2000-02-11,55.52,57.33,55.1,55.41,60200.0,55.41,GOOG-H
2000-02-14,56.03,56.24,54.58,54.79,92300.0,54.79,GOOG-H
2000-02-15,53.8,54.53,53.54,54.42,82900.0,54.42,GOOG-H
2000-02-16,54.42,55.15,53.33,54.42,45800.0,54.42,GOOG-H
2000-02-17,54.12,54.37,52.19,52.5,27000.0,52.5,GOOG-H
2000-02-18,52.5,53.33,49.91,50.84,23200.0,50.84,GOOG-H
2000-02-22,51.67,52.09,50.22,51.73,37100.0,51.73,GOOG-H
2000-02-23,51.52,55.83,51.16,54.58,63300.0,54.58,GOOG-H
2000-02-24,56.03,58.32,54.89,57.33,21000.0,57.33,GOOG-H
2000-02-25,57.39,59.09,56.24,58.0,22400.0,58.0,GOOG-H
2000-02-28,56.86,57.9,56.45,57.43,39200.0,57.43,GOOG-H
2000-02-29,57.23,58.47,56.55,58.47,252600.0,58.47,GOOG-H
2000-03-01,59.67,62.67,59.35,62.47,247100.0,62.47,GOOG-H
2000-03-02,62.05,64.13,61.48,63.56,216100.0,63.56,GOOG-H
2000-03-03,64.96,65.74,62.98,65.74,168900.0,65.74,GOOG-H
2000-03-06,65.84,67.4,65.74,67.14,199600.0,67.14,GOOG-H
2000-03-07,67.45,68.38,66.51,67.24,94700.0,67.24,GOOG-H
2000-03-08,67.19,67.24,64.65,65.58,37200.0,65.58,GOOG-H
2000-03-09,66.2,69.21,65.58,69.21,47600.0,69.21,GOOG-H
2000-03-10,70.05,74.5,69.68,71.91,53000.0,71.91,GOOG-H
2000-03-13,68.9,71.08,66.93,68.48,43100.0,68.48,GOOG-H
2000-03-14,68.07,70.51,65.01,69.13,40700.0,69.13,GOOG-H
2000-03-15,66.77,66.93,64.54,64.75,37100.0,64.75,GOOG-H
2000-03-16,63.5,67.24,61.22,67.03,33600.0,67.03,GOOG-H
2000-03-17,68.33,73.83,68.12,73.78,17500.0,73.78,GOOG-H
2000-03-20,74.71,76.27,72.58,72.79,23500.0,72.79,GOOG-H
2000-03-21,71.02,73.88,69.16,73.62,184320000.0,73.62,GOOG-H
2000-03-22,74.71,75.49,74.24,74.81,35400.0,74.81,GOOG-H
2000-03-23,74.97,78.86,71.6,78.65,17600.0,78.65,GOOG-H
2000-03-24,77.52,80.83,77.51,79.54,17200.0,79.54,GOOG-H
2000-03-27,78.34,78.34,74.09,74.71,8300.0,74.71,GOOG-H
2000-03-28,72.22,74.4,71.86,73.05,12500.0,73.05,GOOG-H
2000-03-29,73.47,74.04,69.57,72.01,21100.0,72.01,GOOG-H
2000-03-30,71.02,73.26,68.74,69.83,27800.0,69.83,GOOG-H
2000-03-31,69.31,69.83,65.99,68.8,36700.0,68.8,GOOG-H
2000-04-03,69.26,72.01,67.81,70.87,24500.0,70.87,GOOG-H
2000-04-04,71.6,71.6,61.48,65.27,55500.0,65.27,GOOG-H
2000-04-05,65.06,67.14,62.93,66.2,12400.0,66.2,GOOG-H
2000-04-06,67.24,70.97,67.24,70.82,8500.0,70.82,GOOG-H
2000-04-07,72.38,72.38,70.2,70.2,11500.0,70.2,GOOG-H
2000-04-10,71.39,74.76,71.18,73.67,8500.0,73.67,GOOG-H
2000-04-11,73.26,73.67,70.14,71.44,7300.0,71.44,GOOG-H
2000-04-12,73.67,73.67,65.99,66.2,8200.0,66.2,GOOG-H
2000-04-13,66.41,66.51,62.26,62.67,12600.0,62.67,GOOG-H
2000-04-14,58.94,59.77,49.08,55.51,36800.0,55.51,GOOG-H
2000-04-17,55.41,57.59,54.16,57.23,14800.0,57.23,GOOG-H
2000-04-18,57.28,63.76,57.02,62.88,24200.0,62.88,GOOG-H
2000-04-19,63.61,63.61,60.7,62.26,9700.0,62.26,GOOG-H
2000-04-20,62.05,62.26,60.65,62.26,12500.0,62.26,GOOG-H
2000-04-24,62.26,64.59,60.91,64.44,1300.0,64.44,GOOG-H
2000-04-25,64.59,67.19,63.4,66.31,6100.0,66.31,GOOG-H
2000-04-26,66.46,68.69,65.42,66.93,1500.0,66.93,GOOG-H
2000-04-27,63.92,66.82,63.3,66.82,1600.0,66.82,GOOG-H
2000-04-28,67.65,67.71,62.98,63.71,1700.0,63.71,GOOG-H
2000-05-01,63.5,68.59,62.73,66.2,10600.0,66.2,GOOG-H
2000-05-02,64.38,65.79,62.67,62.88,4300.0,62.88,GOOG-H
2000-05-03,62.67,63.61,60.18,60.6,3700.0,60.6,GOOG-H
2000-05-04,61.84,61.84,58.37,59.46,3500.0,59.46,GOOG-H
2000-05-05,58.99,61.84,58.42,59.04,3900.0,59.04,GOOG-H
2000-05-08,58.99,60.49,58.52,59.61,4200.0,59.61,GOOG-H
2000-05-09,59.98,60.96,58.32,59.04,6200.0,59.04,GOOG-H
2000-05-10,58.42,58.58,53.96,54.89,2000.0,54.89,GOOG-H
2000-05-11,56.86,57.07,55.0,55.62,5000.0,55.62,GOOG-H
2000-05-12,55.62,58.0,54.79,57.59,2600.0,57.59,GOOG-H
2000-05-15,57.8,62.26,57.69,61.48,8500.0,61.48,GOOG-H
2000-05-16,62.88,65.89,61.58,62.47,47100.0,62.47,GOOG-H
2000-05-17,62.67,63.87,60.7,63.09,10500.0,63.09,GOOG-H
2000-05-18,62.88,64.59,61.48,62.0,16000.0,62.0,GOOG-H
2000-05-19,59.67,60.29,56.66,57.64,14200.0,57.64,GOOG-H
2000-05-22,57.07,57.9,54.63,56.03,2600.0,56.03,GOOG-H
2000-05-23,56.03,57.8,55.62,56.66,8900.0,56.66,GOOG-H
2000-05-24,57.49,58.26,55.83,56.66,48000.0,56.66,GOOG-H
2000-05-25,56.66,58.94,52.76,53.13,31800.0,53.13,GOOG-H
2000-05-26,51.78,53.49,51.78,52.87,2500.0,52.87,GOOG-H
2000-05-30,53.13,55.67,53.02,55.62,1500.0,55.62,GOOG-H
2000-05-31,59.72,59.72,59.72,59.72,5200.0,59.72,GOOG-H
2000-06-01,59.77,63.09,58.21,62.47,3000.0,62.47,GOOG-H
2000-06-02,69.73,69.83,66.1,68.54,25500.0,68.54,GOOG-H
2000-06-05,67.24,68.8,66.67,68.17,41600.0,68.17,GOOG-H
2000-06-06,67.45,67.55,65.79,66.2,47300.0,66.2,GOOG-H
2000-06-07,65.69,68.07,65.68,66.36,109500.0,66.36,GOOG-H
2000-06-08,66.36,66.36,64.85,65.37,223300.0,65.37,GOOG-H
2000-06-09,66.52,67.86,65.63,65.79,80600.0,65.79,GOOG-H
2000-06-12,65.79,67.6,65.79,67.08,55000.0,67.08,GOOG-H
2000-06-13,67.08,69.73,66.36,69.21,21800.0,69.21,GOOG-H
2000-06-14,69.21,71.6,68.74,70.87,13900.0,70.87,GOOG-H
2000-06-15,70.25,70.46,66.62,69.68,9300.0,69.68,GOOG-H
2000-06-16,68.18,69.78,67.24,67.34,14100.0,67.34,GOOG-H
2000-06-19,68.9,71.39,68.12,70.09,8500.0,70.09,GOOG-H
2000-06-20,70.14,72.43,69.83,71.86,8400.0,71.86,GOOG-H
2000-06-21,72.43,73.0,70.3,71.08,12600.0,71.08,GOOG-H
2000-06-22,69.84,70.2,68.54,69.06,9300.0,69.06,GOOG-H
2000-06-23,68.9,70.09,66.98,67.34,3700.0,67.34,GOOG-H
2000-06-26,68.38,69.0,66.93,68.23,8900.0,68.23,GOOG-H
2000-06-27,67.65,69.94,67.5,68.9,10100.0,68.9,GOOG-H
2000-06-28,68.8,70.09,67.97,69.31,8700.0,69.31,GOOG-H
2000-06-29,68.9,70.66,67.71,70.04,10800.0,70.04,GOOG-H
2000-06-30,70.19,72.43,69.11,69.11,3900.0,69.11,GOOG-H
2000-07-03,69.52,70.77,69.31,70.56,8900.0,70.56,GOOG-H
2000-07-05,71.08,73.98,70.4,72.12,13900.0,72.12,GOOG-H
2000-07-06,72.17,74.4,71.23,74.3,14600.0,74.3,GOOG-H
2000-07-07,73.78,75.64,73.31,75.23,14500.0,75.23,GOOG-H
2000-07-10,75.13,77.72,74.76,77.51,7300.0,77.51,GOOG-H
2000-07-11,76.47,78.81,76.22,78.76,7600.0,78.76,GOOG-H
2000-07-12,78.86,79.9,78.5,79.28,2900.0,79.28,GOOG-H
2000-07-13,79.48,80.31,78.6,80.0,27100.0,80.0,GOOG-H
2000-07-14,80.16,80.52,79.38,79.69,14400.0,79.69,GOOG-H
2000-07-17,80.11,80.11,76.16,76.47,16500.0,76.47,GOOG-H
2000-07-18,76.27,77.1,75.28,75.75,12300.0,75.75,GOOG-H
2000-07-19,74.97,75.28,72.64,73.26,7900.0,73.26,GOOG-H
2000-07-20,74.09,76.37,73.67,75.75,4900.0,75.75,GOOG-H
2000-07-21,76.58,78.96,76.16,78.6,19500.0,78.6,GOOG-H
2000-07-24,78.65,79.48,77.25,78.13,15800.0,78.13,GOOG-H
2000-07-25,77.82,79.28,77.2,78.45,7700.0,78.45,GOOG-H
2000-07-26,77.77,78.76,76.94,77.2,4700.0,77.2,GOOG-H
2000-07-27,78.35,79.07,75.23,76.79,61797000.0,76.79,GOOG-H
2000-07-28,76.58,76.58,72.79,73.26,27200.0,73.26,GOOG-H
2000-07-31,73.21,75.9,71.8,75.75,11400.0,75.75,GOOG-H
2000-08-01,76.48,76.84,75.07,75.49,22100.0,75.49,GOOG-H
2000-08-02,75.8,77.56,75.33,76.53,10600.0,76.53,GOOG-H
2000-08-03,75.54,78.45,75.49,77.93,6500.0,77.93,GOOG-H
2000-08-04,78.86,81.71,78.76,81.14,10400.0,81.14,GOOG-H
2000-08-07,81.46,82.18,79.69,81.92,5000.0,81.92,GOOG-H
2000-08-08,81.82,82.23,79.95,80.31,17900.0,80.31,GOOG-H
2000-08-09,79.69,83.17,79.43,81.66,6800.0,81.66,GOOG-H
2000-08-10,81.82,82.96,80.16,80.21,7200.0,80.21,GOOG-H
2000-08-11,80.47,84.46,80.37,84.46,6600.0,84.46,GOOG-H
2000-08-14,84.36,87.01,82.7,86.38,6300.0,86.38,GOOG-H
2000-08-15,86.12,86.49,83.69,84.26,22100.0,84.26,GOOG-H
2000-08-16,84.05,84.98,80.42,81.77,3000.0,81.77,GOOG-H
2000-08-17,81.25,85.09,81.25,84.83,7800.0,84.83,GOOG-H
2000-08-18,84.67,85.19,83.06,83.38,7500.0,83.38,GOOG-H
2000-08-21,84.21,84.72,82.18,84.57,7500.0,84.57,GOOG-H
2000-08-22,84.16,86.23,83.95,85.4,13600.0,85.4,GOOG-H
