DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,59.0,59.31,56.0,58.28,26623000.0,58.28,GOOG-H
2000-01-04,57.94,58.56,55.75,55.78,27040500.0,55.78,GOOG-H
2000-01-05,54.75,58.19,54.75,56.41,32019200.0,56.41,GOOG-H
2000-01-06,56.5,56.94,53.31,54.09,27484100.0,54.09,GOOG-H
2000-01-07,54.0,56.13,53.66,55.75,30965500.0,55.75,GOOG-H
2000-01-10,55.88,56.88,55.69,56.19,22389300.0,56.19,GOOG-H
2000-01-11,55.94,57.13,54.34,54.81,23344500.0,54.81,GOOG-H
2000-01-12,54.44,54.44,52.22,52.5,33263300.0,52.5,GOOG-H
2000-01-13,52.88,54.31,50.75,54.13,41546400.0,54.13,GOOG-H
2000-01-14,54.0,56.97,52.88,56.13,36708700.0,56.13,GOOG-H
2000-01-18,56.13,58.03,55.88,56.91,40300900.0,56.91,GOOG-H
2000-01-19,55.75,55.75,53.0,54.5,48740500.0,54.5,GOOG-H
2000-01-20,54.25,54.84,52.81,53.0,28163200.0,53.0,GOOG-H
2000-01-21,52.98,53.63,51.63,51.88,34188300.0,51.88,GOOG-H
2000-01-24,51.88,52.84,50.41,50.63,31789500.0,50.63,GOOG-H
2000-01-25,50.64,51.94,49.78,51.31,29901000.0,51.31,GOOG-H
2000-01-26,51.38,51.75,48.25,49.0,24661600.0,49.0,GOOG-H
2000-01-27,49.67,50.59,48.63,49.5,31823400.0,49.5,GOOG-H
2000-01-28,49.81,50.13,48.63,49.38,29106900.0,49.38,GOOG-H
2000-01-31,49.13,49.13,47.44,48.87,36512700.0,48.87,GOOG-H
2000-02-01,49.25,51.63,48.25,51.38,35095400.0,51.38,GOOG-H
2000-02-02,51.38,51.97,50.25,50.41,24955100.0,50.41,GOOG-H
2000-02-03,50.39,52.09,50.06,51.91,24591700.0,51.91,GOOG-H
2000-02-04,51.88,54.0,51.5,53.31,27681400.0,53.31,GOOG-H
2000-02-07,53.44,53.44,52.13,53.0,19999200.0,53.0,GOOG-H
2000-02-08,53.22,55.5,53.22,55.25,27938100.0,55.25,GOOG-H
2000-02-09,54.75,54.75,51.94,52.19,27537300.0,52.19,GOOG-H
2000-02-10,51.88,53.28,51.25,52.88,27251100.0,52.88,GOOG-H
