DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-07-01,15.0,15.0,15.0,15.0,1300.0,15.0,GOOG-H
2002-07-02,15.5,16.5,15.0,15.13,7000.0,15.13,GOOG-H
2002-07-03,14.0,16.0,14.0,15.0,10200.0,15.0,GOOG-H
2002-07-05,15.0,15.0,15.0,15.0,500.0,15.0,GOOG-H
2002-07-08,14.0,14.0,14.0,14.0,300.0,14.0,GOOG-H
2002-07-09,14.0,15.5,14.0,15.5,2300.0,15.5,GOOG-H
2002-07-10,13.75,15.5,13.75,15.5,500.0,15.5,GOOG-H
2002-07-12,15.0,15.0,15.0,15.0,100.0,15.0,GOOG-H
2002-07-15,14.75,14.75,12.5,12.75,42700.0,12.75,GOOG-H
2002-07-16,12.75,12.75,12.5,12.5,5900.0,12.5,GOOG-H
2002-07-17,12.5,12.5,12.25,12.5,2400.0,12.5,GOOG-H
2002-07-18,12.3,12.3,11.75,11.75,1400.0,11.75,GOOG-H
2002-07-19,11.6,11.6,10.05,10.5,10700.0,10.5,GOOG-H
2002-07-22,10.2,10.2,10.0,10.2,4000.0,10.2,GOOG-H
2002-07-23,10.2,10.2,10.2,10.2,100.0,10.2,GOOG-H
2002-07-24,10.2,10.5,10.2,10.5,2200.0,10.5,GOOG-H
2002-07-25,10.15,10.25,10.15,10.15,1300.0,10.15,GOOG-H
2002-07-29,10.5,11.1,10.45,11.1,4100.0,11.1,GOOG-H
2002-07-30,11.25,11.85,11.25,11.5,8900.0,11.5,GOOG-H
2002-07-31,11.9,12.0,11.75,12.0,5000.0,12.0,GOOG-H
2002-08-01,11.8,11.9,11.8,11.8,4300.0,11.8,GOOG-H
2002-08-05,11.9,12.0,11.85,11.85,28600.0,11.85,GOOG-H
2002-08-06,12.0,12.0,12.0,12.0,10000.0,12.0,GOOG-H
2002-08-07,11.98,12.05,11.95,12.05,4400.0,12.05,GOOG-H
2002-08-08,12.1,12.1,12.05,12.1,12300.0,12.1,GOOG-H
2002-08-09,12.15,12.15,12.15,12.15,3400.0,12.15,GOOG-H
2002-08-12,12.15,12.15,12.1,12.15,24400.0,12.15,GOOG-H
2002-08-13,12.2,12.2,12.1,12.2,3900.0,12.2,GOOG-H
2002-08-14,12.15,12.2,12.15,12.2,3700.0,12.2,GOOG-H
2002-08-15,12.15,12.15,12.1,12.1,700.0,12.1,GOOG-H
2002-08-16,12.0,12.15,12.0,12.15,8600.0,12.15,GOOG-H
2002-08-19,12.15,12.15,11.65,11.65,8700.0,11.65,GOOG-H
2002-08-20,11.6,11.6,11.6,11.6,100.0,11.6,GOOG-H
2002-08-21,11.9,12.0,11.75,11.75,16400.0,11.75,GOOG-H
2002-08-22,11.75,11.75,11.0,11.0,35500.0,11.0,GOOG-H
2002-08-23,11.0,11.1,11.0,11.1,3700.0,11.1,GOOG-H
2002-08-26,11.0,11.0,10.85,10.87,11900.0,10.87,GOOG-H
2002-08-27,10.85,11.0,10.51,10.51,23900.0,10.51,GOOG-H
2002-08-28,10.5,10.5,10.0,10.1,24700.0,10.1,GOOG-H
2002-08-29,10.2,10.2,10.1,10.2,8500.0,10.2,GOOG-H
2002-08-30,10.3,10.3,10.0,10.0,4200.0,10.0,GOOG-H
2002-09-03,9.95,10.0,9.3,9.9,8000.0,9.9,GOOG-H
2002-09-05,9.3,9.3,9.3,9.3,3100.0,9.3,GOOG-H
2002-09-06,9.3,9.7,9.3,9.7,30400.0,9.7,GOOG-H
2002-09-09,9.75,9.9,9.7,9.8,26000.0,9.8,GOOG-H
2002-09-10,9.9,9.95,9.82,9.9,36200.0,9.9,GOOG-H
2002-09-11,10.0,10.05,9.9,10.05,2400.0,10.05,GOOG-H
2002-09-12,10.1,10.1,9.9,9.9,4000.0,9.9,GOOG-H
2002-09-13,9.9,9.94,9.9,9.94,2800.0,9.94,GOOG-H
2002-09-16,9.94,10.0,9.85,10.0,10300.0,10.0,GOOG-H
2002-09-17,9.75,9.9,9.75,9.9,4800.0,9.9,GOOG-H
2002-09-18,9.87,9.87,9.87,9.87,1500.0,9.87,GOOG-H
2002-09-19,9.8,9.8,9.8,9.8,5000.0,9.8,GOOG-H
