DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,24.0,24.88,23.75,24.06,781700.0,24.06,GOOG-H
2000-01-04,23.25,23.56,22.19,22.38,1535100.0,22.38,GOOG-H
2000-01-05,22.5,23.19,22.5,22.5,1021800.0,22.5,GOOG-H
2000-01-06,22.06,22.38,22.0,22.25,1322400.0,22.25,GOOG-H
2000-01-07,22.5,22.56,21.25,21.44,1321000.0,21.44,GOOG-H
2000-01-10,21.5,21.69,21.31,21.44,861700.0,21.44,GOOG-H
2000-01-11,21.63,22.56,21.56,22.5,1285900.0,22.5,GOOG-H
2000-01-12,21.88,22.31,21.88,22.13,1959800.0,22.13,GOOG-H
2000-01-13,22.13,22.13,21.25,21.38,3569700.0,21.38,GOOG-H
2000-01-14,21.38,21.38,20.5,20.81,3154900.0,20.81,GOOG-H
2000-01-18,21.06,22.13,21.0,22.13,2728400.0,22.13,GOOG-H
2000-01-19,22.13,22.19,21.56,21.88,1535400.0,21.88,GOOG-H
2000-01-20,21.19,21.25,20.69,21.06,1618900.0,21.06,GOOG-H
2000-01-21,20.94,21.38,20.81,21.19,1216100.0,21.19,GOOG-H
2000-01-24,20.69,20.69,20.25,20.5,664700.0,20.5,GOOG-H
2000-01-25,20.5,20.5,19.13,19.38,1153000.0,19.38,GOOG-H
2000-01-26,19.94,19.94,19.56,19.63,723500.0,19.63,GOOG-H
2000-01-27,20.13,21.44,19.75,21.44,1446500.0,21.44,GOOG-H
2000-01-28,21.44,21.69,19.75,20.06,1180600.0,20.06,GOOG-H
2000-01-31,20.25,20.5,20.06,20.38,674300.0,20.38,GOOG-H
2000-02-01,20.13,20.13,19.63,19.88,623100.0,19.88,GOOG-H
2000-02-02,20.38,21.13,20.31,20.88,1354200.0,20.88,GOOG-H
2000-02-03,20.81,21.38,20.31,21.25,1584800.0,21.25,GOOG-H
2000-02-04,22.44,24.31,22.31,24.13,4273300.0,24.13,GOOG-H
2000-02-07,25.44,25.44,22.63,22.75,4031500.0,22.75,GOOG-H
2000-02-08,22.63,22.63,22.0,22.0,1215800.0,22.0,GOOG-H
2000-02-09,23.19,24.38,23.19,23.88,2079600.0,23.88,GOOG-H
2000-02-10,24.19,25.13,23.44,24.63,2090900.0,24.63,GOOG-H
2000-02-11,24.19,24.5,23.63,23.94,1254900.0,23.94,GOOG-H
2000-02-14,23.88,23.88,23.0,23.19,1278600.0,23.19,GOOG-H
2000-02-15,22.81,24.19,22.81,24.0,1429900.0,24.0,GOOG-H
2000-02-16,23.19,24.69,23.19,23.38,1168800.0,23.38,GOOG-H
2000-02-17,24.38,24.5,23.0,23.06,816200.0,23.06,GOOG-H
2000-02-18,23.63,24.69,23.44,24.5,1215500.0,24.5,GOOG-H
2000-02-22,24.25,25.94,23.94,25.06,1786400.0,25.06,GOOG-H
2000-02-23,24.25,24.56,23.25,23.25,1357700.0,23.25,GOOG-H
2000-02-24,23.38,23.5,22.88,23.19,1382500.0,23.19,GOOG-H
2000-02-25,22.5,22.56,22.06,22.31,727400.0,22.31,GOOG-H
2000-02-28,22.44,23.06,22.06,22.13,986200.0,22.13,GOOG-H
2000-02-29,22.38,23.31,21.88,22.13,966600.0,22.13,GOOG-H
2000-03-01,22.06,22.63,22.06,22.63,555600.0,22.63,GOOG-H
2000-03-02,22.0,22.31,21.19,21.63,1025100.0,21.63,GOOG-H
2000-03-03,21.56,22.19,21.44,21.56,621200.0,21.56,GOOG-H
2000-03-06,21.56,22.25,21.5,22.0,354200.0,22.0,GOOG-H
2000-03-07,21.56,24.88,21.5,24.44,2063600.0,24.44,GOOG-H
2000-03-08,23.75,24.69,23.19,23.31,1525900.0,23.31,GOOG-H
2000-03-09,23.75,24.19,23.19,24.0,867700.0,24.0,GOOG-H
2000-03-10,23.06,23.75,23.06,23.25,876800.0,23.25,GOOG-H
2000-03-13,23.75,24.31,23.5,23.69,729300.0,23.69,GOOG-H
2000-03-14,24.0,24.19,23.5,24.06,528300.0,24.06,GOOG-H
2000-03-15,24.25,24.44,23.69,23.88,504200.0,23.88,GOOG-H
2000-03-16,23.75,23.75,22.5,22.88,1172600.0,22.88,GOOG-H
2000-03-17,22.88,23.31,22.31,22.81,1231000.0,22.81,GOOG-H
2000-03-20,22.94,23.25,22.75,23.06,953300.0,23.06,GOOG-H
2000-03-21,23.0,24.31,23.0,24.19,1364100.0,24.19,GOOG-H
2000-03-22,23.38,23.5,23.25,23.31,1156500.0,23.31,GOOG-H
2000-03-23,23.0,23.13,22.63,23.0,924200.0,23.0,GOOG-H
2000-03-24,23.0,23.81,23.0,23.38,775200.0,23.38,GOOG-H
2000-03-27,23.06,23.06,22.56,22.63,1077600.0,22.63,GOOG-H
2000-03-28,23.06,23.06,22.56,22.63,951600.0,22.63,GOOG-H
2000-03-29,22.63,23.44,22.06,22.31,1615000.0,22.31,GOOG-H
2000-03-30,22.31,22.81,22.31,22.38,765200.0,22.38,GOOG-H
2000-03-31,22.31,23.06,22.31,22.44,881600.0,22.44,GOOG-H
2000-04-03,22.38,22.75,22.19,22.44,714700.0,22.44,GOOG-H
2000-04-04,22.38,24.31,22.0,23.5,1942700.0,23.5,GOOG-H
2000-04-05,23.5,23.75,22.94,23.63,842400.0,23.63,GOOG-H
