DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-05-23,1.16,1.24,1.15,1.2,7484700.0,1.2,GOOG-H
2002-05-24,1.21,1.23,1.2,1.21,791700.0,1.21,GOOG-H
2002-05-28,1.21,1.23,1.16,1.16,472100.0,1.16,GOOG-H
2002-05-29,1.16,1.16,1.09,1.1,482700.0,1.1,GOOG-H
2002-05-30,1.11,1.11,1.07,1.07,725300.0,1.07,GOOG-H
2002-05-31,1.08,1.08,1.07,1.08,604600.0,1.08,GOOG-H
2002-06-03,1.08,1.15,1.08,1.13,225100.0,1.13,GOOG-H
2002-06-04,1.14,1.14,1.11,1.12,221800.0,1.12,GOOG-H
2002-06-05,1.11,1.16,1.11,1.15,109400.0,1.15,GOOG-H
2002-06-06,1.15,1.23,1.15,1.18,164700.0,1.18,GOOG-H
2002-06-07,1.18,1.18,1.1,1.12,97800.0,1.12,GOOG-H
2002-06-10,1.14,1.18,1.14,1.16,34600.0,1.16,GOOG-H
2002-06-11,1.16,1.19,1.13,1.15,70900.0,1.15,GOOG-H
2002-06-12,1.15,1.18,1.09,1.09,128500.0,1.09,GOOG-H
2002-06-13,1.1,1.12,1.08,1.08,183400.0,1.08,GOOG-H
2002-06-14,1.08,1.09,0.98,0.99,341400.0,0.99,GOOG-H
2002-06-17,1.01,1.06,0.92,0.92,346800.0,0.92,GOOG-H
2002-06-18,0.94,0.94,0.84,0.91,772000.0,0.91,GOOG-H
2002-06-19,0.91,1.0,0.89,0.95,391600.0,0.95,GOOG-H
2002-06-20,0.97,1.04,0.95,0.96,436500.0,0.96,GOOG-H
2002-06-21,0.98,0.99,0.95,0.98,167600.0,0.98,GOOG-H
2002-06-24,0.98,1.01,0.96,0.98,183400.0,0.98,GOOG-H
2002-06-25,0.99,1.01,0.95,0.96,281500.0,0.96,GOOG-H
2002-06-26,0.96,1.0,0.92,0.99,208700.0,0.99,GOOG-H
2002-06-27,1.01,1.02,0.94,0.94,272700.0,0.94,GOOG-H
2002-06-28,0.96,1.01,0.96,1.0,577900.0,1.0,GOOG-H
2002-07-01,1.0,1.05,0.99,1.03,327500.0,1.03,GOOG-H
2002-07-02,1.05,1.2,1.04,1.17,644300.0,1.17,GOOG-H
2002-07-03,1.18,1.21,1.12,1.21,354100.0,1.21,GOOG-H
2002-07-05,1.21,1.3,1.21,1.28,143100.0,1.28,GOOG-H
2002-07-08,1.25,1.25,1.17,1.18,139500.0,1.18,GOOG-H
2002-07-09,1.18,1.2,1.11,1.16,209700.0,1.16,GOOG-H
2002-07-10,1.16,1.18,1.13,1.16,111000.0,1.16,GOOG-H
2002-07-11,1.15,1.28,1.13,1.27,180700.0,1.27,GOOG-H
2002-07-12,1.28,1.28,1.21,1.21,202700.0,1.21,GOOG-H
2002-07-15,1.24,1.25,1.08,1.14,301400.0,1.14,GOOG-H
2002-07-16,1.15,1.16,1.1,1.13,138700.0,1.13,GOOG-H
2002-07-17,1.15,1.16,1.08,1.09,90100.0,1.09,GOOG-H
2002-07-18,1.12,1.17,1.11,1.15,207100.0,1.15,GOOG-H
2002-07-19,1.15,1.16,1.12,1.16,128000.0,1.16,GOOG-H
2002-07-22,1.14,1.18,1.12,1.17,142430.0,1.17,GOOG-H
2002-07-23,1.18,1.21,1.13,1.15,212691.0,1.15,GOOG-H
2002-07-24,1.15,1.16,1.07,1.11,237900.0,1.11,GOOG-H
2002-07-25,1.13,1.13,1.03,1.04,339783.0,1.04,GOOG-H
2002-07-26,1.05,1.06,0.85,0.87,503400.0,0.87,GOOG-H
2002-07-29,0.9,0.92,0.85,0.88,233020.0,0.88,GOOG-H
2002-07-30,0.89,0.94,0.89,0.91,269700.0,0.91,GOOG-H
2002-07-31,0.93,0.96,0.91,0.95,237900.0,0.95,GOOG-H
2002-08-01,0.95,0.96,0.88,0.89,323500.0,0.89,GOOG-H
2002-08-02,0.89,0.89,0.71,0.78,475487.0,0.78,GOOG-H
2002-08-05,0.78,0.81,0.76,0.78,272000.0,0.78,GOOG-H
2002-08-06,0.8,0.8,0.74,0.76,179800.0,0.76,GOOG-H
2002-08-07,0.76,0.79,0.74,0.79,197000.0,0.79,GOOG-H
2002-08-08,0.8,0.8,0.75,0.8,163100.0,0.8,GOOG-H
2002-08-09,0.8,0.82,0.78,0.79,107200.0,0.79,GOOG-H
2002-08-12,0.8,0.81,0.75,0.76,152200.0,0.76,GOOG-H
2002-08-13,0.77,0.81,0.75,0.77,119800.0,0.77,GOOG-H
2002-08-14,0.78,0.83,0.77,0.83,286000.0,0.83,GOOG-H
2002-08-15,0.84,0.91,0.83,0.88,231900.0,0.88,GOOG-H
2002-08-16,0.89,0.92,0.86,0.91,130600.0,0.91,GOOG-H
2002-08-19,0.93,0.98,0.92,0.98,148200.0,0.98,GOOG-H
2002-08-20,0.99,0.99,0.92,0.95,180335.0,0.95,GOOG-H
2002-08-21,0.95,0.97,0.92,0.97,198500.0,0.97,GOOG-H
