DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,3.94,3.97,3.68,3.9,2507600.0,3.9,GOOG-H
2000-01-04,3.83,3.84,3.6,3.8,2480800.0,3.8,GOOG-H
2000-01-05,3.69,3.75,3.62,3.67,1502000.0,3.67,GOOG-H
2000-01-06,3.67,3.67,3.29,3.43,1000800.0,3.43,GOOG-H
2000-01-07,3.42,3.53,3.36,3.49,581200.0,3.49,GOOG-H
2000-01-10,3.5,3.75,3.44,3.6,1879600.0,3.6,GOOG-H
2000-01-11,3.58,3.63,3.46,3.46,1206800.0,3.46,GOOG-H
2000-01-12,3.46,3.46,3.32,3.37,1017600.0,3.37,GOOG-H
2000-01-13,3.36,3.54,3.32,3.51,1101600.0,3.51,GOOG-H
2000-01-14,3.56,3.81,3.55,3.66,5038000.0,3.66,GOOG-H
2000-01-18,3.71,3.83,3.54,3.82,2174400.0,3.82,GOOG-H
2000-01-19,3.83,3.83,3.75,3.78,1371200.0,3.78,GOOG-H
2000-01-20,3.81,4.02,3.74,3.77,1400000.0,3.77,GOOG-H
2000-01-21,3.76,3.78,3.64,3.73,4364400.0,3.73,GOOG-H
2000-01-24,3.85,3.85,3.54,3.56,1974000.0,3.56,GOOG-H
2000-01-25,3.58,3.61,3.42,3.53,1898000.0,3.53,GOOG-H
2000-01-26,3.53,3.63,3.32,3.39,1937200.0,3.39,GOOG-H
2000-01-27,3.41,3.41,3.08,3.21,3818400.0,3.21,GOOG-H
2000-01-28,3.17,3.19,2.99,3.11,1589200.0,3.11,GOOG-H
2000-01-31,3.13,3.2,2.92,3.09,1510800.0,3.09,GOOG-H
2000-02-01,3.09,3.19,2.98,3.16,769600.0,3.16,GOOG-H
2000-02-02,3.18,3.31,3.16,3.25,1212400.0,3.25,GOOG-H
2000-02-03,3.35,3.42,3.28,3.3,799200.0,3.3,GOOG-H
2000-02-04,3.41,3.41,3.31,3.38,1030800.0,3.38,GOOG-H
2000-02-07,3.4,3.4,3.17,3.17,1808800.0,3.17,GOOG-H
2000-02-08,3.25,3.44,3.17,3.32,3799600.0,3.32,GOOG-H
2000-02-09,3.45,3.51,3.4,3.41,4879200.0,3.41,GOOG-H
2000-02-10,3.61,4.17,3.61,4.1,7965200.0,4.1,GOOG-H
2000-02-11,4.31,4.31,3.86,4.17,3524800.0,4.17,GOOG-H
2000-02-14,4.18,4.83,4.14,4.83,5417600.0,4.83,GOOG-H
2000-02-15,4.84,4.85,4.45,4.65,3680000.0,4.65,GOOG-H
2000-02-16,4.7,5.02,4.65,4.86,8320000.0,4.86,GOOG-H
2000-02-17,4.85,5.06,4.78,5.03,4449200.0,5.03,GOOG-H
2000-02-18,4.96,5.69,4.92,5.61,8007200.0,5.61,GOOG-H
2000-02-22,5.44,5.51,5.25,5.46,4484800.0,5.46,GOOG-H
2000-02-23,5.4,5.55,5.33,5.49,4260800.0,5.49,GOOG-H
