DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,56.36,56.8,56.1,56.46,0.0,56.46,GOOG-Q
2018-09-26,56.44,56.65,55.78,55.82,0.0,55.82,GOOG-Q
2018-10-01,56.6,57.21,56.42,56.6,0.0,56.6,GOOG-Q
2018-10-02,56.62,57.0,56.46,56.81,0.0,56.81,GOOG-Q
2018-10-03,57.0,57.32,56.21,56.76,4740988.0,56.76,GOOG-Q
2018-10-04,56.39,56.68,55.92,56.54,0.0,56.54,GOOG-Q
2018-10-05,56.65,57.21,56.6,57.06,0.0,57.06,GOOG-Q
2018-10-08,57.07,58.5,57.07,58.08,3215814.0,58.08,GOOG-Q
2018-10-09,58.16,58.78,57.94,58.57,0.0,58.57,GOOG-Q
2018-10-10,58.31,58.65,57.29,57.31,0.0,57.31,GOOG-Q
2018-10-11,57.54,57.64,55.91,55.96,0.0,55.96,GOOG-Q
2018-10-12,56.22,56.43,55.55,55.85,0.0,55.85,GOOG-Q
2018-10-15,55.77,56.77,55.75,56.17,2180027.0,56.17,GOOG-Q
2018-10-16,56.43,57.71,56.16,57.55,1937942.0,57.55,GOOG-Q
2018-10-17,57.41,58.31,57.19,58.04,3030743.0,58.04,GOOG-Q
2018-10-18,58.08,58.45,57.74,57.91,0.0,57.91,GOOG-Q
2018-10-19,58.0,58.69,58.0,58.5,0.0,58.5,GOOG-Q
2018-10-22,58.6,58.92,57.65,57.71,0.0,57.71,GOOG-Q
2018-10-23,57.5,58.83,57.5,58.47,0.0,58.47,GOOG-Q
2018-10-26,60.06,60.35,58.9,59.73,2888307.0,59.73,GOOG-Q
2018-10-29,59.94,61.34,59.92,61.3,4.0,61.3,GOOG-Q
2018-10-31,60.98,61.18,59.76,60.27,4850542.0,60.27,GOOG-Q
2018-11-01,60.27,61.33,59.55,61.19,2464569.0,61.19,GOOG-Q
2018-11-02,61.07,61.22,59.37,60.26,2687585.0,60.26,GOOG-Q
