DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,28.31,31.3,27.91,29.53,24545800.0,29.53,GOOG-H
2000-01-04,29.22,29.66,26.25,26.92,29186000.0,26.92,GOOG-H
2000-01-05,26.0,26.59,24.0,24.89,41507000.0,24.89,GOOG-H
2000-01-06,25.53,26.25,22.25,22.25,27196100.0,22.25,GOOG-H
2000-01-07,23.39,26.13,23.39,26.0,22924300.0,26.0,GOOG-H
2000-01-10,26.5,29.0,26.38,28.77,22852100.0,28.77,GOOG-H
2000-01-11,28.69,28.69,27.38,28.06,21621700.0,28.06,GOOG-H
2000-01-12,27.84,28.06,25.92,26.38,20858700.0,26.38,GOOG-H
2000-01-13,26.75,27.47,25.88,26.27,13944800.0,26.27,GOOG-H
2000-01-14,26.75,27.84,26.19,26.7,14269500.0,26.7,GOOG-H
2000-01-18,27.22,28.63,26.41,28.5,16643700.0,28.5,GOOG-H
2000-01-19,28.25,29.13,27.0,28.75,24573800.0,28.75,GOOG-H
2000-01-20,29.31,30.13,29.06,29.56,27259600.0,29.56,GOOG-H
2000-01-21,29.63,30.75,29.53,29.97,25432600.0,29.97,GOOG-H
2000-01-24,30.0,30.19,26.88,27.0,24964200.0,27.0,GOOG-H
2000-01-25,27.5,28.75,27.44,28.22,26513800.0,28.22,GOOG-H
2000-01-26,28.72,29.47,27.31,27.5,23775300.0,27.5,GOOG-H
2000-01-27,27.55,28.34,25.0,25.88,30517600.0,25.88,GOOG-H
2000-01-28,25.97,25.97,23.31,23.69,43168400.0,23.69,GOOG-H
2000-01-31,24.0,25.25,23.56,25.13,33793800.0,25.13,GOOG-H
2000-02-01,25.44,27.16,25.0,27.16,28545800.0,27.16,GOOG-H
2000-02-02,27.13,28.0,27.0,27.22,31961600.0,27.22,GOOG-H
2000-02-03,27.31,28.86,27.13,28.75,27760400.0,28.75,GOOG-H
2000-02-04,28.41,29.09,28.41,28.94,20455700.0,28.94,GOOG-H
2000-02-07,29.21,30.09,29.21,30.06,22330100.0,30.06,GOOG-H
2000-02-08,30.19,30.72,29.5,30.0,27795800.0,30.0,GOOG-H
2000-02-09,30.25,30.66,29.41,29.97,26229800.0,29.97,GOOG-H
2000-02-10,30.09,31.31,29.0,30.88,22566900.0,30.88,GOOG-H
2000-02-11,31.16,32.38,29.38,29.84,27883500.0,29.84,GOOG-H
2000-02-14,29.83,31.34,29.31,31.19,18794100.0,31.19,GOOG-H
2000-02-15,31.13,31.59,29.59,30.81,23979500.0,30.81,GOOG-H
2000-02-16,30.67,31.28,30.06,30.59,16724000.0,30.59,GOOG-H
2000-02-17,30.69,31.54,30.0,30.5,20195600.0,30.5,GOOG-H
2000-02-18,30.8,31.0,29.0,29.25,31880000.0,29.25,GOOG-H
2000-02-22,29.78,30.72,28.16,29.66,37722600.0,29.66,GOOG-H
2000-02-23,29.98,31.63,29.81,31.53,34824500.0,31.53,GOOG-H
2000-02-24,30.75,32.53,30.13,30.97,34977000.0,30.97,GOOG-H
2000-02-25,30.98,35.5,30.94,32.69,51511800.0,32.69,GOOG-H
2000-02-28,35.25,38.25,34.13,34.31,61141100.0,34.31,GOOG-H
2000-02-29,36.69,37.22,35.56,37.13,27684700.0,37.13,GOOG-H
2000-03-01,36.97,36.97,35.38,35.75,22457800.0,35.75,GOOG-H
2000-03-02,35.75,36.94,33.94,34.5,26133200.0,34.5,GOOG-H
2000-03-03,35.09,37.56,35.09,37.5,23987200.0,37.5,GOOG-H
2000-03-06,37.38,38.47,36.19,38.0,22740900.0,38.0,GOOG-H
2000-03-07,37.72,40.0,37.19,37.56,26985200.0,37.56,GOOG-H
2000-03-08,37.5,41.78,37.5,41.75,31244900.0,41.75,GOOG-H
2000-03-09,42.38,42.5,40.06,41.88,28081100.0,41.88,GOOG-H
2000-03-10,41.03,42.03,40.13,40.81,22349900.0,40.81,GOOG-H
2000-03-13,40.75,41.81,38.63,40.0,32851300.0,40.0,GOOG-H
2000-03-14,40.5,41.88,38.25,41.34,35188000.0,41.34,GOOG-H
2000-03-15,42.0,42.5,38.5,39.13,72377104.0,39.13,GOOG-H
2000-03-16,39.75,41.28,38.34,40.88,47752000.0,40.88,GOOG-H
2000-03-17,40.75,41.0,39.75,40.0,32986200.0,40.0,GOOG-H
2000-03-20,40.28,40.31,38.78,39.06,23590400.0,39.06,GOOG-H
2000-03-21,39.08,40.44,38.0,40.0,26308900.0,40.0,GOOG-H
2000-03-22,40.0,42.19,39.44,41.77,26594700.0,41.77,GOOG-H
2000-03-23,41.99,44.0,41.28,43.75,25400500.0,43.75,GOOG-H
2000-03-24,43.25,44.84,43.22,43.75,26396700.0,43.75,GOOG-H
2000-03-27,43.94,44.63,43.47,44.22,16297200.0,44.22,GOOG-H
2000-03-28,44.13,45.0,42.84,43.28,17987300.0,43.28,GOOG-H
2000-03-29,43.06,43.06,41.0,41.06,25961400.0,41.06,GOOG-H
2000-03-30,40.5,42.25,39.0,39.22,35406500.0,39.22,GOOG-H
2000-03-31,39.88,40.78,38.0,39.13,39845900.0,39.13,GOOG-H
2000-04-03,39.5,40.31,37.5,39.25,35788900.0,39.25,GOOG-H
2000-04-04,39.0,39.06,32.54,38.88,61804400.0,38.88,GOOG-H
2000-04-05,38.0,40.5,36.27,39.0,36863600.0,39.0,GOOG-H
2000-04-06,40.06,41.72,40.06,41.28,31200600.0,41.28,GOOG-H
2000-04-07,41.72,43.63,41.5,43.47,23380800.0,43.47,GOOG-H
2000-04-10,43.38,43.81,41.13,41.25,28110500.0,41.25,GOOG-H
2000-04-11,40.88,41.27,38.41,38.75,35487900.0,38.75,GOOG-H
2000-04-12,38.88,40.0,36.47,36.56,33557000.0,36.56,GOOG-H
2000-04-13,37.06,38.75,35.76,36.38,31596200.0,36.38,GOOG-H
2000-04-14,35.64,35.64,30.38,31.56,54964700.0,31.56,GOOG-H
2000-04-17,30.5,37.75,30.09,37.75,57642900.0,37.75,GOOG-H
2000-04-18,37.63,39.53,36.88,39.25,39364600.0,39.25,GOOG-H
2000-04-19,39.78,39.78,37.13,37.25,23081700.0,37.25,GOOG-H
2000-04-20,37.75,37.75,34.94,35.38,25187400.0,35.38,GOOG-H
2000-04-24,35.0,36.28,33.5,36.06,29857900.0,36.06,GOOG-H
2000-04-25,36.63,38.31,36.31,38.06,30874100.0,38.06,GOOG-H
2000-04-26,38.25,38.78,35.53,36.13,23887300.0,36.13,GOOG-H
2000-04-27,36.22,38.78,34.0,38.53,26047600.0,38.53,GOOG-H
2000-04-28,39.06,40.02,39.06,39.59,20785000.0,39.59,GOOG-H
2000-05-01,40.94,40.94,39.38,39.91,18538100.0,39.91,GOOG-H
2000-05-02,39.84,39.97,38.0,38.5,17667800.0,38.5,GOOG-H
2000-05-03,38.56,38.56,36.06,37.94,24799300.0,37.94,GOOG-H
2000-05-04,38.0,38.47,36.5,37.22,19946800.0,37.22,GOOG-H
2000-05-05,37.22,38.5,36.81,38.38,17644200.0,38.38,GOOG-H
2000-05-08,38.0,38.0,36.03,36.48,18261500.0,36.48,GOOG-H
2000-05-09,36.59,37.13,35.63,36.26,21761900.0,36.26,GOOG-H
2000-05-10,36.13,36.56,33.38,33.56,35578400.0,33.56,GOOG-H
