DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,10.28,10.4,9.95,9.98,451300.0,9.98,GOOG-H
2000-01-04,9.8,10.07,9.74,9.77,669200.0,9.77,GOOG-H
2000-01-05,9.8,9.92,9.68,9.83,502800.0,9.83,GOOG-H
2000-01-06,9.74,10.28,9.71,10.19,1517000.0,10.19,GOOG-H
2000-01-07,10.22,10.79,10.22,10.4,1399000.0,10.4,GOOG-H
2000-01-10,10.4,10.4,10.01,10.07,938500.0,10.07,GOOG-H
2000-01-11,10.07,10.52,10.04,10.46,879700.0,10.46,GOOG-H
2000-01-12,10.52,10.52,10.37,10.4,924200.0,10.4,GOOG-H
2000-01-13,10.4,10.79,10.37,10.73,1293700.0,10.73,GOOG-H
2000-01-14,10.73,10.76,10.34,10.55,819500.0,10.55,GOOG-H
2000-01-18,10.31,10.61,10.22,10.55,1145400.0,10.55,GOOG-H
2000-01-19,10.55,10.79,10.46,10.7,978700.0,10.7,GOOG-H
2000-01-20,10.85,10.85,10.49,10.61,662800.0,10.61,GOOG-H
2000-01-21,10.61,10.67,10.34,10.4,1422300.0,10.4,GOOG-H
2000-01-24,10.43,10.43,9.89,9.95,1160500.0,9.95,GOOG-H
2000-01-25,10.43,10.43,9.47,9.5,1663100.0,9.5,GOOG-H
2000-01-26,9.59,9.83,9.53,9.74,1104600.0,9.74,GOOG-H
2000-01-27,9.83,9.83,9.56,9.65,1002200.0,9.65,GOOG-H
2000-01-28,9.47,9.77,9.47,9.59,968900.0,9.59,GOOG-H
2000-01-31,9.68,9.68,9.23,9.53,1000800.0,9.53,GOOG-H
2000-02-01,9.5,9.59,9.29,9.5,666000.0,9.5,GOOG-H
2000-02-02,9.5,9.65,9.35,9.41,1047000.0,9.41,GOOG-H
2000-02-03,9.35,9.47,9.26,9.35,734400.0,9.35,GOOG-H
2000-02-04,9.35,9.47,9.32,9.35,802500.0,9.35,GOOG-H
2000-02-07,9.26,9.35,9.23,9.32,703100.0,9.32,GOOG-H
2000-02-08,9.26,9.38,9.17,9.26,614800.0,9.26,GOOG-H
2000-02-09,9.35,9.35,9.05,9.11,1903900.0,9.11,GOOG-H
2000-02-10,9.11,9.35,9.08,9.08,944800.0,9.08,GOOG-H
2000-02-11,9.11,9.2,8.81,8.87,1963800.0,8.87,GOOG-H
2000-02-14,8.87,8.9,8.06,8.21,4125100.0,8.21,GOOG-H
2000-02-15,8.6,8.6,8.12,8.6,4612800.0,8.6,GOOG-H
2000-02-16,8.6,8.75,8.45,8.63,1242700.0,8.63,GOOG-H
2000-02-17,8.66,8.75,8.42,8.45,540300.0,8.45,GOOG-H
2000-02-18,8.45,8.48,8.18,8.27,1009600.0,8.27,GOOG-H
2000-02-22,8.27,8.39,8.21,8.27,820900.0,8.27,GOOG-H
2000-02-23,8.27,8.27,8.0,8.06,892400.0,8.06,GOOG-H
2000-02-24,8.09,8.09,7.85,7.88,844700.0,7.88,GOOG-H
2000-02-25,8.09,8.09,7.55,7.55,1232600.0,7.55,GOOG-H
2000-02-28,7.61,7.73,7.55,7.61,2034500.0,7.61,GOOG-H
2000-02-29,7.61,7.82,7.61,7.7,1813400.0,7.7,GOOG-H
2000-03-01,7.73,7.88,7.7,7.7,2342000.0,7.7,GOOG-H
2000-03-02,7.7,8.18,7.7,8.09,2772900.0,8.09,GOOG-H
2000-03-03,8.09,8.3,7.97,8.24,1056800.0,8.24,GOOG-H
2000-03-06,8.27,8.27,8.15,8.27,768400.0,8.27,GOOG-H
2000-03-07,8.36,8.69,8.27,8.54,1018300.0,8.54,GOOG-H
2000-03-08,8.75,8.75,8.33,8.36,1933900.0,8.36,GOOG-H
2000-03-09,8.33,8.36,8.15,8.24,925600.0,8.24,GOOG-H
2000-03-10,8.18,8.42,8.18,8.36,1532700.0,8.36,GOOG-H
2000-03-13,8.15,8.33,8.15,8.33,1078300.0,8.33,GOOG-H
2000-03-14,8.18,8.36,8.18,8.27,1260400.0,8.27,GOOG-H
2000-03-15,8.27,8.36,8.18,8.33,1043200.0,8.33,GOOG-H
2000-03-16,8.27,8.78,8.18,8.75,1225200.0,8.75,GOOG-H
2000-03-17,8.75,8.75,8.6,8.75,1630100.0,8.75,GOOG-H
