DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,32.06,32.38,31.63,31.88,7988100.0,31.88,GOOG-H
2000-01-04,31.25,31.5,30.63,30.75,9062000.0,30.75,GOOG-H
2000-01-05,30.88,31.88,30.88,31.19,8971600.0,31.19,GOOG-H
2000-01-06,31.25,32.75,31.19,32.44,7776900.0,32.44,GOOG-H
2000-01-07,34.0,34.88,33.44,34.63,12025600.0,34.63,GOOG-H
2000-01-10,35.0,35.0,34.06,34.5,7016900.0,34.5,GOOG-H
2000-01-11,35.0,35.0,34.13,34.44,6696300.0,34.44,GOOG-H
2000-01-12,35.0,35.31,34.44,35.06,8294800.0,35.06,GOOG-H
2000-01-13,34.94,36.94,34.63,36.88,20623100.0,36.88,GOOG-H
2000-01-14,37.0,37.5,37.0,37.25,12496900.0,37.25,GOOG-H
2000-01-18,37.13,37.13,35.81,36.5,8498300.0,36.5,GOOG-H
2000-01-19,36.75,37.06,36.38,37.0,7934500.0,37.0,GOOG-H
2000-01-20,36.75,36.88,35.81,35.81,6416600.0,35.81,GOOG-H
2000-01-21,36.56,36.56,35.06,35.06,10659100.0,35.06,GOOG-H
2000-01-24,34.5,35.25,33.38,34.31,9015800.0,34.31,GOOG-H
2000-01-25,34.5,35.44,34.31,34.75,7787700.0,34.75,GOOG-H
2000-01-26,34.81,36.0,34.38,34.88,6137900.0,34.88,GOOG-H
2000-01-27,34.56,35.38,34.5,34.63,7347000.0,34.63,GOOG-H
2000-01-28,34.0,35.69,34.0,35.0,9386300.0,35.0,GOOG-H
2000-01-31,34.0,36.5,34.0,36.38,8661700.0,36.38,GOOG-H
2000-02-01,35.56,37.13,35.56,37.0,9787700.0,37.0,GOOG-H
2000-02-02,36.94,36.94,35.75,36.0,5624900.0,36.0,GOOG-H
2000-02-03,36.06,36.19,35.31,35.75,6991000.0,35.75,GOOG-H
2000-02-04,36.06,36.19,35.31,35.88,5207500.0,35.88,GOOG-H
2000-02-07,35.88,36.75,35.63,36.75,9751700.0,36.75,GOOG-H
2000-02-08,36.94,37.94,36.94,37.88,12359300.0,37.88,GOOG-H
2000-02-09,36.63,37.69,36.63,36.69,9436900.0,36.69,GOOG-H
2000-02-10,36.5,36.5,35.06,35.38,8709600.0,35.38,GOOG-H
2000-02-11,36.5,36.5,34.0,34.19,8131500.0,34.19,GOOG-H
2000-02-14,33.56,35.31,33.56,35.0,6692300.0,35.0,GOOG-H
2000-02-15,35.06,35.88,34.75,35.56,6558800.0,35.56,GOOG-H
2000-02-16,35.06,35.06,33.75,34.19,8041700.0,34.19,GOOG-H
2000-02-17,34.13,34.38,33.63,33.81,6945300.0,33.81,GOOG-H
2000-02-18,34.0,34.0,32.88,33.31,7979600.0,33.31,GOOG-H
2000-02-22,33.44,33.81,33.13,33.38,7142200.0,33.38,GOOG-H
2000-02-23,33.81,33.81,32.94,33.13,7499800.0,33.13,GOOG-H
2000-02-24,32.88,33.31,32.56,33.0,7216000.0,33.0,GOOG-H
2000-02-25,33.0,33.19,32.06,32.19,6444600.0,32.19,GOOG-H
2000-02-28,32.13,32.44,32.0,32.19,6200500.0,32.19,GOOG-H
2000-02-29,32.88,32.88,31.63,31.97,11745900.0,31.97,GOOG-H
2000-03-01,32.13,32.38,31.75,31.94,8914500.0,31.94,GOOG-H
2000-03-02,32.0,32.0,31.5,32.0,6282800.0,32.0,GOOG-H
2000-03-03,32.0,32.63,31.63,32.63,7346500.0,32.63,GOOG-H
2000-03-06,32.06,32.5,31.5,31.69,8028300.0,31.69,GOOG-H
2000-03-07,31.38,31.5,30.0,30.44,10314800.0,30.44,GOOG-H
2000-03-08,31.0,33.13,30.19,32.38,14423100.0,32.38,GOOG-H
2000-03-09,32.63,34.38,32.25,34.38,14852900.0,34.38,GOOG-H
2000-03-10,35.13,35.25,34.38,35.13,16017100.0,35.13,GOOG-H
2000-03-13,35.13,35.13,33.5,34.19,9671600.0,34.19,GOOG-H
2000-03-14,35.13,35.13,33.0,33.69,5445400.0,33.69,GOOG-H
2000-03-15,35.13,35.5,33.81,35.5,12275900.0,35.5,GOOG-H
2000-03-16,36.19,36.5,35.75,36.5,15246400.0,36.5,GOOG-H
2000-03-17,36.06,36.31,35.75,35.81,10636300.0,35.81,GOOG-H
2000-03-20,36.0,36.06,35.31,35.94,6275200.0,35.94,GOOG-H
2000-03-21,36.06,36.94,35.88,36.69,11741800.0,36.69,GOOG-H
2000-03-22,35.75,35.75,34.69,35.63,15117300.0,35.63,GOOG-H
2000-03-23,34.81,35.94,34.81,35.25,8374700.0,35.25,GOOG-H
2000-03-24,35.25,35.81,34.81,34.88,7194400.0,34.88,GOOG-H
2000-03-27,34.88,35.31,34.75,34.75,7473800.0,34.75,GOOG-H
2000-03-28,34.25,35.56,34.25,35.19,7416300.0,35.19,GOOG-H
2000-03-29,35.25,36.75,35.19,36.38,11423600.0,36.38,GOOG-H
2000-03-30,36.44,36.81,36.06,36.5,7949900.0,36.5,GOOG-H
2000-03-31,36.56,36.88,35.69,36.56,7167200.0,36.56,GOOG-H
2000-04-03,37.0,38.63,36.75,38.31,14420900.0,38.31,GOOG-H
2000-04-04,38.69,40.0,38.13,39.5,27852200.0,39.5,GOOG-H
2000-04-05,38.5,39.19,38.38,38.5,7898700.0,38.5,GOOG-H
2000-04-06,38.13,38.63,37.75,38.63,7611600.0,38.63,GOOG-H
2000-04-07,38.5,39.44,38.5,38.81,7779700.0,38.81,GOOG-H
2000-04-10,38.94,40.31,38.81,39.94,12259100.0,39.94,GOOG-H
2000-04-11,39.56,40.5,39.56,40.0,10270500.0,40.0,GOOG-H
2000-04-12,39.25,41.0,39.25,40.63,14185600.0,40.63,GOOG-H
2000-04-13,40.19,40.38,38.94,39.63,10978700.0,39.63,GOOG-H
2000-04-14,38.94,39.06,36.88,37.75,10742900.0,37.75,GOOG-H
2000-04-17,37.25,38.81,37.19,38.0,11918500.0,38.0,GOOG-H
2000-04-18,38.5,39.63,38.25,39.56,11658200.0,39.56,GOOG-H
2000-04-19,39.69,42.5,39.38,42.0,16798500.0,42.0,GOOG-H
2000-04-20,40.75,42.5,40.75,41.81,9148400.0,41.81,GOOG-H
2000-04-24,41.5,44.25,41.38,43.5,11840500.0,43.5,GOOG-H
2000-04-25,43.13,43.75,42.38,43.44,8290600.0,43.44,GOOG-H
2000-04-26,42.75,43.5,42.5,43.5,8804500.0,43.5,GOOG-H
2000-04-27,42.75,43.56,42.5,43.0,8680300.0,43.0,GOOG-H
2000-04-28,42.75,42.75,41.75,42.13,7902300.0,42.13,GOOG-H
2000-05-01,42.25,43.5,41.31,41.81,6807200.0,41.81,GOOG-H
2000-05-02,42.0,43.25,41.88,42.94,8239900.0,42.94,GOOG-H
2000-05-03,42.25,43.44,42.25,42.63,10049500.0,42.63,GOOG-H
2000-05-04,42.5,43.31,42.31,42.81,5476800.0,42.81,GOOG-H
2000-05-05,42.38,44.94,42.31,44.81,10583500.0,44.81,GOOG-H
2000-05-08,45.0,46.38,45.0,46.19,14856400.0,46.19,GOOG-H
2000-05-09,45.0,45.69,44.38,45.19,9465500.0,45.19,GOOG-H
2000-05-10,44.06,45.19,43.13,43.94,8754600.0,43.94,GOOG-H
2000-05-11,43.56,43.63,42.31,42.56,8028500.0,42.56,GOOG-H
2000-05-12,42.38,43.38,41.94,43.13,6640300.0,43.13,GOOG-H
2000-05-15,42.88,44.25,42.88,44.0,6500900.0,44.0,GOOG-H
2000-05-16,44.44,44.88,43.25,44.5,10634100.0,44.5,GOOG-H
2000-05-17,44.44,45.31,44.19,44.88,12335100.0,44.88,GOOG-H
2000-05-18,45.13,45.56,44.75,45.06,6316200.0,45.06,GOOG-H
2000-05-19,44.69,44.75,43.81,44.44,6442800.0,44.44,GOOG-H
2000-05-22,44.44,45.13,43.25,43.94,7469600.0,43.94,GOOG-H
2000-05-23,43.81,44.5,43.38,44.19,5397900.0,44.19,GOOG-H
2000-05-24,43.38,44.94,43.38,44.44,7106900.0,44.44,GOOG-H
2000-05-25,44.56,45.75,44.44,45.69,6684300.0,45.69,GOOG-H
2000-05-26,44.81,45.44,44.81,44.94,4990500.0,44.94,GOOG-H
2000-05-30,44.06,44.44,43.69,44.19,7147400.0,44.19,GOOG-H
2000-05-31,43.75,44.94,43.69,44.56,6128800.0,44.56,GOOG-H
2000-06-01,45.69,46.13,44.88,45.13,8193600.0,45.13,GOOG-H
