DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,53.24,53.3,52.19,52.93,1862100.0,52.93,GOOG-H
2000-01-04,53.24,53.49,51.23,51.91,1889200.0,51.91,GOOG-H
2000-01-05,51.79,51.98,50.62,50.83,2285000.0,50.83,GOOG-H
2000-01-06,51.91,54.04,51.88,53.21,2897700.0,53.21,GOOG-H
2000-01-07,57.53,57.78,53.95,57.53,4038400.0,57.53,GOOG-H
2000-01-10,57.19,57.93,56.48,57.25,2916600.0,57.25,GOOG-H
2000-01-11,56.98,58.15,56.51,58.15,1907600.0,58.15,GOOG-H
2000-01-12,57.35,58.46,57.35,57.78,2720900.0,57.78,GOOG-H
2000-01-13,57.72,57.78,56.57,56.79,2048800.0,56.79,GOOG-H
2000-01-14,57.04,57.78,56.98,57.78,2165100.0,57.78,GOOG-H
2000-01-18,57.75,58.27,57.31,57.75,1962100.0,57.75,GOOG-H
2000-01-19,57.28,57.28,56.08,56.98,2477400.0,56.98,GOOG-H
2000-01-20,56.42,56.42,53.15,55.59,4631500.0,55.59,GOOG-H
2000-01-21,55.62,55.62,49.14,50.71,10516200.0,50.71,GOOG-H
2000-01-24,47.9,53.77,46.82,50.93,9447900.0,50.93,GOOG-H
2000-01-25,51.17,51.17,47.9,48.12,7593000.0,48.12,GOOG-H
2000-01-26,49.78,49.78,48.8,49.6,4538200.0,49.6,GOOG-H
2000-01-27,50.37,51.57,50.06,51.33,3965700.0,51.33,GOOG-H
2000-01-28,51.2,51.2,49.07,49.54,4354400.0,49.54,GOOG-H
2000-01-31,49.51,49.94,48.77,49.81,1964600.0,49.81,GOOG-H
2000-02-01,49.72,49.75,48.77,49.14,1739800.0,49.14,GOOG-H
2000-02-02,49.26,49.38,48.55,48.7,1682800.0,48.7,GOOG-H
2000-02-03,49.29,49.29,47.75,48.27,2725300.0,48.27,GOOG-H
2000-02-04,48.21,48.24,46.42,46.79,3082100.0,46.79,GOOG-H
2000-02-07,46.42,46.82,45.71,46.14,2756100.0,46.14,GOOG-H
2000-02-08,46.42,47.35,45.83,47.28,2892800.0,47.28,GOOG-H
2000-02-09,47.04,47.25,46.3,46.3,2732700.0,46.3,GOOG-H
2000-02-10,46.3,46.76,44.51,45.15,2193900.0,45.15,GOOG-H
2000-02-11,46.3,46.39,44.51,46.3,2256900.0,46.3,GOOG-H
2000-02-14,46.27,46.33,44.94,45.37,2336100.0,45.37,GOOG-H
2000-02-15,46.27,47.31,45.59,47.25,3007300.0,47.25,GOOG-H
2000-02-16,47.31,47.41,45.93,46.11,2384500.0,46.11,GOOG-H
2000-02-17,46.42,46.91,45.93,46.51,2128000.0,46.51,GOOG-H
2000-02-18,46.33,46.64,45.43,45.89,2037600.0,45.89,GOOG-H
2000-02-22,45.59,46.14,44.48,45.86,2219000.0,45.86,GOOG-H
2000-02-23,45.86,45.86,44.51,44.54,2307900.0,44.54,GOOG-H
2000-02-24,44.63,44.88,42.75,43.8,2929100.0,43.8,GOOG-H
2000-02-25,43.83,43.95,42.04,42.04,2923600.0,42.04,GOOG-H
2000-02-28,42.38,44.44,42.01,43.7,2964900.0,43.7,GOOG-H
2000-02-29,44.2,44.38,43.09,43.46,3290000.0,43.46,GOOG-H
2000-03-01,43.46,43.8,42.93,43.58,1759600.0,43.58,GOOG-H
2000-03-02,43.46,43.67,42.81,43.12,1476400.0,43.12,GOOG-H
2000-03-03,43.36,44.35,42.96,43.67,2041500.0,43.67,GOOG-H
2000-03-06,43.64,43.67,42.78,43.18,1534700.0,43.18,GOOG-H
2000-03-07,28.78,35.92,28.41,29.96,51321100.0,29.96,GOOG-H
2000-03-08,28.46,30.37,28.21,28.46,26313700.0,28.46,GOOG-H
2000-03-09,28.89,28.95,27.9,28.33,11722500.0,28.33,GOOG-H
2000-03-10,28.43,28.43,26.17,26.2,17170600.0,26.2,GOOG-H
2000-03-13,26.54,28.21,26.33,28.12,12344100.0,28.12,GOOG-H
2000-03-14,28.36,28.61,27.22,27.59,5971200.0,27.59,GOOG-H
2000-03-15,27.87,28.89,26.98,28.89,9040100.0,28.89,GOOG-H
2000-03-16,29.48,29.88,29.07,29.57,10140300.0,29.57,GOOG-H
2000-03-17,29.57,29.57,28.15,28.46,8749100.0,28.46,GOOG-H
2000-03-20,28.92,28.92,28.39,28.73,4389800.0,28.73,GOOG-H
2000-03-21,28.24,28.39,27.72,28.15,5912600.0,28.15,GOOG-H
2000-03-22,28.27,28.46,27.38,27.59,5555000.0,27.59,GOOG-H
2000-03-23,27.62,28.09,27.44,27.72,5111600.0,27.72,GOOG-H
2000-03-24,27.87,27.9,27.22,27.87,5463200.0,27.87,GOOG-H
2000-03-27,27.78,28.09,27.22,27.28,4242500.0,27.28,GOOG-H
2000-03-28,27.25,28.18,27.25,28.18,4450200.0,28.18,GOOG-H
2000-03-29,28.24,28.98,28.21,28.98,5799600.0,28.98,GOOG-H
2000-03-30,29.1,29.63,28.7,28.7,6135400.0,28.7,GOOG-H
2000-03-31,29.38,29.38,27.78,27.78,4788000.0,27.78,GOOG-H
2000-04-03,28.02,29.38,28.02,29.38,3640100.0,29.38,GOOG-H
2000-04-04,30.06,31.42,29.63,31.33,9436800.0,31.33,GOOG-H
