DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2008-03-27,50.3,52.03,50.0,50.68,8653300.0,50.68,GOOG-H
2008-03-28,50.68,52.5,50.56,51.06,9961200.0,51.06,GOOG-H
2008-03-31,52.4,54.7,50.0,50.58,19410196.0,50.58,GOOG-H
2008-04-01,51.1,52.19,49.01,50.58,23322656.0,50.58,GOOG-H
2008-04-02,51.16,52.07,50.15,51.21,12764307.0,51.21,GOOG-H
2008-04-03,51.0,51.5,50.4,51.05,12439051.0,51.05,GOOG-H
2008-04-04,51.48,51.48,50.8,51.37,6651133.0,51.37,GOOG-H
2008-04-07,51.6,51.6,50.5,50.67,7099377.0,50.67,GOOG-H
2008-04-08,50.41,51.01,50.21,50.6,8283325.0,50.6,GOOG-H
2008-04-09,50.5,50.59,49.15,49.38,8916681.0,49.38,GOOG-H
2008-04-10,49.49,49.91,48.5,48.66,14322965.0,48.66,GOOG-H
2008-04-11,48.49,48.89,48.08,48.33,11406060.0,48.33,GOOG-H
2008-04-14,48.3,48.35,47.43,48.0,11532761.0,48.0,GOOG-H
2008-04-15,47.78,48.35,47.78,48.2,9603320.0,48.2,GOOG-H
2008-04-16,48.41,49.61,48.35,49.46,14837608.0,49.46,GOOG-H
2008-04-17,49.72,50.0,49.42,49.85,6660660.0,49.85,GOOG-H
2008-04-18,50.49,50.94,49.38,49.96,9630848.0,49.96,GOOG-H
2008-04-21,50.2,50.89,49.13,50.63,6529945.0,50.63,GOOG-H
2008-04-22,50.6,50.9,49.92,50.07,5505572.0,50.07,GOOG-H
2008-04-23,51.0,52.34,50.9,52.0,13533256.0,52.0,GOOG-H
2008-04-24,52.0,52.43,51.5,52.0,5847689.0,52.0,GOOG-H
2008-04-25,52.14,52.18,50.75,51.3,11399641.0,51.3,GOOG-H
2008-04-28,50.94,51.3,50.75,51.07,8382470.0,51.07,GOOG-H
2008-04-29,51.44,52.2,50.26,52.01,12326452.0,52.01,GOOG-H
2008-04-30,51.7,52.01,50.91,51.03,8736402.0,51.03,GOOG-H
2008-05-01,50.83,51.17,50.62,50.75,7122614.0,50.75,GOOG-H
2008-05-02,50.9,51.1,50.4,51.02,9291703.0,51.02,GOOG-H
2008-05-05,50.87,51.63,50.63,50.81,8398645.0,50.81,GOOG-H
2008-05-06,50.9,51.95,50.85,51.88,7588691.0,51.88,GOOG-H
2008-05-07,51.97,52.2,51.31,51.69,6391320.0,51.69,GOOG-H
2008-05-08,51.65,52.21,51.5,52.2,6669613.0,52.2,GOOG-H
2008-05-09,51.9,52.46,51.53,51.83,5491720.0,51.83,GOOG-H
2008-05-12,51.98,52.54,51.3,52.47,5851289.0,52.47,GOOG-H
2008-05-13,52.42,52.84,52.04,52.46,5986527.0,52.46,GOOG-H
2008-05-14,52.51,52.85,52.4,52.67,5381474.0,52.67,GOOG-H
2008-05-15,52.51,53.31,52.1,53.25,8376438.0,53.25,GOOG-H
2008-05-16,53.23,53.5,52.35,53.38,7172820.0,53.38,GOOG-H
2008-05-19,53.49,53.95,52.93,53.63,6580465.0,53.63,GOOG-H
2008-05-20,53.3,53.94,52.82,52.91,6887370.0,52.91,GOOG-H
2008-05-21,53.04,53.18,51.83,51.98,6785687.0,51.98,GOOG-H
2008-05-22,51.82,52.77,51.78,52.28,5135183.0,52.28,GOOG-H
