DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,23.88,23.94,23.58,23.75,10500.0,23.75,GOOG-H
2000-01-04,24.09,24.19,23.81,23.81,21700.0,23.81,GOOG-H
2000-01-05,23.56,23.84,23.2,23.84,20200.0,23.84,GOOG-H
2000-01-06,23.94,24.22,23.94,24.0,11400.0,24.0,GOOG-H
2000-01-07,23.89,24.14,23.89,24.14,6300.0,24.14,GOOG-H
2000-01-10,24.0,24.02,23.59,23.91,7400.0,23.91,GOOG-H
2000-01-11,23.0,23.31,22.88,23.31,8800.0,23.31,GOOG-H
2000-01-12,22.59,22.59,22.0,22.38,33200.0,22.38,GOOG-H
2000-01-13,21.91,22.19,21.91,22.19,14500.0,22.19,GOOG-H
2000-01-14,22.28,22.42,21.97,22.03,15500.0,22.03,GOOG-H
2000-01-18,22.06,22.06,21.81,21.86,13200.0,21.86,GOOG-H
2000-01-19,22.03,22.03,21.63,21.75,12500.0,21.75,GOOG-H
2000-01-20,21.73,21.73,21.31,21.56,43900.0,21.56,GOOG-H
2000-01-21,21.09,21.5,21.05,21.5,47200.0,21.5,GOOG-H
2000-01-24,20.97,20.97,20.75,20.78,9700.0,20.78,GOOG-H
2000-01-25,19.78,20.25,19.78,20.19,14100.0,20.19,GOOG-H
2000-01-26,19.78,20.25,19.44,19.69,16400.0,19.69,GOOG-H
2000-01-27,19.06,19.5,19.0,19.5,23200.0,19.5,GOOG-H
2000-01-28,18.75,19.33,18.75,19.33,8100.0,19.33,GOOG-H
2000-01-31,18.5,18.81,18.47,18.67,16300.0,18.67,GOOG-H
2000-02-01,18.63,19.0,18.63,19.0,21600.0,19.0,GOOG-H
2000-02-02,18.81,19.06,18.66,19.06,34300.0,19.06,GOOG-H
2000-02-03,18.84,19.22,18.84,19.13,45300.0,19.13,GOOG-H
2000-02-04,18.75,18.75,18.59,18.72,20400.0,18.72,GOOG-H
2000-02-07,19.03,19.31,18.47,18.7,43900.0,18.7,GOOG-H
2000-02-08,18.53,18.88,18.53,18.64,19400.0,18.64,GOOG-H
2000-02-09,17.97,18.06,17.73,17.83,27300.0,17.83,GOOG-H
2000-02-10,17.25,17.25,17.09,17.09,57000.0,17.09,GOOG-H
2000-02-11,16.69,16.94,16.69,16.94,17900.0,16.94,GOOG-H
