DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,2.62,2.62,2.52,2.55,10100.0,2.55,GOOG-H
2000-01-04,2.54,2.54,2.53,2.53,4900.0,2.53,GOOG-H
2000-01-05,2.52,2.54,2.48,2.48,8300.0,2.48,GOOG-H
2000-01-06,2.51,2.53,2.48,2.53,16500.0,2.53,GOOG-H
2000-01-07,2.52,2.56,2.52,2.56,9400.0,2.56,GOOG-H
2000-01-10,2.59,2.63,2.56,2.6,13900.0,2.6,GOOG-H
2000-01-11,2.59,2.63,2.54,2.54,3100.0,2.54,GOOG-H
2000-01-12,2.53,2.58,2.5,2.54,24600.0,2.54,GOOG-H
2000-01-13,2.53,2.57,2.53,2.56,41900.0,2.56,GOOG-H
2000-01-14,2.58,2.65,2.58,2.65,176300.0,2.65,GOOG-H
2000-01-18,2.65,2.65,2.56,2.56,12400.0,2.56,GOOG-H
2000-01-19,2.55,2.65,2.55,2.64,12500.0,2.64,GOOG-H
2000-01-20,2.67,2.78,2.67,2.76,54200.0,2.76,GOOG-H
2000-01-21,2.72,2.73,2.7,2.73,38200.0,2.73,GOOG-H
2000-01-24,2.72,2.73,2.68,2.68,15000.0,2.68,GOOG-H
2000-01-25,2.7,2.7,2.66,2.66,14400.0,2.66,GOOG-H
2000-01-26,2.65,2.73,2.65,2.72,8800.0,2.72,GOOG-H
2000-01-27,2.7,2.74,2.68,2.74,15400.0,2.74,GOOG-H
2000-01-28,2.74,2.78,2.65,2.66,9700.0,2.66,GOOG-H
2000-01-31,2.65,2.68,2.61,2.61,9000.0,2.61,GOOG-H
2000-02-01,2.61,2.67,2.61,2.67,6800.0,2.67,GOOG-H
2000-02-02,2.65,2.65,2.59,2.59,20000.0,2.59,GOOG-H
2000-02-03,2.59,2.7,2.59,2.7,7500.0,2.7,GOOG-H
2000-02-04,2.71,2.78,2.71,2.77,33000.0,2.77,GOOG-H
2000-02-07,2.76,2.77,2.74,2.75,6100.0,2.75,GOOG-H
2000-02-08,2.77,2.77,2.66,2.66,9400.0,2.66,GOOG-H
2000-02-09,2.66,2.7,2.65,2.65,15400.0,2.65,GOOG-H
2000-02-10,2.66,2.7,2.63,2.63,9200.0,2.63,GOOG-H
2000-02-11,2.66,2.7,2.62,2.62,13600.0,2.62,GOOG-H
2000-02-14,2.66,2.66,2.62,2.62,4300.0,2.62,GOOG-H
2000-02-15,2.62,2.63,2.6,2.63,10500.0,2.63,GOOG-H
2000-02-16,2.6,2.62,2.56,2.58,5300.0,2.58,GOOG-H
2000-02-17,2.57,2.57,2.55,2.56,27900.0,2.56,GOOG-H
2000-02-18,2.58,2.58,2.55,2.55,1500.0,2.55,GOOG-H
2000-02-22,2.58,2.58,2.53,2.55,11600.0,2.55,GOOG-H
