DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,27.81,27.84,26.84,27.47,3276600.0,27.47,GOOG-H
2000-01-04,26.97,27.78,26.88,27.09,3648900.0,27.09,GOOG-H
2000-01-05,27.03,27.5,26.78,27.03,2182400.0,27.03,GOOG-H
2000-01-06,27.03,29.03,27.03,28.88,3463100.0,28.88,GOOG-H
2000-01-07,29.06,30.03,29.06,29.41,3210200.0,29.41,GOOG-H
2000-01-10,29.38,29.78,28.94,29.78,2327500.0,29.78,GOOG-H
2000-01-11,29.78,30.44,29.22,30.34,2474300.0,30.34,GOOG-H
2000-01-12,30.03,30.53,29.53,29.59,2153200.0,29.59,GOOG-H
2000-01-13,30.03,30.75,29.53,30.41,1998400.0,30.41,GOOG-H
2000-01-14,30.59,31.19,30.13,30.75,1897400.0,30.75,GOOG-H
2000-01-18,31.0,33.38,30.88,33.13,4579800.0,33.13,GOOG-H
2000-01-19,33.0,33.25,32.53,32.91,2967500.0,32.91,GOOG-H
2000-01-20,32.41,32.63,31.63,32.28,2221500.0,32.28,GOOG-H
2000-01-21,32.47,33.81,32.44,33.06,4116300.0,33.06,GOOG-H
2000-01-24,32.47,33.81,32.0,32.16,1848400.0,32.16,GOOG-H
2000-01-25,31.66,32.38,31.31,31.75,2464700.0,31.75,GOOG-H
2000-01-26,31.66,32.47,30.78,31.44,3176800.0,31.44,GOOG-H
2000-01-27,31.31,32.25,30.66,31.25,3768000.0,31.25,GOOG-H
2000-01-28,31.06,31.53,29.88,30.0,3060400.0,30.0,GOOG-H
2000-01-31,30.78,30.78,29.88,30.53,2240200.0,30.53,GOOG-H
2000-02-01,30.97,32.03,30.88,31.97,1782500.0,31.97,GOOG-H
2000-02-02,32.25,32.56,30.63,30.84,2823500.0,30.84,GOOG-H
2000-02-03,31.0,31.13,30.38,30.66,2140100.0,30.66,GOOG-H
2000-02-04,30.38,30.66,29.38,29.75,2725100.0,29.75,GOOG-H
2000-02-07,29.56,30.75,29.56,30.34,2071200.0,30.34,GOOG-H
2000-02-08,29.56,30.84,29.38,29.75,1382200.0,29.75,GOOG-H
2000-02-09,29.75,30.16,28.47,28.53,2650600.0,28.53,GOOG-H
2000-02-10,29.75,29.78,28.75,29.53,3348400.0,29.53,GOOG-H
2000-02-11,29.75,30.09,29.16,29.22,2362800.0,29.22,GOOG-H
2000-02-14,29.75,30.25,28.78,30.25,2171300.0,30.25,GOOG-H
2000-02-15,30.66,32.63,30.66,32.5,4860700.0,32.5,GOOG-H
2000-02-16,32.53,33.19,32.53,32.88,5095100.0,32.88,GOOG-H
2000-02-17,32.38,33.84,32.38,33.44,4691700.0,33.44,GOOG-H
2000-02-18,33.59,33.88,32.94,33.25,2585700.0,33.25,GOOG-H
2000-02-22,32.94,33.28,32.13,32.59,2283600.0,32.59,GOOG-H
2000-02-23,32.25,32.56,31.88,32.25,1795500.0,32.25,GOOG-H
2000-02-24,32.25,34.34,32.19,34.22,5496700.0,34.22,GOOG-H
2000-02-25,34.13,34.63,33.44,33.5,3409100.0,33.5,GOOG-H
2000-02-28,33.31,35.09,33.28,34.75,3237300.0,34.75,GOOG-H
2000-02-29,35.25,36.94,35.16,36.94,4784800.0,36.94,GOOG-H
2000-03-01,37.91,41.0,37.53,40.97,6341600.0,40.97,GOOG-H
2000-03-02,40.5,42.19,40.38,40.84,8707200.0,40.84,GOOG-H
2000-03-03,40.5,42.19,38.31,39.34,5650500.0,39.34,GOOG-H
2000-03-06,38.88,39.56,38.63,38.66,3254200.0,38.66,GOOG-H
2000-03-07,39.0,42.19,39.0,41.09,4404000.0,41.09,GOOG-H
2000-03-08,38.5,39.44,38.03,38.53,4208100.0,38.53,GOOG-H
2000-03-09,38.0,38.66,37.19,38.44,3390100.0,38.44,GOOG-H
2000-03-10,38.06,40.38,38.06,38.69,2967000.0,38.69,GOOG-H
2000-03-13,38.0,40.22,37.78,38.91,3083100.0,38.91,GOOG-H
2000-03-14,38.44,38.84,37.28,37.69,2205400.0,37.69,GOOG-H
2000-03-15,37.69,38.03,36.69,36.94,2617200.0,36.94,GOOG-H
2000-03-16,36.81,37.97,36.13,37.75,3979400.0,37.75,GOOG-H
2000-03-17,37.09,38.25,37.09,37.16,3171500.0,37.16,GOOG-H
2000-03-20,37.19,37.19,34.72,35.28,3535100.0,35.28,GOOG-H
2000-03-21,35.75,37.09,35.5,36.0,3190400.0,36.0,GOOG-H
2000-03-22,36.63,39.31,36.5,38.31,3796000.0,38.31,GOOG-H
2000-03-23,38.75,39.69,37.91,38.66,2806700.0,38.66,GOOG-H
2000-03-24,39.75,40.41,38.72,39.09,2698500.0,39.09,GOOG-H
2000-03-27,39.75,40.66,37.91,39.81,3471400.0,39.81,GOOG-H
2000-03-28,39.75,40.22,38.16,38.44,3024300.0,38.44,GOOG-H
2000-03-29,39.75,40.97,38.16,40.66,3545500.0,40.66,GOOG-H
2000-03-30,41.38,41.94,38.88,38.88,2984900.0,38.88,GOOG-H
2000-03-31,40.16,40.16,38.25,38.25,2042500.0,38.25,GOOG-H
2000-04-03,39.0,40.94,39.0,40.59,2677900.0,40.59,GOOG-H
2000-04-04,40.5,41.38,38.38,39.59,4881100.0,39.59,GOOG-H
2000-04-05,39.5,39.97,36.5,37.0,4057700.0,37.0,GOOG-H
2000-04-06,37.47,38.09,36.25,37.5,3327000.0,37.5,GOOG-H
2000-04-07,37.47,38.5,36.72,36.81,2878600.0,36.81,GOOG-H
2000-04-10,36.06,36.19,35.16,35.16,2949300.0,35.16,GOOG-H
2000-04-11,35.53,36.63,35.5,36.47,3075500.0,36.47,GOOG-H
2000-04-12,36.75,37.47,36.16,36.63,2891900.0,36.63,GOOG-H
2000-04-13,36.5,37.22,35.88,35.88,2131600.0,35.88,GOOG-H
2000-04-14,35.69,37.31,34.63,35.09,2653300.0,35.09,GOOG-H
2000-04-17,35.09,35.19,33.41,34.22,2422600.0,34.22,GOOG-H
2000-04-18,35.09,36.94,34.75,36.94,2632300.0,36.94,GOOG-H
2000-04-19,36.84,37.22,35.81,36.91,2254700.0,36.91,GOOG-H
2000-04-20,37.0,37.31,36.66,36.78,2475600.0,36.78,GOOG-H
2000-04-24,37.25,37.56,36.63,37.16,2366200.0,37.16,GOOG-H
2000-04-25,37.47,37.81,36.88,37.47,2321300.0,37.47,GOOG-H
2000-04-26,37.47,38.81,36.72,38.66,3193300.0,38.66,GOOG-H
2000-04-27,38.78,39.94,38.0,39.25,3374100.0,39.25,GOOG-H
2000-04-28,38.78,39.25,38.13,38.28,1486400.0,38.28,GOOG-H
2000-05-01,38.16,38.31,36.94,37.5,4053500.0,37.5,GOOG-H
2000-05-02,37.69,38.88,37.63,38.78,3735700.0,38.78,GOOG-H
2000-05-03,37.69,38.69,37.03,37.5,3229800.0,37.5,GOOG-H
2000-05-04,37.69,38.63,37.03,38.0,2534600.0,38.0,GOOG-H
2000-05-05,37.69,38.94,37.53,38.81,1494300.0,38.81,GOOG-H
2000-05-08,37.88,39.69,37.88,38.28,2132300.0,38.28,GOOG-H
2000-05-09,38.31,39.22,37.94,38.84,1823000.0,38.84,GOOG-H
2000-05-10,38.31,38.94,37.5,38.44,1912900.0,38.44,GOOG-H
2000-05-11,38.31,39.25,37.5,39.06,1441300.0,39.06,GOOG-H
2000-05-12,38.75,40.47,38.75,40.28,2340800.0,40.28,GOOG-H
2000-05-15,40.0,41.78,39.91,41.59,2497600.0,41.59,GOOG-H
2000-05-16,41.47,41.66,40.53,41.41,2571000.0,41.41,GOOG-H
2000-05-17,41.03,42.03,40.84,41.5,2342800.0,41.5,GOOG-H
2000-05-18,40.38,40.66,39.53,40.47,3796800.0,40.47,GOOG-H
2000-05-19,40.38,40.75,39.41,39.59,2906500.0,39.59,GOOG-H
2000-05-22,39.25,39.25,36.63,36.78,2829700.0,36.78,GOOG-H
2000-05-23,36.97,38.22,36.69,37.59,2908800.0,37.59,GOOG-H
2000-05-24,37.69,37.94,36.44,37.13,2042600.0,37.13,GOOG-H
2000-05-25,36.41,37.13,34.63,37.0,4760900.0,37.0,GOOG-H
2000-05-26,36.41,37.59,35.28,35.53,1697900.0,35.53,GOOG-H
2000-05-30,35.78,36.63,35.28,35.5,2907800.0,35.5,GOOG-H
2000-05-31,36.06,37.41,36.06,36.78,3734600.0,36.78,GOOG-H
2000-06-01,35.78,37.16,35.63,36.56,2760800.0,36.56,GOOG-H
2000-06-02,35.78,36.69,34.75,34.88,3609900.0,34.88,GOOG-H
2000-06-05,35.78,36.06,34.53,34.63,3078100.0,34.63,GOOG-H
2000-06-06,35.31,36.41,35.13,35.81,3454500.0,35.81,GOOG-H
2000-06-07,36.03,36.38,35.19,35.88,2617600.0,35.88,GOOG-H
2000-06-08,35.91,36.69,35.66,36.38,2075900.0,36.38,GOOG-H
2000-06-09,35.91,36.69,35.44,35.75,2054600.0,35.75,GOOG-H
2000-06-12,35.91,37.25,35.44,36.53,1821600.0,36.53,GOOG-H
2000-06-13,36.94,37.59,36.78,37.25,2097600.0,37.25,GOOG-H
2000-06-14,36.94,38.16,36.88,37.13,2419400.0,37.13,GOOG-H
2000-06-15,36.94,37.31,36.09,36.78,3057700.0,36.78,GOOG-H
2000-06-16,37.28,37.97,37.28,37.91,2703600.0,37.91,GOOG-H
2000-06-19,37.59,37.72,36.31,36.91,2373100.0,36.91,GOOG-H
2000-06-20,37.13,37.13,35.69,37.03,2737400.0,37.03,GOOG-H
2000-06-21,37.97,39.75,37.22,38.81,3440400.0,38.81,GOOG-H
2000-06-22,37.97,39.06,36.91,37.59,2494200.0,37.59,GOOG-H
2000-06-23,37.56,38.13,36.81,37.25,1765100.0,37.25,GOOG-H
2000-06-26,37.56,37.78,36.59,37.09,1665800.0,37.09,GOOG-H
2000-06-27,37.13,37.66,36.56,37.63,2340400.0,37.63,GOOG-H
2000-06-28,37.56,37.56,36.44,36.5,1843400.0,36.5,GOOG-H
2000-06-29,36.81,37.44,36.44,36.97,1582200.0,36.97,GOOG-H
