DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,21.79,22.03,21.32,21.62,284300.0,21.62,GOOG-H
2000-01-04,21.56,21.62,20.9,21.38,313200.0,21.38,GOOG-H
2000-01-05,21.02,21.62,21.02,21.56,183400.0,21.56,GOOG-H
2000-01-06,21.62,22.09,21.5,22.09,178300.0,22.09,GOOG-H
2000-01-07,22.03,23.11,22.03,23.05,232700.0,23.05,GOOG-H
2000-01-10,23.17,23.29,22.63,23.29,247100.0,23.29,GOOG-H
2000-01-11,23.53,23.65,23.11,23.23,328800.0,23.23,GOOG-H
2000-01-12,22.99,23.17,22.87,22.99,275600.0,22.99,GOOG-H
2000-01-13,23.05,23.23,22.93,23.23,242400.0,23.23,GOOG-H
2000-01-14,23.05,23.59,22.93,23.59,370400.0,23.59,GOOG-H
2000-01-18,23.59,23.77,23.41,23.71,243800.0,23.71,GOOG-H
2000-01-19,23.65,23.88,23.59,23.83,129500.0,23.83,GOOG-H
2000-01-20,23.88,23.94,23.71,23.94,146000.0,23.94,GOOG-H
2000-01-21,23.83,24.24,23.83,24.24,306100.0,24.24,GOOG-H
2000-01-24,24.3,24.36,23.88,24.0,161300.0,24.0,GOOG-H
2000-01-25,24.0,24.12,23.71,23.77,255900.0,23.77,GOOG-H
2000-01-26,23.71,23.83,23.65,23.83,125800.0,23.83,GOOG-H
2000-01-27,23.94,23.94,23.77,23.94,114100.0,23.94,GOOG-H
2000-01-28,23.94,23.94,23.83,23.83,85600.0,23.83,GOOG-H
2000-01-31,23.94,23.94,23.53,23.59,116700.0,23.59,GOOG-H
2000-02-01,23.71,23.83,23.53,23.71,313500.0,23.71,GOOG-H
2000-02-02,23.17,23.35,23.17,23.17,382800.0,23.17,GOOG-H
2000-02-03,23.29,23.53,22.93,23.53,444400.0,23.53,GOOG-H
2000-02-04,23.47,23.71,23.41,23.65,324900.0,23.65,GOOG-H
2000-02-07,23.65,23.71,23.41,23.53,215400.0,23.53,GOOG-H
2000-02-08,23.35,23.59,23.11,23.29,395900.0,23.29,GOOG-H
2000-02-09,23.23,23.35,22.99,23.23,238400.0,23.23,GOOG-H
2000-02-10,23.41,23.83,22.99,23.11,168200.0,23.11,GOOG-H
2000-02-11,23.11,23.11,22.87,22.87,226700.0,22.87,GOOG-H
2000-02-14,23.11,23.11,22.33,22.39,197900.0,22.39,GOOG-H
2000-02-15,23.11,23.11,22.21,22.27,274100.0,22.27,GOOG-H
2000-02-16,22.03,22.33,21.85,22.03,270600.0,22.03,GOOG-H
2000-02-17,22.09,22.27,21.97,22.21,262900.0,22.21,GOOG-H
2000-02-18,22.21,22.33,21.97,22.03,138500.0,22.03,GOOG-H
2000-02-22,22.33,22.45,21.97,21.97,194100.0,21.97,GOOG-H
2000-02-23,22.03,22.21,21.79,22.15,222100.0,22.15,GOOG-H
2000-02-24,22.39,22.39,21.97,22.15,85000.0,22.15,GOOG-H
