DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,48.56,49.0,46.63,47.0,5791900.0,47.0,GOOG-H
2000-01-04,47.06,47.75,43.5,44.25,7173600.0,44.25,GOOG-H
2000-01-05,45.0,45.25,44.44,44.94,9090000.0,44.94,GOOG-H
2000-01-06,44.56,45.0,43.13,43.75,7153600.0,43.75,GOOG-H
2000-01-07,44.56,44.75,43.38,44.13,5885600.0,44.13,GOOG-H
2000-01-10,44.75,45.0,44.25,44.75,7118700.0,44.75,GOOG-H
2000-01-11,44.69,44.94,43.81,44.13,6472800.0,44.13,GOOG-H
2000-01-12,43.5,43.56,41.5,41.81,8920000.0,41.81,GOOG-H
2000-01-13,42.38,42.94,40.75,40.81,8250000.0,40.81,GOOG-H
2000-01-14,41.25,42.0,40.0,42.0,9888300.0,42.0,GOOG-H
2000-01-18,42.13,43.06,40.88,41.13,9824500.0,41.13,GOOG-H
2000-01-19,41.0,41.0,40.0,40.56,10212300.0,40.56,GOOG-H
2000-01-20,40.81,41.56,40.06,41.0,10080400.0,41.0,GOOG-H
2000-01-21,42.88,43.38,42.0,43.0,15950400.0,43.0,GOOG-H
2000-01-24,43.44,43.5,40.94,42.0,9980400.0,42.0,GOOG-H
2000-01-25,41.0,41.13,38.56,40.0,15943100.0,40.0,GOOG-H
2000-01-26,40.5,40.5,39.69,40.0,7662100.0,40.0,GOOG-H
2000-01-27,40.06,40.31,39.0,39.0,6920100.0,39.0,GOOG-H
2000-01-28,39.31,40.44,39.0,39.25,8650600.0,39.25,GOOG-H
2000-01-31,39.5,43.5,39.06,42.88,11255300.0,42.88,GOOG-H
2000-02-01,43.0,43.0,41.75,42.38,8949600.0,42.38,GOOG-H
2000-02-02,43.0,43.13,42.5,42.5,6675100.0,42.5,GOOG-H
2000-02-03,43.0,43.19,41.31,42.0,7703800.0,42.0,GOOG-H
2000-02-04,42.0,42.38,41.56,42.0,6773000.0,42.0,GOOG-H
2000-02-07,41.38,42.31,41.06,41.88,5804500.0,41.88,GOOG-H
2000-02-08,42.5,43.0,42.0,42.06,5669800.0,42.06,GOOG-H
2000-02-09,42.31,42.81,42.0,42.63,6809500.0,42.63,GOOG-H
2000-02-10,42.38,42.44,41.94,42.13,5151200.0,42.13,GOOG-H
2000-02-11,42.0,42.06,39.75,40.44,5575700.0,40.44,GOOG-H
2000-02-14,39.5,41.5,39.44,40.88,8459100.0,40.88,GOOG-H
2000-02-15,40.0,41.0,39.56,40.69,8191900.0,40.69,GOOG-H
2000-02-16,40.38,40.69,38.75,39.06,8475100.0,39.06,GOOG-H
2000-02-17,38.94,40.0,38.0,40.0,9273600.0,40.0,GOOG-H
2000-02-18,38.06,38.25,36.0,38.25,13922400.0,38.25,GOOG-H
2000-02-22,37.25,37.31,35.56,36.5,14056000.0,36.5,GOOG-H
2000-02-23,36.0,36.5,34.81,35.75,12876300.0,35.75,GOOG-H
2000-02-24,35.44,35.88,34.81,35.5,12888000.0,35.5,GOOG-H
2000-02-25,36.0,36.69,34.94,35.44,11357400.0,35.44,GOOG-H
2000-02-28,35.75,37.5,35.75,37.0,11264900.0,37.0,GOOG-H
2000-02-29,37.19,38.13,37.13,37.75,8579000.0,37.75,GOOG-H
2000-03-01,40.06,42.0,39.75,42.0,15273600.0,42.0,GOOG-H
2000-03-02,43.0,46.0,42.81,45.25,14977200.0,45.25,GOOG-H
2000-03-03,45.5,46.0,44.19,45.56,8890700.0,45.56,GOOG-H
2000-03-06,44.56,44.56,42.75,43.38,6434200.0,43.38,GOOG-H
2000-03-07,43.56,44.5,41.88,41.88,6848900.0,41.88,GOOG-H
2000-03-08,41.88,42.06,41.38,41.63,6801600.0,41.63,GOOG-H
2000-03-09,41.38,41.63,40.63,41.56,5970700.0,41.56,GOOG-H
2000-03-10,41.56,42.5,41.44,42.0,7409900.0,42.0,GOOG-H
2000-03-13,41.25,44.0,41.06,43.69,6477800.0,43.69,GOOG-H
2000-03-14,43.75,43.75,42.0,42.13,6635300.0,42.13,GOOG-H
2000-03-15,42.63,43.0,42.31,42.5,7035600.0,42.5,GOOG-H
2000-03-16,43.94,45.5,42.94,45.13,9511100.0,45.13,GOOG-H
2000-03-17,45.38,46.81,45.13,45.75,9068200.0,45.75,GOOG-H
2000-03-20,45.13,45.75,44.19,44.44,4634400.0,44.44,GOOG-H
2000-03-21,44.56,45.38,43.81,45.25,4397500.0,45.25,GOOG-H
2000-03-22,44.38,44.94,43.0,43.31,5046800.0,43.31,GOOG-H
2000-03-23,42.44,44.0,42.38,43.56,5530300.0,43.56,GOOG-H
2000-03-24,43.06,43.69,42.56,43.0,5129800.0,43.0,GOOG-H
2000-03-27,43.13,43.63,42.44,43.19,5878800.0,43.19,GOOG-H
2000-03-28,42.69,43.38,42.44,42.5,6264600.0,42.5,GOOG-H
2000-03-29,42.94,43.88,41.94,42.25,6818400.0,42.25,GOOG-H
2000-03-30,43.0,43.38,41.56,41.63,8871800.0,41.63,GOOG-H
2000-03-31,42.5,43.0,42.0,42.13,7637900.0,42.13,GOOG-H
2000-04-03,42.5,44.88,42.44,44.75,7712000.0,44.75,GOOG-H
2000-04-04,45.0,47.19,44.75,46.0,10787700.0,46.0,GOOG-H
2000-04-05,46.0,47.13,45.88,46.31,8541900.0,46.31,GOOG-H
2000-04-06,46.06,47.31,46.0,46.61,5801500.0,46.61,GOOG-H
2000-04-07,47.0,47.19,45.31,46.38,5166700.0,46.38,GOOG-H
2000-04-10,46.0,46.44,45.56,46.25,4222800.0,46.25,GOOG-H
2000-04-11,46.31,48.25,46.06,47.25,6522900.0,47.25,GOOG-H
2000-04-12,47.94,49.0,47.0,47.0,7787600.0,47.0,GOOG-H
2000-04-13,47.31,47.31,46.0,47.0,5746000.0,47.0,GOOG-H
2000-04-14,45.63,46.63,42.0,42.63,7487000.0,42.63,GOOG-H
2000-04-17,43.5,43.56,40.88,41.88,7506700.0,41.88,GOOG-H
2000-04-18,41.13,41.94,40.44,41.5,6746600.0,41.5,GOOG-H
2000-04-19,41.44,42.63,41.13,41.94,7169800.0,41.94,GOOG-H
