DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,36.13,36.38,35.13,36.03,1435200.0,36.03,GOOG-H
2000-01-04,34.75,35.34,34.31,34.47,1928200.0,34.47,GOOG-H
2000-01-05,34.47,34.97,33.5,33.69,2165300.0,33.69,GOOG-H
2000-01-06,33.0,33.13,31.84,32.09,4083700.0,32.09,GOOG-H
2000-01-07,32.0,33.84,31.91,33.75,2201300.0,33.75,GOOG-H
2000-01-10,33.25,33.75,32.78,33.09,1279800.0,33.09,GOOG-H
2000-01-11,33.03,34.25,33.0,34.09,1895200.0,34.09,GOOG-H
2000-01-12,34.16,34.38,33.56,33.72,1595700.0,33.72,GOOG-H
2000-01-13,34.56,35.0,34.22,34.5,2540100.0,34.5,GOOG-H
2000-01-14,35.0,35.22,34.44,34.63,1458300.0,34.63,GOOG-H
2000-01-18,33.75,34.25,33.63,34.0,969600.0,34.0,GOOG-H
2000-01-19,34.03,35.91,33.5,34.97,1708500.0,34.97,GOOG-H
2000-01-20,34.97,35.09,33.5,33.84,1502700.0,33.84,GOOG-H
2000-01-21,34.38,34.5,32.25,32.41,2685100.0,32.41,GOOG-H
2000-01-24,32.75,33.13,31.63,31.75,2814700.0,31.75,GOOG-H
2000-01-25,32.25,32.72,31.44,32.56,2380700.0,32.56,GOOG-H
2000-01-26,32.5,34.25,32.5,34.06,2543500.0,34.06,GOOG-H
2000-01-27,33.97,34.0,32.91,33.66,2348600.0,33.66,GOOG-H
2000-01-28,33.72,33.72,31.5,31.69,2333400.0,31.69,GOOG-H
2000-01-31,31.94,33.13,31.69,32.94,1530800.0,32.94,GOOG-H
2000-02-01,33.0,34.06,32.56,33.72,1366600.0,33.72,GOOG-H
2000-02-02,33.75,34.56,33.03,34.0,1547900.0,34.0,GOOG-H
2000-02-03,33.88,33.88,32.81,33.03,2374400.0,33.03,GOOG-H
2000-02-04,33.47,33.75,31.88,32.31,2271800.0,32.31,GOOG-H
2000-02-07,32.5,33.25,32.31,32.84,1409700.0,32.84,GOOG-H
2000-02-08,32.85,34.38,32.81,34.34,1756100.0,34.34,GOOG-H
2000-02-09,33.5,34.38,33.5,33.59,909100.0,33.59,GOOG-H
2000-02-10,33.66,34.13,33.06,33.22,846400.0,33.22,GOOG-H
2000-02-11,33.28,33.44,33.03,33.03,969500.0,33.03,GOOG-H
2000-02-14,33.06,33.06,32.19,32.63,828800.0,32.63,GOOG-H
2000-02-15,33.06,33.06,31.53,31.97,1160800.0,31.97,GOOG-H
2000-02-16,31.88,32.63,30.72,30.91,1774500.0,30.91,GOOG-H
2000-02-17,30.91,31.13,29.25,29.94,2659000.0,29.94,GOOG-H
2000-02-18,29.94,30.38,29.09,29.5,2528800.0,29.5,GOOG-H
2000-02-22,29.41,29.91,27.72,28.97,2695200.0,28.97,GOOG-H
2000-02-23,29.13,29.16,28.34,28.41,1655000.0,28.41,GOOG-H
2000-02-24,29.13,29.16,26.88,27.94,1921300.0,27.94,GOOG-H
2000-02-25,28.03,28.38,27.44,27.94,2308800.0,27.94,GOOG-H
2000-02-28,28.63,29.53,28.31,29.44,1874700.0,29.44,GOOG-H
2000-02-29,29.44,30.25,29.06,29.5,1823700.0,29.5,GOOG-H
2000-03-01,29.47,29.81,29.25,29.63,1854200.0,29.63,GOOG-H
2000-03-02,29.69,31.09,29.69,30.09,1649600.0,30.09,GOOG-H
2000-03-03,30.5,31.38,29.94,30.88,1152700.0,30.88,GOOG-H
2000-03-06,30.97,31.09,29.97,30.25,1174200.0,30.25,GOOG-H
2000-03-07,30.0,30.0,28.81,29.0,1683900.0,29.0,GOOG-H
2000-03-08,28.44,29.09,28.44,29.06,2692800.0,29.06,GOOG-H
2000-03-09,29.13,30.25,28.31,30.03,1305600.0,30.03,GOOG-H
2000-03-10,30.25,31.0,30.22,30.41,1212300.0,30.41,GOOG-H
2000-03-13,29.75,30.88,29.47,30.72,1662500.0,30.72,GOOG-H
2000-03-14,30.72,31.47,30.19,31.13,881200.0,31.13,GOOG-H
2000-03-15,30.5,32.31,30.13,32.0,1414800.0,32.0,GOOG-H
2000-03-16,32.5,35.63,32.5,35.56,2417400.0,35.56,GOOG-H
2000-03-17,35.0,35.63,34.53,34.75,2622900.0,34.75,GOOG-H
2000-03-20,34.56,34.63,33.0,33.19,2483500.0,33.19,GOOG-H
2000-03-21,33.13,33.88,32.66,33.47,2234200.0,33.47,GOOG-H
2000-03-22,33.19,33.38,32.63,33.34,1386100.0,33.34,GOOG-H
2000-03-23,33.13,34.38,32.66,34.0,1313000.0,34.0,GOOG-H
2000-03-24,33.13,35.0,32.66,34.56,1050200.0,34.56,GOOG-H
2000-03-27,34.44,34.69,33.81,34.22,1001200.0,34.22,GOOG-H
2000-03-28,34.44,34.63,33.81,34.5,2512400.0,34.5,GOOG-H
2000-03-29,34.5,36.5,34.5,36.31,1946500.0,36.31,GOOG-H
2000-03-30,36.13,38.63,36.13,38.63,3141800.0,38.63,GOOG-H
2000-03-31,38.63,38.63,37.34,37.38,2612900.0,37.38,GOOG-H
2000-04-03,37.28,39.06,36.56,38.56,2510500.0,38.56,GOOG-H
2000-04-04,38.5,39.13,36.63,37.66,2603700.0,37.66,GOOG-H
2000-04-05,37.5,37.81,36.63,37.09,1026500.0,37.09,GOOG-H
2000-04-06,36.0,37.53,35.66,37.0,2469300.0,37.0,GOOG-H
2000-04-07,36.88,37.56,36.69,37.13,857600.0,37.13,GOOG-H
2000-04-10,37.13,38.03,36.66,37.59,971900.0,37.59,GOOG-H
2000-04-11,37.0,37.38,36.06,36.44,2163000.0,36.44,GOOG-H
2000-04-12,36.81,36.81,35.84,36.16,1640600.0,36.16,GOOG-H
2000-04-13,36.03,36.03,35.38,35.38,1299500.0,35.38,GOOG-H
2000-04-14,35.0,35.0,33.03,33.41,1341700.0,33.41,GOOG-H
2000-04-17,33.41,33.69,31.63,32.66,1516600.0,32.66,GOOG-H
2000-04-18,32.19,34.88,32.19,34.69,2435200.0,34.69,GOOG-H
2000-04-19,34.25,34.88,33.88,34.25,1349300.0,34.25,GOOG-H
2000-04-20,34.22,34.66,34.06,34.63,1067900.0,34.63,GOOG-H
2000-04-24,34.63,35.56,34.38,35.13,995600.0,35.13,GOOG-H
2000-04-25,35.03,35.94,34.72,35.75,845000.0,35.75,GOOG-H
2000-04-26,35.38,36.13,35.38,35.38,1295900.0,35.38,GOOG-H
2000-04-27,34.81,35.09,33.84,34.0,1177000.0,34.0,GOOG-H
2000-04-28,34.81,35.09,33.13,33.28,847000.0,33.28,GOOG-H
2000-05-01,33.5,34.72,33.44,34.13,1389900.0,34.13,GOOG-H
2000-05-02,34.0,34.69,33.59,34.44,1616100.0,34.44,GOOG-H
2000-05-03,32.75,33.0,31.53,31.88,2694500.0,31.88,GOOG-H
2000-05-04,32.75,33.5,31.63,32.97,3285700.0,32.97,GOOG-H
2000-05-05,32.94,35.19,32.88,34.03,1953200.0,34.03,GOOG-H
2000-05-08,33.25,34.41,33.25,34.13,1573600.0,34.13,GOOG-H
2000-05-09,34.72,34.97,34.03,34.72,1898300.0,34.72,GOOG-H
2000-05-10,34.75,35.38,34.75,35.19,1565100.0,35.19,GOOG-H
2000-05-11,35.5,35.5,34.31,34.94,794100.0,34.94,GOOG-H
2000-05-12,35.31,35.31,34.34,35.16,693400.0,35.16,GOOG-H
2000-05-15,34.94,35.81,34.69,35.5,758900.0,35.5,GOOG-H
2000-05-16,35.63,36.72,35.63,35.72,1613100.0,35.72,GOOG-H
2000-05-17,34.94,36.72,34.44,34.81,1600700.0,34.81,GOOG-H
2000-05-18,34.75,35.94,34.75,35.53,1997500.0,35.53,GOOG-H
2000-05-19,35.0,35.78,35.0,35.09,1282700.0,35.09,GOOG-H
2000-05-22,35.19,35.38,34.88,35.06,1049300.0,35.06,GOOG-H
2000-05-23,35.19,35.38,33.5,33.5,2902400.0,33.5,GOOG-H
2000-05-24,32.44,32.81,31.66,32.28,3260000.0,32.28,GOOG-H
2000-05-25,32.66,32.69,32.34,32.47,1155700.0,32.47,GOOG-H
2000-05-26,32.34,32.63,32.06,32.22,1309900.0,32.22,GOOG-H
2000-05-30,31.88,31.88,30.88,30.91,1728700.0,30.91,GOOG-H
2000-05-31,31.25,31.47,30.63,31.34,3148100.0,31.34,GOOG-H
2000-06-01,31.0,31.75,30.59,31.5,2257900.0,31.5,GOOG-H
2000-06-02,31.0,33.09,30.59,33.0,2390700.0,33.0,GOOG-H
2000-06-05,32.16,33.03,32.09,32.16,863600.0,32.16,GOOG-H
2000-06-06,31.56,31.56,28.72,28.78,4122800.0,28.78,GOOG-H
2000-06-07,29.38,30.25,29.38,29.78,3105400.0,29.78,GOOG-H
2000-06-08,29.75,30.06,29.19,29.88,1895600.0,29.88,GOOG-H
2000-06-09,29.88,29.91,27.97,27.97,2812800.0,27.97,GOOG-H
2000-06-12,28.06,28.06,27.03,27.25,2392600.0,27.25,GOOG-H
2000-06-13,27.81,28.44,27.19,28.31,2042400.0,28.31,GOOG-H
2000-06-14,28.56,29.56,28.38,29.0,2183600.0,29.0,GOOG-H
2000-06-15,29.28,29.97,29.28,29.91,2143600.0,29.91,GOOG-H
2000-06-16,30.0,30.0,29.06,29.25,2763800.0,29.25,GOOG-H
2000-06-19,29.59,29.97,27.56,28.59,3583300.0,28.59,GOOG-H
2000-06-20,28.25,28.25,27.34,27.5,4312800.0,27.5,GOOG-H
2000-06-21,28.25,28.25,25.94,26.22,4181200.0,26.22,GOOG-H
2000-06-22,26.78,27.13,26.13,26.78,3391000.0,26.78,GOOG-H
2000-06-23,27.06,27.31,26.69,27.03,1896800.0,27.03,GOOG-H
2000-06-26,27.5,28.0,27.44,27.72,1779000.0,27.72,GOOG-H
2000-06-27,27.19,28.69,27.06,27.91,2689800.0,27.91,GOOG-H
2000-06-28,27.91,28.88,27.25,27.31,2335100.0,27.31,GOOG-H
2000-06-29,27.91,28.25,27.06,27.75,2926100.0,27.75,GOOG-H
2000-06-30,27.72,29.0,27.56,29.0,2082900.0,29.0,GOOG-H
2000-07-03,28.69,29.0,28.16,28.97,1032000.0,28.97,GOOG-H
2000-07-05,29.31,29.63,28.44,28.84,2120700.0,28.84,GOOG-H
2000-07-06,28.84,29.41,28.16,28.22,2178300.0,28.22,GOOG-H
