DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,6.64,6.75,6.62,6.72,399600.0,6.72,GOOG-H
2000-01-04,6.67,6.78,6.62,6.63,669200.0,6.63,GOOG-H
2000-01-05,6.64,6.77,6.58,6.62,1205800.0,6.62,GOOG-H
2000-01-06,6.63,6.94,6.61,6.9,1617600.0,6.9,GOOG-H
2000-01-07,7.19,7.69,7.11,7.66,1807900.0,7.66,GOOG-H
2000-01-10,7.73,7.73,7.48,7.53,1051700.0,7.53,GOOG-H
2000-01-11,7.38,7.66,7.34,7.55,1135100.0,7.55,GOOG-H
2000-01-12,7.48,7.62,7.44,7.48,701800.0,7.48,GOOG-H
2000-01-13,7.52,7.74,7.48,7.71,797500.0,7.71,GOOG-H
2000-01-14,7.75,7.85,7.69,7.7,1061000.0,7.7,GOOG-H
2000-01-18,7.53,7.63,7.28,7.38,647500.0,7.38,GOOG-H
2000-01-19,7.53,7.55,7.28,7.44,864400.0,7.44,GOOG-H
2000-01-20,7.53,7.63,7.31,7.63,983700.0,7.63,GOOG-H
2000-01-21,7.63,7.63,7.22,7.3,1570200.0,7.3,GOOG-H
2000-01-24,7.2,7.2,6.82,6.9,1136800.0,6.9,GOOG-H
2000-01-25,6.94,7.02,6.82,6.9,1008500.0,6.9,GOOG-H
2000-01-26,6.81,7.04,6.81,6.88,1035000.0,6.88,GOOG-H
2000-01-27,6.88,6.91,6.73,6.77,1081700.0,6.77,GOOG-H
2000-01-28,6.53,6.83,6.53,6.58,1405400.0,6.58,GOOG-H
2000-01-31,6.58,6.91,6.58,6.63,547200.0,6.63,GOOG-H
2000-02-01,6.69,6.93,6.64,6.8,483200.0,6.8,GOOG-H
2000-02-02,6.69,7.06,6.64,6.98,787800.0,6.98,GOOG-H
2000-02-03,6.92,7.0,6.88,6.92,1562600.0,6.92,GOOG-H
2000-02-04,6.95,7.1,6.95,7.06,852200.0,7.06,GOOG-H
2000-02-07,7.0,7.31,6.98,7.27,1350900.0,7.27,GOOG-H
2000-02-08,7.0,7.13,6.97,6.99,898400.0,6.99,GOOG-H
2000-02-09,7.06,7.09,6.72,6.74,903000.0,6.74,GOOG-H
2000-02-10,7.23,7.55,7.13,7.23,2382800.0,7.23,GOOG-H
2000-02-11,7.14,7.39,6.98,7.02,1983200.0,7.02,GOOG-H
2000-02-14,7.08,7.19,7.05,7.16,758700.0,7.16,GOOG-H
2000-02-15,7.3,7.68,7.28,7.42,1884800.0,7.42,GOOG-H
2000-02-16,7.46,7.81,7.41,7.66,1778200.0,7.66,GOOG-H
2000-02-17,7.75,8.09,7.73,7.86,1391700.0,7.86,GOOG-H
2000-02-18,7.77,7.81,7.16,7.23,1763900.0,7.23,GOOG-H
2000-02-22,7.25,7.45,7.21,7.35,688800.0,7.35,GOOG-H
2000-02-23,7.25,7.31,7.11,7.19,1166800.0,7.19,GOOG-H
2000-02-24,7.08,7.08,6.49,6.58,1543900.0,6.58,GOOG-H
2000-02-25,6.41,6.61,6.32,6.41,1101400.0,6.41,GOOG-H
2000-02-28,6.38,6.55,6.31,6.43,1032200.0,6.43,GOOG-H
2000-02-29,6.4,6.49,6.38,6.39,962400.0,6.39,GOOG-H
2000-03-01,6.39,6.91,6.23,6.83,1435500.0,6.83,GOOG-H
2000-03-02,6.5,6.88,6.5,6.56,915000.0,6.56,GOOG-H
2000-03-03,6.55,6.91,6.51,6.8,413700.0,6.8,GOOG-H
2000-03-06,6.79,6.79,6.53,6.56,447500.0,6.56,GOOG-H
2000-03-07,6.44,6.45,6.13,6.13,1017500.0,6.13,GOOG-H
2000-03-08,6.11,6.17,5.8,5.98,1199100.0,5.98,GOOG-H
2000-03-09,6.11,6.2,5.89,6.15,763900.0,6.15,GOOG-H
2000-03-10,6.11,6.38,6.07,6.36,780600.0,6.36,GOOG-H
2000-03-13,6.13,6.31,6.13,6.26,722300.0,6.26,GOOG-H
2000-03-14,6.23,6.3,6.13,6.3,306400.0,6.3,GOOG-H
2000-03-15,6.21,6.47,6.19,6.43,1539800.0,6.43,GOOG-H
2000-03-16,6.33,6.65,6.22,6.52,1330300.0,6.52,GOOG-H
2000-03-17,6.63,6.75,6.4,6.41,1127000.0,6.41,GOOG-H
2000-03-20,6.48,6.67,6.46,6.63,630300.0,6.63,GOOG-H
2000-03-21,6.63,6.8,6.63,6.75,457500.0,6.75,GOOG-H
2000-03-22,6.72,6.87,6.5,6.62,511100.0,6.62,GOOG-H
2000-03-23,6.56,6.83,6.55,6.83,621200.0,6.83,GOOG-H
2000-03-24,6.82,7.2,6.8,7.18,1036700.0,7.18,GOOG-H
2000-03-27,7.1,7.11,6.92,6.95,558500.0,6.95,GOOG-H
2000-03-28,7.02,7.02,6.87,6.92,451700.0,6.92,GOOG-H
2000-03-29,6.99,6.99,6.81,6.92,401500.0,6.92,GOOG-H
2000-03-30,7.1,7.23,6.95,7.16,600600.0,7.16,GOOG-H
2000-03-31,7.16,7.46,7.05,7.45,790400.0,7.45,GOOG-H
2000-04-03,7.42,7.81,7.41,7.76,788600.0,7.76,GOOG-H
2000-04-04,7.42,7.81,7.22,7.59,917400.0,7.59,GOOG-H
2000-04-05,7.49,7.62,7.38,7.5,553300.0,7.5,GOOG-H
2000-04-06,7.49,7.75,7.45,7.71,656200.0,7.71,GOOG-H
2000-04-07,7.7,7.73,7.53,7.72,643600.0,7.72,GOOG-H
2000-04-10,7.7,8.03,7.53,7.98,790500.0,7.98,GOOG-H
2000-04-11,7.76,8.18,7.76,8.18,1181600.0,8.18,GOOG-H
2000-04-12,8.1,8.61,8.1,8.52,1100300.0,8.52,GOOG-H
2000-04-13,7.91,8.57,7.91,8.3,1535500.0,8.3,GOOG-H
2000-04-14,8.22,8.22,7.73,7.8,577400.0,7.8,GOOG-H
2000-04-17,7.92,8.07,7.72,7.97,597300.0,7.97,GOOG-H
2000-04-18,7.88,8.15,7.8,8.11,572900.0,8.11,GOOG-H
2000-04-19,7.92,8.22,7.92,8.09,557700.0,8.09,GOOG-H
2000-04-20,7.93,8.54,7.93,8.39,1052900.0,8.39,GOOG-H
2000-04-24,8.44,8.72,8.43,8.68,521300.0,8.68,GOOG-H
2000-04-25,8.67,8.67,8.44,8.53,1378500.0,8.53,GOOG-H
2000-04-26,8.56,8.65,8.38,8.41,871300.0,8.41,GOOG-H
2000-04-27,8.47,8.56,8.36,8.38,882500.0,8.38,GOOG-H
2000-04-28,8.47,8.56,8.27,8.34,672600.0,8.34,GOOG-H
2000-05-01,8.26,8.31,8.06,8.07,759500.0,8.07,GOOG-H
2000-05-02,8.13,8.13,7.84,7.88,1441200.0,7.88,GOOG-H
2000-05-03,7.81,7.83,7.53,7.66,1834300.0,7.66,GOOG-H
2000-05-04,7.81,7.83,7.75,7.8,2026700.0,7.8,GOOG-H
2000-05-05,7.85,7.98,7.85,7.88,1388200.0,7.88,GOOG-H
2000-05-08,7.88,8.28,7.83,8.25,896100.0,8.25,GOOG-H
2000-05-09,8.16,8.53,8.16,8.48,913100.0,8.48,GOOG-H
2000-05-10,8.55,8.75,8.47,8.55,1234300.0,8.55,GOOG-H
2000-05-11,8.65,8.83,8.59,8.65,1377500.0,8.65,GOOG-H
2000-05-12,8.76,8.96,8.65,8.92,1389400.0,8.92,GOOG-H
2000-05-15,9.0,9.38,9.0,9.35,1533400.0,9.35,GOOG-H
2000-05-16,9.69,9.69,9.32,9.45,1428100.0,9.45,GOOG-H
2000-05-17,9.36,9.47,9.29,9.33,1023300.0,9.33,GOOG-H
2000-05-18,9.34,9.82,9.34,9.76,1600100.0,9.76,GOOG-H
2000-05-19,9.61,9.68,9.45,9.55,966400.0,9.55,GOOG-H
2000-05-22,9.61,9.7,9.32,9.54,820700.0,9.54,GOOG-H
2000-05-23,9.5,9.59,9.39,9.43,808700.0,9.43,GOOG-H
2000-05-24,9.5,9.91,9.39,9.73,2333200.0,9.73,GOOG-H
2000-05-25,9.75,9.84,9.54,9.56,2274300.0,9.56,GOOG-H
2000-05-26,9.5,9.7,9.4,9.48,748000.0,9.48,GOOG-H
2000-05-30,9.58,9.8,9.48,9.49,850700.0,9.49,GOOG-H
2000-05-31,9.51,9.56,9.31,9.32,934900.0,9.32,GOOG-H
2000-06-01,9.3,9.63,9.28,9.47,1004400.0,9.47,GOOG-H
2000-06-02,9.47,9.53,9.32,9.36,891100.0,9.36,GOOG-H
2000-06-05,9.36,9.53,9.36,9.37,669700.0,9.37,GOOG-H
2000-06-06,9.34,9.45,9.06,9.17,969000.0,9.17,GOOG-H
2000-06-07,9.17,9.34,9.15,9.23,825400.0,9.23,GOOG-H
2000-06-08,9.24,9.39,9.23,9.24,760800.0,9.24,GOOG-H
2000-06-09,9.27,9.72,9.27,9.62,530600.0,9.62,GOOG-H
2000-06-12,9.62,10.05,9.5,9.99,1295100.0,9.99,GOOG-H
2000-06-13,9.62,10.34,9.5,10.09,2229800.0,10.09,GOOG-H
2000-06-14,10.09,10.27,10.03,10.25,1028400.0,10.25,GOOG-H
2000-06-15,10.26,10.39,10.25,10.25,1181000.0,10.25,GOOG-H
2000-06-16,10.23,10.3,10.03,10.09,1066500.0,10.09,GOOG-H
2000-06-19,10.2,10.23,10.0,10.0,1070900.0,10.0,GOOG-H
2000-06-20,10.03,10.22,10.01,10.02,576500.0,10.02,GOOG-H
2000-06-21,10.03,10.19,9.93,10.13,456800.0,10.13,GOOG-H
2000-06-22,10.1,10.36,9.99,10.05,976600.0,10.05,GOOG-H
2000-06-23,10.06,10.11,9.93,9.98,602300.0,9.98,GOOG-H
2000-06-26,10.06,10.19,9.97,9.97,944500.0,9.97,GOOG-H
2000-06-27,10.06,10.09,9.91,10.02,913700.0,10.02,GOOG-H
2000-06-28,10.05,10.41,9.73,10.3,1009100.0,10.3,GOOG-H
2000-06-29,10.34,11.13,10.34,10.75,2387500.0,10.75,GOOG-H
2000-06-30,10.72,11.0,10.7,10.72,935200.0,10.72,GOOG-H
2000-07-03,11.01,11.01,10.66,11.01,453900.0,11.01,GOOG-H
2000-07-05,11.13,11.24,10.94,11.13,784000.0,11.13,GOOG-H
2000-07-06,10.91,11.49,10.88,11.47,1424400.0,11.47,GOOG-H
2000-07-07,11.08,11.43,11.08,11.22,1379000.0,11.22,GOOG-H
2000-07-10,11.13,11.15,10.78,10.92,736900.0,10.92,GOOG-H
2000-07-11,11.13,11.16,10.91,10.96,1012100.0,10.96,GOOG-H
2000-07-12,10.96,11.29,10.93,11.16,1414600.0,11.16,GOOG-H
2000-07-13,10.96,11.14,10.66,10.72,1057600.0,10.72,GOOG-H
2000-07-14,10.72,10.8,10.41,10.56,1316100.0,10.56,GOOG-H
2000-07-17,10.72,10.94,10.51,10.87,933100.0,10.87,GOOG-H
2000-07-18,10.54,10.54,10.2,10.49,2104000.0,10.49,GOOG-H
2000-07-19,10.56,10.56,10.47,10.49,630400.0,10.49,GOOG-H
2000-07-20,10.5,10.63,10.33,10.61,526100.0,10.61,GOOG-H
2000-07-21,10.73,10.75,10.52,10.63,441800.0,10.63,GOOG-H
2000-07-24,10.56,10.58,10.23,10.29,675000.0,10.29,GOOG-H
2000-07-25,10.3,10.3,9.84,9.84,1243800.0,9.84,GOOG-H
2000-07-26,9.99,9.99,9.77,9.77,1399600.0,9.77,GOOG-H
2000-07-27,10.33,10.33,9.8,10.21,1360100.0,10.21,GOOG-H
2000-07-28,10.23,10.3,10.12,10.15,507500.0,10.15,GOOG-H
2000-07-31,10.2,10.44,10.15,10.23,621800.0,10.23,GOOG-H
2000-08-01,10.16,10.51,10.16,10.43,464900.0,10.43,GOOG-H
2000-08-02,10.31,10.59,10.23,10.48,1082300.0,10.48,GOOG-H
2000-08-03,10.34,10.63,10.23,10.62,1440700.0,10.62,GOOG-H
2000-08-04,10.69,11.0,10.69,10.96,1075600.0,10.96,GOOG-H
2000-08-07,11.03,11.19,11.02,11.02,719000.0,11.02,GOOG-H
2000-08-08,11.06,11.09,10.86,10.88,833400.0,10.88,GOOG-H
2000-08-09,10.88,11.02,10.69,10.98,742200.0,10.98,GOOG-H
2000-08-10,10.97,11.09,10.85,11.05,510400.0,11.05,GOOG-H
2000-08-11,10.98,11.56,10.98,11.53,1374200.0,11.53,GOOG-H
2000-08-14,11.56,11.8,11.56,11.69,810700.0,11.69,GOOG-H
2000-08-15,11.58,11.66,11.51,11.63,412100.0,11.63,GOOG-H
2000-08-16,11.65,11.66,11.45,11.52,387700.0,11.52,GOOG-H
2000-08-17,11.46,11.83,11.46,11.6,511600.0,11.6,GOOG-H
2000-08-18,11.61,11.61,11.28,11.42,926600.0,11.42,GOOG-H
2000-08-21,11.42,11.55,11.4,11.48,505500.0,11.48,GOOG-H
2000-08-22,11.47,11.77,11.47,11.69,494800.0,11.69,GOOG-H
2000-08-23,11.67,11.68,11.35,11.42,635500.0,11.42,GOOG-H
2000-08-24,11.45,11.54,11.38,11.41,518700.0,11.41,GOOG-H
2000-08-25,11.38,11.41,11.16,11.22,922100.0,11.22,GOOG-H
2000-08-28,11.25,11.36,11.22,11.25,505200.0,11.25,GOOG-H
2000-08-29,11.3,11.51,11.29,11.34,528200.0,11.34,GOOG-H
2000-08-30,11.34,11.38,11.25,11.33,495800.0,11.33,GOOG-H
2000-08-31,11.31,11.98,11.3,11.81,646300.0,11.81,GOOG-H
2000-09-01,11.88,11.94,11.68,11.74,498900.0,11.74,GOOG-H
2000-09-05,11.75,11.86,11.55,11.6,392000.0,11.6,GOOG-H
2000-09-06,11.63,11.72,11.56,11.56,759700.0,11.56,GOOG-H
2000-09-07,11.56,11.62,11.45,11.48,584400.0,11.48,GOOG-H
2000-09-08,11.3,11.43,11.3,11.31,651400.0,11.31,GOOG-H
2000-09-11,11.31,11.74,11.31,11.67,695800.0,11.67,GOOG-H
2000-09-12,11.81,12.04,11.41,11.43,837400.0,11.43,GOOG-H
2000-09-13,11.32,11.51,11.21,11.44,1015100.0,11.44,GOOG-H
2000-09-14,11.68,11.95,11.66,11.8,888500.0,11.8,GOOG-H
2000-09-15,11.8,11.95,11.46,11.59,920700.0,11.59,GOOG-H
2000-09-18,11.58,11.67,11.38,11.4,894000.0,11.4,GOOG-H
2000-09-19,11.59,11.97,11.52,11.79,912400.0,11.79,GOOG-H
2000-09-20,11.71,11.75,11.45,11.54,595800.0,11.54,GOOG-H
2000-09-21,11.7,11.9,11.7,11.8,678800.0,11.8,GOOG-H
2000-09-22,11.8,12.28,11.73,12.23,1844500.0,12.23,GOOG-H
2000-09-25,12.25,12.53,12.04,12.16,751900.0,12.16,GOOG-H
2000-09-26,12.25,12.53,12.04,12.16,751900.0,12.16,GOOG-H
2000-09-27,12.23,12.41,12.21,12.25,1219700.0,12.25,GOOG-H
2000-09-28,12.31,12.49,12.27,12.43,1237700.0,12.43,GOOG-H
2000-09-29,12.45,12.64,12.33,12.34,980600.0,12.34,GOOG-H
2000-10-02,12.38,13.28,12.16,13.24,1235400.0,13.24,GOOG-H
2000-10-03,13.13,13.49,12.98,13.16,1044600.0,13.16,GOOG-H
2000-10-04,12.98,13.34,12.78,12.82,898800.0,12.82,GOOG-H
2000-10-05,12.76,13.25,12.73,13.1,986100.0,13.1,GOOG-H
2000-10-06,13.11,13.13,12.77,12.87,638900.0,12.87,GOOG-H
2000-10-09,12.87,13.01,12.77,12.88,507000.0,12.88,GOOG-H
2000-10-10,12.95,13.43,12.93,13.23,1308700.0,13.23,GOOG-H
2000-10-11,13.08,13.38,12.94,13.19,1561400.0,13.19,GOOG-H
2000-10-12,13.22,13.31,12.59,12.69,1305400.0,12.69,GOOG-H
2000-10-13,12.7,13.08,12.7,12.98,758400.0,12.98,GOOG-H
2000-10-16,13.17,13.63,13.17,13.62,1788500.0,13.62,GOOG-H
2000-10-17,14.0,14.0,13.28,13.35,1308900.0,13.35,GOOG-H
2000-10-18,13.26,13.27,13.09,13.1,2207600.0,13.1,GOOG-H
2000-10-19,13.1,13.2,12.79,13.07,1108700.0,13.07,GOOG-H
2000-10-20,13.02,13.23,12.94,13.16,926900.0,13.16,GOOG-H
2000-10-23,13.09,13.25,12.98,13.07,530700.0,13.07,GOOG-H
2000-10-24,13.08,13.49,13.08,13.33,1003000.0,13.33,GOOG-H
2000-10-25,13.13,13.45,12.91,13.06,2340900.0,13.06,GOOG-H
2000-10-26,13.19,13.55,13.19,13.43,1666000.0,13.43,GOOG-H
2000-10-27,13.66,13.91,13.56,13.71,1603100.0,13.71,GOOG-H
