DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,11.03,11.03,10.73,10.77,735300.0,10.77,GOOG-H
2000-01-04,10.77,10.84,10.67,10.75,1081300.0,10.75,GOOG-H
2000-01-05,10.75,10.91,10.73,10.75,786900.0,10.75,GOOG-H
2000-01-06,10.75,11.5,10.75,11.41,1296000.0,11.41,GOOG-H
2000-01-07,11.41,11.42,11.16,11.33,710500.0,11.33,GOOG-H
2000-01-10,11.41,11.69,11.38,11.59,734300.0,11.59,GOOG-H
2000-01-11,11.56,11.8,11.56,11.69,535200.0,11.69,GOOG-H
2000-01-12,11.63,11.7,11.41,11.45,464500.0,11.45,GOOG-H
2000-01-13,11.45,11.91,11.34,11.66,711700.0,11.66,GOOG-H
2000-01-14,11.69,11.73,11.42,11.52,510800.0,11.52,GOOG-H
2000-01-18,11.39,11.47,11.06,11.09,664700.0,11.09,GOOG-H
2000-01-19,10.78,10.91,10.56,10.91,1241800.0,10.91,GOOG-H
2000-01-20,11.06,11.19,10.22,10.5,1774100.0,10.5,GOOG-H
2000-01-21,10.64,11.05,10.63,10.94,1068700.0,10.94,GOOG-H
2000-01-24,10.64,11.06,10.59,10.61,555400.0,10.61,GOOG-H
2000-01-25,10.64,10.67,10.0,10.23,1164200.0,10.23,GOOG-H
2000-01-26,10.45,10.45,9.98,10.45,752700.0,10.45,GOOG-H
2000-01-27,10.5,10.5,10.02,10.06,785500.0,10.06,GOOG-H
2000-01-28,10.08,10.33,9.94,10.16,644300.0,10.16,GOOG-H
2000-01-31,10.16,10.27,9.95,10.0,753400.0,10.0,GOOG-H
2000-02-01,10.0,10.09,9.88,10.08,590300.0,10.08,GOOG-H
2000-02-02,10.03,10.06,9.66,9.69,809700.0,9.69,GOOG-H
2000-02-03,9.81,9.84,9.75,9.83,751700.0,9.83,GOOG-H
2000-02-04,9.94,10.22,9.94,10.08,722100.0,10.08,GOOG-H
2000-02-07,9.94,10.13,9.88,9.92,585800.0,9.92,GOOG-H
2000-02-08,9.98,9.98,9.66,9.67,654400.0,9.67,GOOG-H
2000-02-09,9.81,10.13,9.72,9.73,1039400.0,9.73,GOOG-H
2000-02-10,9.73,9.73,8.97,9.27,1810900.0,9.27,GOOG-H
2000-02-11,9.28,9.34,9.16,9.19,704100.0,9.19,GOOG-H
2000-02-14,9.28,9.5,9.23,9.5,1003900.0,9.5,GOOG-H
2000-02-15,9.63,9.7,9.47,9.7,1476300.0,9.7,GOOG-H
2000-02-16,9.75,9.84,9.25,9.34,1147800.0,9.34,GOOG-H
2000-02-17,9.38,9.5,9.19,9.47,668700.0,9.47,GOOG-H
2000-02-18,9.5,9.56,9.36,9.44,777800.0,9.44,GOOG-H
2000-02-22,9.48,9.84,9.48,9.7,637800.0,9.7,GOOG-H
2000-02-23,9.48,9.86,9.48,9.83,873500.0,9.83,GOOG-H
2000-02-24,9.88,9.88,9.06,9.31,1503200.0,9.31,GOOG-H
2000-02-25,9.31,9.38,9.14,9.36,630000.0,9.36,GOOG-H
2000-02-28,9.36,9.69,9.22,9.63,717800.0,9.63,GOOG-H
2000-02-29,9.61,9.7,9.48,9.5,848400.0,9.5,GOOG-H
2000-03-01,9.61,9.66,9.52,9.56,1533900.0,9.56,GOOG-H
2000-03-02,9.55,9.55,9.36,9.45,776600.0,9.45,GOOG-H
2000-03-03,9.44,9.88,9.39,9.84,1126500.0,9.84,GOOG-H
2000-03-06,9.78,9.78,9.33,9.39,711800.0,9.39,GOOG-H
2000-03-07,9.31,9.38,8.92,9.0,1036100.0,9.0,GOOG-H
2000-03-08,9.27,9.27,9.06,9.08,1019200.0,9.08,GOOG-H
2000-03-09,9.13,9.13,8.64,8.98,1416100.0,8.98,GOOG-H
2000-03-10,8.92,9.05,8.72,8.77,1348000.0,8.77,GOOG-H
2000-03-13,8.73,8.81,8.56,8.81,775700.0,8.81,GOOG-H
2000-03-14,8.88,8.88,8.72,8.75,625500.0,8.75,GOOG-H
2000-03-15,8.78,9.34,8.78,9.34,830800.0,9.34,GOOG-H
2000-03-16,9.45,9.94,9.3,9.94,1465800.0,9.94,GOOG-H
2000-03-17,9.94,10.16,9.94,10.11,955000.0,10.11,GOOG-H
2000-03-20,10.11,10.16,9.42,9.56,862400.0,9.56,GOOG-H
2000-03-21,9.44,10.03,9.44,10.03,1063300.0,10.03,GOOG-H
2000-03-22,10.06,10.09,9.58,9.66,812400.0,9.66,GOOG-H
2000-03-23,9.5,9.69,9.42,9.67,626500.0,9.67,GOOG-H
2000-03-24,9.64,9.7,9.44,9.53,547000.0,9.53,GOOG-H
2000-03-27,9.5,9.72,9.5,9.67,473200.0,9.67,GOOG-H
