DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,18.28,18.33,17.16,17.55,2334500.0,17.55,GOOG-H
2000-01-04,17.11,17.16,16.53,16.77,2285600.0,16.77,GOOG-H
2000-01-05,16.58,17.02,16.58,16.72,1947300.0,16.72,GOOG-H
2000-01-06,16.77,17.5,16.58,17.31,1700700.0,17.31,GOOG-H
2000-01-07,17.26,17.7,17.21,17.65,1886700.0,17.65,GOOG-H
2000-01-10,17.8,17.85,17.16,17.16,1295500.0,17.16,GOOG-H
2000-01-11,17.16,17.55,17.16,17.21,1478900.0,17.21,GOOG-H
2000-01-12,17.16,17.8,17.16,17.46,1235300.0,17.46,GOOG-H
2000-01-13,17.65,18.09,17.65,17.89,1533900.0,17.89,GOOG-H
2000-01-14,18.72,18.72,17.8,17.99,2269600.0,17.99,GOOG-H
2000-01-18,17.65,17.85,17.07,17.26,1691900.0,17.26,GOOG-H
2000-01-19,17.21,17.85,16.87,17.02,3249500.0,17.02,GOOG-H
2000-01-20,17.07,17.07,16.38,16.68,2381900.0,16.68,GOOG-H
2000-01-21,16.68,16.68,16.04,16.29,5257600.0,16.29,GOOG-H
2000-01-24,16.33,16.38,15.99,16.09,1486300.0,16.09,GOOG-H
2000-01-25,15.8,16.48,15.75,16.24,1599800.0,16.24,GOOG-H
2000-01-26,16.33,16.97,16.29,16.82,1112300.0,16.82,GOOG-H
2000-01-27,17.02,17.6,17.02,17.26,2060900.0,17.26,GOOG-H
2000-01-28,17.26,17.26,16.38,16.38,1512200.0,16.38,GOOG-H
2000-01-31,16.38,17.36,16.38,17.31,2062100.0,17.31,GOOG-H
2000-02-01,17.31,17.7,17.07,17.36,1661700.0,17.36,GOOG-H
2000-02-02,17.16,17.6,16.97,17.16,1095200.0,17.16,GOOG-H
2000-02-03,17.31,17.46,16.97,17.21,1233300.0,17.21,GOOG-H
2000-02-04,17.31,17.41,16.53,16.63,1113800.0,16.63,GOOG-H
2000-02-07,16.58,16.72,16.33,16.63,1003600.0,16.63,GOOG-H
2000-02-08,16.68,17.31,16.68,16.92,1587600.0,16.92,GOOG-H
2000-02-09,16.68,16.77,16.04,16.04,1288200.0,16.04,GOOG-H
2000-02-10,16.19,16.33,15.65,15.75,1402300.0,15.75,GOOG-H
2000-02-11,15.99,16.19,15.51,15.55,2298000.0,15.55,GOOG-H
2000-02-14,15.7,15.7,14.87,15.02,1889900.0,15.02,GOOG-H
2000-02-15,15.26,15.26,14.77,15.07,4936900.0,15.07,GOOG-H
2000-02-16,15.26,15.26,14.77,14.82,1465000.0,14.82,GOOG-H
2000-02-17,15.26,15.55,14.82,14.87,2721100.0,14.87,GOOG-H
2000-02-18,14.77,14.92,14.04,14.19,3700000.0,14.19,GOOG-H
2000-02-22,14.43,14.77,14.29,14.38,3162000.0,14.38,GOOG-H
2000-02-23,14.43,14.43,13.85,13.9,2991700.0,13.9,GOOG-H
2000-02-24,14.09,14.09,13.75,13.85,2256200.0,13.85,GOOG-H
2000-02-25,13.99,14.63,13.95,14.29,2511300.0,14.29,GOOG-H
2000-02-28,14.24,14.48,14.14,14.34,4451500.0,14.34,GOOG-H
2000-02-29,14.34,14.53,14.29,14.29,3847200.0,14.29,GOOG-H
2000-03-01,14.29,14.29,13.75,13.75,2628000.0,13.75,GOOG-H
2000-03-02,13.8,13.8,13.21,13.36,5640600.0,13.36,GOOG-H
2000-03-03,13.26,13.8,13.26,13.6,2036900.0,13.6,GOOG-H
2000-03-06,13.8,14.09,13.75,13.85,2650700.0,13.85,GOOG-H
2000-03-07,13.95,14.04,13.7,13.75,2194800.0,13.75,GOOG-H
2000-03-08,13.65,13.9,13.46,13.75,2049100.0,13.75,GOOG-H
2000-03-09,13.7,13.7,13.31,13.6,1419500.0,13.6,GOOG-H
2000-03-10,13.6,14.04,13.51,14.04,1690500.0,14.04,GOOG-H
2000-03-13,13.75,14.19,13.55,13.7,1707700.0,13.7,GOOG-H
2000-03-14,13.7,14.04,13.65,14.04,1814900.0,14.04,GOOG-H
2000-03-15,13.85,15.46,13.85,15.46,3105600.0,15.46,GOOG-H
2000-03-16,15.7,17.21,15.7,16.87,4020100.0,16.87,GOOG-H
2000-03-17,16.58,16.77,16.09,16.43,3334400.0,16.43,GOOG-H
2000-03-20,16.58,16.77,15.6,15.75,1975100.0,15.75,GOOG-H
2000-03-21,15.65,16.58,15.6,16.29,3003300.0,16.29,GOOG-H
2000-03-22,16.09,16.33,16.04,16.33,2036400.0,16.33,GOOG-H
2000-03-23,16.09,16.58,15.8,16.58,2627000.0,16.58,GOOG-H
2000-03-24,16.43,16.82,16.43,16.77,1772000.0,16.77,GOOG-H
2000-03-27,16.29,16.48,15.9,16.33,1732900.0,16.33,GOOG-H
2000-03-28,16.29,16.77,15.9,16.53,990600.0,16.53,GOOG-H
2000-03-29,16.29,16.77,16.09,16.24,971800.0,16.24,GOOG-H
2000-03-30,16.29,16.43,15.9,16.09,1063900.0,16.09,GOOG-H
2000-03-31,16.29,17.11,16.14,17.07,1338500.0,17.07,GOOG-H
2000-04-03,16.97,18.24,16.87,18.24,2028100.0,18.24,GOOG-H
2000-04-04,18.63,18.87,17.46,17.99,2895100.0,17.99,GOOG-H
