DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,32.47,32.5,31.0,31.25,974400.0,31.25,GOOG-H
2000-01-04,30.56,31.19,29.5,29.97,1565500.0,29.97,GOOG-H
2000-01-05,29.97,30.13,29.25,29.38,1857300.0,29.38,GOOG-H
2000-01-06,29.25,30.91,28.44,30.78,2928500.0,30.78,GOOG-H
2000-01-07,32.0,32.34,30.31,32.0,1720400.0,32.0,GOOG-H
2000-01-10,32.31,32.63,31.84,32.31,1116700.0,32.31,GOOG-H
2000-01-11,32.19,32.22,31.5,31.56,1025200.0,31.56,GOOG-H
2000-01-12,31.59,32.75,31.56,32.28,1163100.0,32.28,GOOG-H
2000-01-13,32.09,32.94,32.03,32.63,954600.0,32.63,GOOG-H
2000-01-14,32.63,32.63,31.5,31.91,1431500.0,31.91,GOOG-H
2000-01-18,31.5,31.69,30.09,31.38,2218000.0,31.38,GOOG-H
2000-01-19,31.19,31.63,30.22,30.34,1604000.0,30.34,GOOG-H
2000-01-20,30.53,30.66,29.03,29.66,1753500.0,29.66,GOOG-H
2000-01-21,29.75,30.5,29.03,30.31,2025400.0,30.31,GOOG-H
2000-01-24,31.56,31.88,29.75,30.0,2011900.0,30.0,GOOG-H
2000-01-25,29.69,29.81,28.38,28.44,2292700.0,28.44,GOOG-H
2000-01-26,28.44,29.0,27.69,28.5,2002900.0,28.5,GOOG-H
2000-01-27,28.5,28.69,27.0,27.59,1762600.0,27.59,GOOG-H
2000-01-28,27.47,27.56,25.75,26.13,3304100.0,26.13,GOOG-H
2000-01-31,26.88,26.88,26.19,26.47,1926500.0,26.47,GOOG-H
2000-02-01,26.75,26.97,26.28,26.84,2469800.0,26.84,GOOG-H
2000-02-02,26.94,27.25,26.59,26.88,1425500.0,26.88,GOOG-H
2000-02-03,26.94,27.19,25.75,26.47,2045500.0,26.47,GOOG-H
2000-02-04,26.75,26.75,25.0,25.59,3002300.0,25.59,GOOG-H
2000-02-07,25.59,26.0,25.16,25.34,3508400.0,25.34,GOOG-H
2000-02-08,25.5,25.81,24.97,25.5,2210100.0,25.5,GOOG-H
2000-02-09,25.94,26.28,25.25,25.31,2522300.0,25.31,GOOG-H
2000-02-10,25.38,25.84,24.88,25.06,1565500.0,25.06,GOOG-H
2000-02-11,25.06,25.5,23.78,24.19,1772000.0,24.19,GOOG-H
2000-02-14,24.41,25.75,24.41,25.16,2152500.0,25.16,GOOG-H
2000-02-15,25.31,26.44,24.81,26.22,2944100.0,26.22,GOOG-H
2000-02-16,26.34,26.94,26.0,26.06,1730300.0,26.06,GOOG-H
2000-02-17,27.0,27.31,26.03,27.06,1744600.0,27.06,GOOG-H
2000-02-18,27.13,27.22,25.94,26.19,1322300.0,26.19,GOOG-H
2000-02-22,26.81,27.22,25.66,26.75,1317800.0,26.75,GOOG-H
2000-02-23,26.75,27.19,26.38,26.38,1540400.0,26.38,GOOG-H
2000-02-24,26.44,26.56,25.13,25.44,2180200.0,25.44,GOOG-H
2000-02-25,25.25,25.56,24.94,25.03,1917000.0,25.03,GOOG-H
2000-02-28,25.38,25.88,25.0,25.53,3381700.0,25.53,GOOG-H
2000-02-29,26.0,26.0,25.25,25.47,1540400.0,25.47,GOOG-H
2000-03-01,25.47,25.56,24.38,25.41,1645900.0,25.41,GOOG-H
2000-03-02,25.38,25.69,24.81,25.41,1332900.0,25.41,GOOG-H
2000-03-03,25.28,26.44,25.0,25.91,1403800.0,25.91,GOOG-H
2000-03-06,26.16,26.31,24.63,25.0,1444500.0,25.0,GOOG-H
2000-03-07,25.06,25.78,24.38,25.25,1490300.0,25.25,GOOG-H
2000-03-08,25.06,25.78,24.5,24.63,1491100.0,24.63,GOOG-H
2000-03-09,24.25,24.5,23.25,24.03,1975900.0,24.03,GOOG-H
2000-03-10,23.91,24.75,23.5,24.44,1822100.0,24.44,GOOG-H
2000-03-13,24.25,24.72,24.09,24.5,1356000.0,24.5,GOOG-H
2000-03-14,24.78,25.31,24.78,25.13,1741000.0,25.13,GOOG-H
2000-03-15,25.03,27.75,24.75,27.44,2774100.0,27.44,GOOG-H
2000-03-16,27.44,28.97,27.13,28.5,2901600.0,28.5,GOOG-H
2000-03-17,28.0,29.19,27.09,27.31,2449000.0,27.31,GOOG-H
2000-03-20,27.31,28.88,26.97,28.06,1449400.0,28.06,GOOG-H
2000-03-21,27.88,28.91,27.63,28.38,1560900.0,28.38,GOOG-H
2000-03-22,28.75,29.06,27.69,27.91,2394900.0,27.91,GOOG-H
2000-03-23,27.94,29.19,27.5,29.19,1529800.0,29.19,GOOG-H
2000-03-24,28.75,29.5,28.25,28.53,1484300.0,28.53,GOOG-H
2000-03-27,29.44,29.44,28.5,28.72,1302600.0,28.72,GOOG-H
2000-03-28,29.13,29.13,28.5,28.91,1047300.0,28.91,GOOG-H
2000-03-29,29.13,29.13,28.16,28.81,1065900.0,28.81,GOOG-H
2000-03-30,28.75,31.0,28.75,31.0,1829000.0,31.0,GOOG-H
2000-03-31,30.0,32.25,29.94,31.59,2551100.0,31.59,GOOG-H
2000-04-03,31.59,31.94,29.88,30.94,1997800.0,30.94,GOOG-H
2000-04-04,31.5,31.94,29.78,31.59,1379100.0,31.59,GOOG-H
2000-04-05,31.19,31.19,30.25,30.5,1131200.0,30.5,GOOG-H
2000-04-06,30.53,31.31,30.38,30.75,1089000.0,30.75,GOOG-H
2000-04-07,30.53,30.91,30.13,30.47,1074500.0,30.47,GOOG-H
2000-04-10,30.47,32.0,30.44,32.0,1674300.0,32.0,GOOG-H
2000-04-11,31.44,32.88,31.38,32.13,1965400.0,32.13,GOOG-H
2000-04-12,31.44,32.56,31.38,32.16,2176500.0,32.16,GOOG-H
2000-04-13,31.44,32.34,30.41,30.44,2156300.0,30.44,GOOG-H
2000-04-14,28.56,29.5,28.06,28.31,2390800.0,28.31,GOOG-H
2000-04-17,28.81,29.84,28.81,29.78,1269200.0,29.78,GOOG-H
2000-04-18,28.56,30.19,28.44,29.03,1109100.0,29.03,GOOG-H
2000-04-19,29.56,31.22,29.44,30.44,1294400.0,30.44,GOOG-H
2000-04-20,30.0,32.31,30.0,32.03,1961500.0,32.03,GOOG-H
2000-04-24,32.5,33.0,32.0,32.44,2457300.0,32.44,GOOG-H
2000-04-25,32.5,32.81,31.66,32.28,1503700.0,32.28,GOOG-H
2000-04-26,32.09,32.22,30.31,30.31,1575400.0,30.31,GOOG-H
2000-04-27,31.41,31.41,30.0,31.0,1049200.0,31.0,GOOG-H
2000-04-28,31.44,31.44,30.56,31.09,588300.0,31.09,GOOG-H
2000-05-01,30.72,31.81,30.5,31.0,1017900.0,31.0,GOOG-H
2000-05-02,31.22,31.94,30.78,31.38,1246000.0,31.38,GOOG-H
2000-05-03,30.63,31.09,30.28,30.66,655400.0,30.66,GOOG-H
2000-05-04,30.72,31.13,30.09,30.88,1473000.0,30.88,GOOG-H
2000-05-05,31.0,32.97,30.81,32.66,1406500.0,32.66,GOOG-H
2000-05-08,31.0,33.47,30.97,31.13,1711600.0,31.13,GOOG-H
2000-05-09,31.19,31.75,30.78,31.25,1005900.0,31.25,GOOG-H
2000-05-10,31.47,31.75,29.5,29.88,1934200.0,29.88,GOOG-H
2000-05-11,30.81,32.22,30.69,31.75,1153500.0,31.75,GOOG-H
2000-05-12,31.81,32.44,31.44,32.13,1114500.0,32.13,GOOG-H
2000-05-15,31.75,32.47,31.75,32.03,978000.0,32.03,GOOG-H
2000-05-16,32.16,33.22,32.16,33.09,920900.0,33.09,GOOG-H
2000-05-17,32.88,32.88,32.31,32.59,1004500.0,32.59,GOOG-H
2000-05-18,32.47,32.94,32.19,32.31,838400.0,32.31,GOOG-H
2000-05-19,31.75,31.94,30.81,31.19,1010700.0,31.19,GOOG-H
2000-05-22,31.75,31.94,30.81,30.97,1639700.0,30.97,GOOG-H
2000-05-23,31.22,31.22,30.25,30.41,1467700.0,30.41,GOOG-H
2000-05-24,30.94,30.94,29.53,29.94,2146300.0,29.94,GOOG-H
2000-05-25,29.5,29.72,29.22,29.69,1548300.0,29.69,GOOG-H
2000-05-26,30.06,30.06,29.19,29.47,765300.0,29.47,GOOG-H
2000-05-30,29.78,29.78,28.88,29.5,1599200.0,29.5,GOOG-H
2000-05-31,30.06,30.69,29.34,30.22,1275500.0,30.22,GOOG-H
2000-06-01,29.5,30.94,29.03,30.84,1423100.0,30.84,GOOG-H
2000-06-02,31.56,32.31,31.34,31.56,1397400.0,31.56,GOOG-H
2000-06-05,29.91,30.78,29.91,30.38,1130300.0,30.38,GOOG-H
2000-06-06,30.38,30.97,30.06,30.78,872300.0,30.78,GOOG-H
2000-06-07,30.38,31.09,29.94,30.0,915400.0,30.0,GOOG-H
2000-06-08,29.0,29.13,28.0,28.47,3228700.0,28.47,GOOG-H
2000-06-09,29.0,29.66,28.0,29.34,1729900.0,29.34,GOOG-H
2000-06-12,29.38,29.56,29.13,29.16,815300.0,29.16,GOOG-H
2000-06-13,29.38,29.41,28.5,28.59,1272700.0,28.59,GOOG-H
2000-06-14,29.0,30.13,29.0,29.88,1413800.0,29.88,GOOG-H
2000-06-15,29.91,30.88,29.47,29.81,959400.0,29.81,GOOG-H
2000-06-16,29.56,30.13,29.09,29.44,1723600.0,29.44,GOOG-H
2000-06-19,29.63,29.66,28.16,28.69,1971700.0,28.69,GOOG-H
2000-06-20,28.5,28.5,27.56,27.78,2381100.0,27.78,GOOG-H
2000-06-21,28.56,28.72,27.69,28.44,1223200.0,28.44,GOOG-H
2000-06-22,28.56,28.72,27.81,28.25,1158100.0,28.25,GOOG-H
2000-06-23,28.56,28.63,27.91,28.53,686800.0,28.53,GOOG-H
2000-06-26,28.56,29.0,28.25,28.53,625100.0,28.53,GOOG-H
2000-06-27,28.5,29.06,28.16,28.25,1200200.0,28.25,GOOG-H
2000-06-28,28.25,28.81,28.09,28.34,1099300.0,28.34,GOOG-H
2000-06-29,28.03,28.06,27.09,27.25,1590400.0,27.25,GOOG-H
2000-06-30,27.47,29.44,27.0,29.44,2325700.0,29.44,GOOG-H
