DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,12.28,12.6,11.8,12.23,0.0,12.23,GOOG-Q
2018-09-27,12.21,13.13,11.55,12.9,0.0,12.9,GOOG-Q
2018-10-02,11.99,12.4,11.57,12.44,0.0,12.44,GOOG-Q
2018-10-03,11.66,12.14,11.34,11.61,0.0,11.61,GOOG-Q
2018-10-04,12.84,15.84,12.42,14.22,0.0,14.22,GOOG-Q
2018-10-05,14.29,17.36,11.72,14.82,0.0,14.82,GOOG-Q
2018-10-08,16.05,18.38,15.69,15.69,0.0,15.69,GOOG-Q
2018-10-09,16.12,17.49,15.27,15.95,0.0,15.95,GOOG-Q
2018-10-10,16.12,17.49,15.27,15.95,0.0,15.95,GOOG-Q
2018-10-11,23.07,24.52,21.07,21.61,0.0,21.61,GOOG-Q
2018-10-12,21.63,26.8,20.88,21.31,0.0,21.31,GOOG-Q
2018-10-15,21.97,22.89,19.47,21.3,0.0,21.3,GOOG-Q
2018-10-16,20.28,20.56,17.55,17.62,0.0,17.62,GOOG-Q
