DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,54.76,54.97,54.31,54.32,0.0,54.32,GOOG-Q
2018-09-26,54.32,54.5,53.63,53.66,0.0,53.66,GOOG-Q
2018-10-01,54.3,54.49,53.88,53.98,0.0,53.98,GOOG-Q
2018-10-02,54.02,54.37,53.62,53.64,0.0,53.64,GOOG-Q
2018-10-03,53.57,53.74,52.29,52.86,2574113.0,52.86,GOOG-Q
2018-10-04,52.46,52.96,51.8,52.89,75.0,52.89,GOOG-Q
2018-10-05,52.93,53.57,52.83,53.0,0.0,53.0,GOOG-Q
2018-10-08,53.24,54.33,53.05,53.9,2883533.0,53.9,GOOG-Q
2018-10-09,53.95,54.44,53.44,54.36,0.0,54.36,GOOG-Q
2018-10-10,54.37,55.38,54.18,54.9,0.0,54.9,GOOG-Q
2018-10-11,55.01,55.04,53.34,53.36,0.0,53.36,GOOG-Q
2018-10-12,53.62,53.82,52.8,53.31,0.0,53.31,GOOG-Q
2018-10-15,53.38,54.39,53.26,53.88,2127458.0,53.88,GOOG-Q
2018-10-16,53.91,55.33,53.6,55.16,3205811.0,55.16,GOOG-Q
2018-10-17,55.09,55.58,55.01,55.34,2026832.0,55.34,GOOG-Q
2018-10-18,55.42,55.82,55.27,55.34,0.0,55.34,GOOG-Q
2018-10-19,55.36,56.17,55.24,55.94,0.0,55.94,GOOG-Q
2018-10-22,56.14,56.63,54.38,54.48,0.0,54.48,GOOG-Q
2018-10-23,54.59,55.92,54.57,55.44,0.0,55.44,GOOG-Q
2018-10-26,57.25,58.17,56.08,56.79,4342462.0,56.79,GOOG-Q
2018-10-29,57.0,57.46,56.69,57.26,0.0,57.26,GOOG-Q
2018-10-31,58.77,58.77,57.09,58.04,4012308.0,58.04,GOOG-Q
2018-11-01,58.17,58.61,57.51,58.11,2610532.0,58.11,GOOG-Q
2018-11-02,57.79,57.79,55.64,56.59,3015300.0,56.59,GOOG-Q
