DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,20.16,20.19,19.0,19.56,3872400.0,19.56,GOOG-H
2000-01-04,18.63,18.84,18.0,18.47,6607400.0,18.47,GOOG-H
2000-01-05,18.63,18.88,18.03,18.41,3486500.0,18.41,GOOG-H
2000-01-06,18.53,19.5,18.5,19.22,3567600.0,19.22,GOOG-H
2000-01-07,19.63,19.81,19.28,19.56,3307700.0,19.56,GOOG-H
2000-01-10,19.19,19.25,18.88,19.0,3906500.0,19.0,GOOG-H
2000-01-11,18.91,19.0,18.53,18.63,2608800.0,18.63,GOOG-H
2000-01-12,18.66,19.31,18.66,19.16,3032600.0,19.16,GOOG-H
2000-01-13,19.84,20.25,19.84,20.22,4790400.0,20.22,GOOG-H
2000-01-14,21.88,21.88,20.56,20.84,5237500.0,20.84,GOOG-H
2000-01-18,20.13,20.13,19.25,19.44,5349500.0,19.44,GOOG-H
2000-01-19,19.19,19.47,18.25,18.41,7731800.0,18.41,GOOG-H
2000-01-20,18.41,18.66,17.91,18.19,6602100.0,18.19,GOOG-H
2000-01-21,18.25,18.78,18.03,18.25,5494100.0,18.25,GOOG-H
2000-01-24,18.03,18.13,17.72,17.94,3110400.0,17.94,GOOG-H
2000-01-25,17.91,19.0,17.91,18.81,4657500.0,18.81,GOOG-H
2000-01-26,18.72,19.25,18.5,19.13,5593200.0,19.13,GOOG-H
2000-01-27,19.09,19.88,19.09,19.66,4317000.0,19.66,GOOG-H
2000-01-28,19.44,19.56,19.13,19.38,3603700.0,19.38,GOOG-H
2000-01-31,19.16,20.0,19.16,20.0,4094800.0,20.0,GOOG-H
2000-02-01,20.0,20.34,19.94,20.22,4006000.0,20.22,GOOG-H
2000-02-02,20.22,20.22,19.5,19.5,3027200.0,19.5,GOOG-H
2000-02-03,19.66,19.78,19.03,19.44,4691900.0,19.44,GOOG-H
2000-02-04,19.56,19.56,19.22,19.28,2782500.0,19.28,GOOG-H
2000-02-07,19.13,19.31,19.0,19.09,3380700.0,19.09,GOOG-H
2000-02-08,19.16,19.78,19.16,19.47,2790100.0,19.47,GOOG-H
2000-02-09,19.22,19.25,18.91,18.94,3550400.0,18.94,GOOG-H
2000-02-10,18.94,19.03,18.34,18.38,4680000.0,18.38,GOOG-H
2000-02-11,18.84,19.31,18.56,18.94,4543700.0,18.94,GOOG-H
2000-02-14,19.19,19.31,18.81,18.94,3631300.0,18.94,GOOG-H
2000-02-15,18.69,18.97,18.41,18.84,3356300.0,18.84,GOOG-H
2000-02-16,18.69,18.97,18.0,18.19,3353200.0,18.19,GOOG-H
2000-02-17,18.53,18.53,17.19,17.5,3913700.0,17.5,GOOG-H
2000-02-18,18.53,18.53,16.38,16.75,8725700.0,16.75,GOOG-H
2000-02-22,16.88,17.22,16.38,17.13,4432800.0,17.13,GOOG-H
2000-02-23,17.13,17.31,16.38,16.53,3780700.0,16.53,GOOG-H
2000-02-24,16.78,16.78,16.13,16.44,4091200.0,16.44,GOOG-H
2000-02-25,16.59,16.94,16.13,16.34,3394400.0,16.34,GOOG-H
2000-02-28,16.69,17.28,16.5,17.06,3635100.0,17.06,GOOG-H
2000-02-29,17.06,17.09,16.31,16.53,5562800.0,16.53,GOOG-H
2000-03-01,16.53,17.47,16.53,17.34,4858900.0,17.34,GOOG-H
2000-03-02,16.72,17.81,16.72,16.97,4652500.0,16.97,GOOG-H
2000-03-03,17.31,17.44,17.03,17.34,3526600.0,17.34,GOOG-H
2000-03-06,17.34,17.75,17.25,17.31,3267900.0,17.31,GOOG-H
2000-03-07,17.34,17.34,16.31,16.44,3454700.0,16.44,GOOG-H
2000-03-08,16.41,16.97,16.13,16.66,3977600.0,16.66,GOOG-H
2000-03-09,17.16,17.16,16.16,16.5,4009700.0,16.5,GOOG-H
2000-03-10,16.5,16.63,16.0,16.09,3517800.0,16.09,GOOG-H
2000-03-13,15.88,16.47,15.72,16.31,3509300.0,16.31,GOOG-H
2000-03-14,16.06,16.28,16.06,16.13,2298900.0,16.13,GOOG-H
2000-03-15,16.0,17.59,16.0,17.5,6402100.0,17.5,GOOG-H
2000-03-16,17.75,19.34,17.75,19.25,8031400.0,19.25,GOOG-H
2000-03-17,19.06,19.78,19.06,19.28,5999700.0,19.28,GOOG-H
2000-03-20,19.25,19.28,18.72,18.97,4614700.0,18.97,GOOG-H
2000-03-21,18.84,19.94,18.84,19.78,4832000.0,19.78,GOOG-H
2000-03-22,19.72,20.13,19.59,20.0,4096200.0,20.0,GOOG-H
2000-03-23,19.72,20.97,19.59,20.72,5207600.0,20.72,GOOG-H
2000-03-24,20.69,21.31,20.38,20.5,4657600.0,20.5,GOOG-H
2000-03-27,20.69,20.84,20.13,20.25,5104900.0,20.25,GOOG-H
2000-03-28,20.63,20.63,20.16,20.34,4706200.0,20.34,GOOG-H
2000-03-29,20.28,20.28,19.41,19.72,4745700.0,19.72,GOOG-H
2000-03-30,20.31,20.31,19.59,19.59,4169300.0,19.59,GOOG-H
2000-03-31,19.72,20.66,19.38,20.47,4519100.0,20.47,GOOG-H
2000-04-03,20.47,22.19,20.31,21.84,6643600.0,21.84,GOOG-H
2000-04-04,21.84,22.75,21.03,21.72,7214100.0,21.72,GOOG-H
2000-04-05,21.72,21.72,20.81,21.22,3742400.0,21.22,GOOG-H
2000-04-06,20.75,20.97,19.81,20.28,5871000.0,20.28,GOOG-H
2000-04-07,20.22,20.22,19.81,19.88,4142900.0,19.88,GOOG-H
2000-04-10,19.0,20.06,18.94,19.78,6586600.0,19.78,GOOG-H
2000-04-11,19.66,20.69,19.66,20.22,4740700.0,20.22,GOOG-H
2000-04-12,20.59,21.38,20.47,21.0,5825100.0,21.0,GOOG-H
2000-04-13,20.59,21.38,20.59,20.91,4011800.0,20.91,GOOG-H
2000-04-14,20.88,20.88,19.25,19.41,5410300.0,19.41,GOOG-H
2000-04-17,19.69,20.03,19.25,19.69,3844300.0,19.69,GOOG-H
2000-04-18,19.44,20.72,19.41,20.41,3524400.0,20.41,GOOG-H
2000-04-19,20.38,20.53,20.09,20.38,2599100.0,20.38,GOOG-H
2000-04-20,20.91,21.13,20.47,20.91,3119800.0,20.91,GOOG-H
2000-04-24,20.91,21.56,20.88,21.34,2946800.0,21.34,GOOG-H
2000-04-25,21.5,22.28,21.5,21.53,3453700.0,21.53,GOOG-H
2000-04-26,21.53,22.0,21.53,21.53,3084700.0,21.53,GOOG-H
2000-04-27,21.03,21.19,20.81,21.03,3743700.0,21.03,GOOG-H
2000-04-28,21.03,21.31,20.53,20.53,3630900.0,20.53,GOOG-H
2000-05-01,20.56,20.97,20.34,20.56,4016100.0,20.56,GOOG-H
2000-05-02,20.53,20.97,20.41,20.69,2990400.0,20.69,GOOG-H
2000-05-03,20.59,20.88,20.19,20.28,3401700.0,20.28,GOOG-H
2000-05-04,20.31,20.53,19.78,19.88,2760700.0,19.88,GOOG-H
2000-05-05,19.81,20.22,19.81,19.94,2073100.0,19.94,GOOG-H
2000-05-08,19.81,20.88,19.75,20.63,2510700.0,20.63,GOOG-H
2000-05-09,20.69,21.09,20.56,20.72,2515600.0,20.72,GOOG-H
2000-05-10,20.75,20.97,20.59,20.81,3209100.0,20.81,GOOG-H
2000-05-11,21.13,21.75,21.13,21.25,2428300.0,21.25,GOOG-H
2000-05-12,21.16,22.28,21.16,21.84,3582200.0,21.84,GOOG-H
2000-05-15,22.44,22.5,21.88,22.44,2774400.0,22.44,GOOG-H
2000-05-16,21.69,22.5,21.69,21.81,3173100.0,21.81,GOOG-H
2000-05-17,21.53,21.84,21.28,21.47,2149200.0,21.47,GOOG-H
2000-05-18,21.53,22.16,21.44,21.59,2032900.0,21.59,GOOG-H
2000-05-19,21.53,21.72,21.09,21.56,2129000.0,21.56,GOOG-H
2000-05-22,21.53,22.13,21.38,21.94,1725100.0,21.94,GOOG-H
2000-05-23,21.94,22.56,21.84,22.41,3061700.0,22.41,GOOG-H
2000-05-24,22.41,22.81,22.09,22.25,6353000.0,22.25,GOOG-H
2000-05-25,22.13,22.22,21.38,21.94,2566400.0,21.94,GOOG-H
2000-05-26,22.13,22.5,21.78,22.06,2426600.0,22.06,GOOG-H
2000-05-30,22.13,22.5,21.91,22.5,2693500.0,22.5,GOOG-H
2000-05-31,22.5,22.75,22.31,22.63,3187400.0,22.63,GOOG-H
2000-06-01,22.63,23.41,22.53,22.97,5657100.0,22.97,GOOG-H
2000-06-02,23.5,23.88,23.38,23.88,3560800.0,23.88,GOOG-H
2000-06-05,23.5,23.88,22.44,22.56,3562300.0,22.56,GOOG-H
2000-06-06,22.59,22.59,21.81,22.47,2340600.0,22.47,GOOG-H
2000-06-07,22.34,22.97,22.28,22.75,1963100.0,22.75,GOOG-H
2000-06-08,22.63,22.69,21.91,22.41,1716300.0,22.41,GOOG-H
2000-06-09,22.59,22.59,21.41,21.59,2117200.0,21.59,GOOG-H
2000-06-12,21.88,22.19,21.75,22.0,1529800.0,22.0,GOOG-H
2000-06-13,21.88,21.97,21.53,21.88,1913500.0,21.88,GOOG-H
2000-06-14,21.88,22.38,21.69,22.19,2326200.0,22.19,GOOG-H
2000-06-15,21.88,22.0,20.66,21.0,6601100.0,21.0,GOOG-H
2000-06-16,20.88,20.88,18.69,19.16,10852600.0,19.16,GOOG-H
2000-06-19,19.16,20.22,19.09,20.13,5107300.0,20.13,GOOG-H
2000-06-20,20.06,20.28,19.53,19.56,4370100.0,19.56,GOOG-H
2000-06-21,19.59,19.63,19.03,19.16,3182100.0,19.16,GOOG-H
2000-06-22,19.5,19.94,19.31,19.91,3069100.0,19.91,GOOG-H
2000-06-23,19.94,20.13,19.66,19.72,1691400.0,19.72,GOOG-H
2000-06-26,19.91,20.34,19.78,20.06,1662600.0,20.06,GOOG-H
2000-06-27,20.38,20.94,20.38,20.5,3095700.0,20.5,GOOG-H
2000-06-28,20.38,21.19,20.38,20.53,3021800.0,20.53,GOOG-H
2000-06-29,20.25,20.63,20.25,20.38,3396100.0,20.38,GOOG-H
2000-06-30,20.25,20.44,19.38,19.38,4238200.0,19.38,GOOG-H
2000-07-03,20.13,20.41,19.94,20.34,1582600.0,20.34,GOOG-H
2000-07-05,20.5,21.13,20.5,20.72,2782600.0,20.72,GOOG-H
2000-07-06,20.88,21.44,20.31,21.25,2521300.0,21.25,GOOG-H
2000-07-07,21.47,21.94,21.38,21.38,3872800.0,21.38,GOOG-H
2000-07-10,21.47,21.81,21.31,21.31,2346200.0,21.31,GOOG-H
2000-07-11,21.47,21.69,21.19,21.53,2341700.0,21.53,GOOG-H
2000-07-12,21.78,22.03,21.41,21.56,2661900.0,21.56,GOOG-H
2000-07-13,21.63,21.84,21.03,21.34,2367700.0,21.34,GOOG-H
2000-07-14,21.38,21.94,21.31,21.84,2293700.0,21.84,GOOG-H
2000-07-17,21.53,22.0,21.53,21.69,2169400.0,21.69,GOOG-H
2000-07-18,21.31,21.31,20.84,21.03,3601600.0,21.03,GOOG-H
2000-07-19,21.03,21.19,20.91,21.09,2447700.0,21.09,GOOG-H
2000-07-20,21.03,21.72,20.91,21.66,3069100.0,21.66,GOOG-H
2000-07-21,21.66,21.72,21.0,21.19,2560000.0,21.19,GOOG-H
2000-07-24,21.44,21.44,20.91,20.91,2301300.0,20.91,GOOG-H
2000-07-25,21.25,21.25,20.78,20.97,1562500.0,20.97,GOOG-H
2000-07-26,20.66,20.66,20.5,20.5,2387700.0,20.5,GOOG-H
2000-07-27,21.06,21.06,20.78,21.0,2288300.0,21.0,GOOG-H
2000-07-28,20.56,20.91,20.44,20.75,2197200.0,20.75,GOOG-H
2000-07-31,20.97,21.0,20.53,20.66,2464100.0,20.66,GOOG-H
2000-08-01,20.88,20.91,20.47,20.59,2622400.0,20.59,GOOG-H
2000-08-02,20.72,20.81,20.47,20.72,2104600.0,20.72,GOOG-H
2000-08-03,20.69,22.03,20.59,21.91,4817800.0,21.91,GOOG-H
2000-08-04,22.09,22.38,21.97,22.09,5259600.0,22.09,GOOG-H
2000-08-07,22.22,22.44,21.81,22.25,3127200.0,22.25,GOOG-H
2000-08-08,22.41,22.41,21.78,22.09,2037500.0,22.09,GOOG-H
2000-08-09,22.13,22.53,21.59,22.41,3439700.0,22.41,GOOG-H
2000-08-10,22.44,22.78,22.16,22.38,2938700.0,22.38,GOOG-H
2000-08-11,22.34,22.69,22.25,22.5,1934800.0,22.5,GOOG-H
2000-08-14,22.44,22.75,22.09,22.63,1358400.0,22.63,GOOG-H
2000-08-15,22.44,22.5,21.81,22.22,2105200.0,22.22,GOOG-H
2000-08-16,22.34,22.44,21.97,22.06,1909000.0,22.06,GOOG-H
2000-08-17,22.16,22.47,22.0,22.28,2258400.0,22.28,GOOG-H
2000-08-18,22.22,22.34,22.09,22.13,2126000.0,22.13,GOOG-H
2000-08-21,22.0,22.25,21.94,22.19,1613700.0,22.19,GOOG-H
2000-08-22,22.22,22.91,22.09,22.78,3193300.0,22.78,GOOG-H
