DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,68.38,68.94,65.5,66.81,6383000.0,66.81,GOOG-H
2000-01-04,64.38,65.75,64.19,64.38,5377000.0,64.38,GOOG-H
2000-01-05,63.88,64.31,62.19,63.0,5410800.0,63.0,GOOG-H
2000-01-06,63.0,64.56,62.75,63.69,5360500.0,63.69,GOOG-H
2000-01-07,65.0,68.94,64.56,68.5,6429200.0,68.5,GOOG-H
2000-01-10,67.25,67.5,65.63,67.06,4790700.0,67.06,GOOG-H
2000-01-11,67.06,67.69,65.69,66.25,3877200.0,66.25,GOOG-H
2000-01-12,66.19,66.69,65.06,65.06,3143200.0,65.06,GOOG-H
2000-01-13,66.13,66.13,65.06,65.13,4226900.0,65.13,GOOG-H
2000-01-14,65.94,65.94,64.56,64.56,4833600.0,64.56,GOOG-H
2000-01-18,63.19,66.44,63.06,65.63,5101600.0,65.63,GOOG-H
2000-01-19,65.25,65.81,64.0,64.06,3761600.0,64.06,GOOG-H
2000-01-20,65.25,65.81,62.5,63.0,4522300.0,63.0,GOOG-H
2000-01-21,63.94,63.94,62.06,62.5,6006000.0,62.5,GOOG-H
2000-01-24,63.06,63.31,57.56,58.81,5787500.0,58.81,GOOG-H
2000-01-25,59.81,61.19,59.56,60.69,5127300.0,60.69,GOOG-H
2000-01-26,61.13,62.06,60.0,61.94,3873200.0,61.94,GOOG-H
2000-01-27,61.31,61.5,57.88,59.38,5872700.0,59.38,GOOG-H
2000-01-28,61.31,61.5,53.5,54.56,10716500.0,54.56,GOOG-H
2000-01-31,54.56,55.44,54.25,54.75,6453200.0,54.75,GOOG-H
2000-02-01,55.0,59.5,54.94,58.69,6746800.0,58.69,GOOG-H
2000-02-02,58.88,60.06,58.0,58.38,4868500.0,58.38,GOOG-H
2000-02-03,58.81,58.81,56.5,57.0,5640600.0,57.0,GOOG-H
2000-02-04,58.81,58.81,56.0,56.25,5022700.0,56.25,GOOG-H
2000-02-07,56.63,56.63,54.63,55.38,4514700.0,55.38,GOOG-H
2000-02-08,57.31,59.69,56.88,59.06,6493800.0,59.06,GOOG-H
2000-02-09,60.0,60.0,57.31,57.44,5905400.0,57.44,GOOG-H
2000-02-10,57.63,58.38,56.81,57.44,3464000.0,57.44,GOOG-H
2000-02-11,57.44,57.44,55.63,56.06,3664100.0,56.06,GOOG-H
2000-02-14,56.69,58.0,56.69,57.94,4576900.0,57.94,GOOG-H
2000-02-15,56.94,57.38,55.06,56.81,7416000.0,56.81,GOOG-H
2000-02-16,56.5,56.5,52.75,52.88,10160700.0,52.88,GOOG-H
2000-02-17,52.94,53.19,48.0,48.94,17909500.0,48.94,GOOG-H
2000-02-18,48.5,49.5,47.25,47.75,15073500.0,47.75,GOOG-H
2000-02-22,49.25,49.31,46.75,48.19,9013800.0,48.19,GOOG-H
2000-02-23,48.44,48.44,46.75,47.13,10866700.0,47.13,GOOG-H
2000-02-24,46.5,46.5,43.5,44.38,14707300.0,44.38,GOOG-H
2000-02-25,44.31,45.25,43.69,44.13,12191700.0,44.13,GOOG-H
2000-02-28,44.56,46.94,44.56,45.81,13027000.0,45.81,GOOG-H
2000-02-29,47.94,49.75,47.94,48.69,17101100.0,48.69,GOOG-H
2000-03-01,47.94,49.69,47.63,48.81,7587200.0,48.81,GOOG-H
2000-03-02,50.44,50.56,50.44,50.56,10979600.0,50.56,GOOG-H
2000-03-03,52.13,53.25,51.5,52.63,8053600.0,52.63,GOOG-H
2000-03-06,52.63,52.63,48.63,49.63,7325200.0,49.63,GOOG-H
2000-03-07,49.63,49.63,47.5,47.56,6599300.0,47.56,GOOG-H
2000-03-08,49.31,49.31,45.75,48.31,7400800.0,48.31,GOOG-H
2000-03-09,49.0,49.44,46.94,48.94,6328900.0,48.94,GOOG-H
2000-03-10,49.0,49.44,47.44,47.94,5478200.0,47.94,GOOG-H
2000-03-13,46.25,47.94,45.94,47.31,5763500.0,47.31,GOOG-H
2000-03-14,47.0,48.81,46.38,47.81,6471200.0,47.81,GOOG-H
2000-03-15,47.44,51.94,46.69,51.38,11345800.0,51.38,GOOG-H
2000-03-16,54.94,55.56,51.75,54.94,14463600.0,54.94,GOOG-H
2000-03-17,54.56,56.25,54.38,55.69,10477500.0,55.69,GOOG-H
2000-03-20,55.81,55.81,53.38,55.13,5150700.0,55.13,GOOG-H
2000-03-21,55.44,56.5,54.5,56.5,6479000.0,56.5,GOOG-H
2000-03-22,55.44,56.5,54.06,55.69,8093700.0,55.69,GOOG-H
2000-03-23,54.38,54.5,53.56,54.0,5439700.0,54.0,GOOG-H
2000-03-24,54.44,55.63,54.06,55.19,6430700.0,55.19,GOOG-H
2000-03-27,54.44,55.5,54.25,55.44,4712100.0,55.44,GOOG-H
2000-03-28,54.56,55.94,54.56,54.81,4679200.0,54.81,GOOG-H
2000-03-29,55.44,59.38,55.44,59.13,10612900.0,59.13,GOOG-H
2000-03-30,59.25,60.5,59.13,59.25,9481100.0,59.25,GOOG-H
2000-03-31,55.5,60.5,55.5,55.5,7815500.0,55.5,GOOG-H
2000-04-03,56.63,61.75,56.63,61.69,9720800.0,61.69,GOOG-H
2000-04-04,61.69,63.31,57.5,60.0,10865500.0,60.0,GOOG-H
2000-04-05,59.31,60.13,57.56,58.38,5580800.0,58.38,GOOG-H
2000-04-06,59.31,61.25,58.81,60.94,5992600.0,60.94,GOOG-H
2000-04-07,61.25,61.94,60.75,61.81,3127000.0,61.81,GOOG-H
2000-04-10,61.25,63.69,61.13,63.56,4176600.0,63.56,GOOG-H
2000-04-11,61.56,63.5,61.56,63.38,4383700.0,63.38,GOOG-H
2000-04-12,62.19,64.94,62.19,62.44,5717000.0,62.44,GOOG-H
2000-04-13,62.31,62.31,59.56,60.0,6659400.0,60.0,GOOG-H
2000-04-14,58.0,58.88,55.06,55.06,7073200.0,55.06,GOOG-H
2000-04-17,55.13,56.19,51.88,54.0,7650500.0,54.0,GOOG-H
2000-04-18,54.0,56.31,53.13,54.56,6175400.0,54.56,GOOG-H
