DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,32.91,33.17,32.65,32.7,0.0,32.7,GOOG-Q
2018-09-26,32.79,33.02,32.68,32.72,0.0,32.72,GOOG-Q
2018-10-01,32.35,32.37,31.83,31.87,0.0,31.87,GOOG-Q
2018-10-02,31.81,32.14,31.56,31.98,0.0,31.98,GOOG-Q
2018-10-03,31.92,31.93,30.65,30.9,6295716.0,30.9,GOOG-Q
2018-10-04,30.74,30.86,30.2,30.73,0.0,30.73,GOOG-Q
2018-10-05,30.75,30.79,30.18,30.27,0.0,30.27,GOOG-Q
2018-10-08,30.32,30.96,30.26,30.85,3718114.0,30.85,GOOG-Q
2018-10-09,30.9,30.92,30.26,30.53,5.0,30.53,GOOG-Q
2018-10-10,30.27,30.42,29.1,29.1,0.0,29.1,GOOG-Q
2018-10-11,29.06,29.21,28.28,28.5,0.0,28.5,GOOG-Q
2018-10-12,28.66,28.79,27.92,28.08,300.0,28.08,GOOG-Q
2018-10-15,27.98,28.32,27.88,28.02,5070340.0,28.02,GOOG-Q
2018-10-16,28.13,28.84,27.92,28.72,6280607.0,28.72,GOOG-Q
2018-10-17,28.8,28.8,28.09,28.31,3212845.0,28.31,GOOG-Q
2018-10-18,28.12,28.27,27.68,27.86,0.0,27.86,GOOG-Q
2018-10-19,27.93,28.83,27.89,28.54,0.0,28.54,GOOG-Q
2018-10-22,28.55,28.55,27.59,27.61,0.0,27.61,GOOG-Q
2018-10-23,27.52,28.44,27.47,28.35,0.0,28.35,GOOG-Q
2018-10-26,27.77,28.0,26.0,26.49,9087945.0,26.49,GOOG-Q
2018-10-29,26.76,27.74,26.31,26.43,0.0,26.43,GOOG-Q
2018-10-31,26.4,27.09,25.98,26.63,7013243.0,26.63,GOOG-Q
2018-11-01,26.68,27.27,26.54,27.22,4994463.0,27.22,GOOG-Q
2018-11-02,27.35,27.93,27.04,27.53,9590251.0,27.53,GOOG-Q
