DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,39.75,40.38,38.94,39.16,6025500.0,39.16,GOOG-H
2000-01-04,38.69,39.09,38.28,38.41,6612900.0,38.41,GOOG-H
2000-01-05,39.0,40.88,38.91,40.38,7830300.0,40.38,GOOG-H
2000-01-06,40.31,42.88,40.09,42.69,8818000.0,42.69,GOOG-H
2000-01-07,42.97,43.13,42.44,42.47,7291000.0,42.47,GOOG-H
2000-01-10,42.09,42.31,41.78,41.88,3684300.0,41.88,GOOG-H
2000-01-11,41.88,42.63,41.81,42.38,3572100.0,42.38,GOOG-H
2000-01-12,41.88,42.19,41.41,41.75,4716400.0,41.75,GOOG-H
2000-01-13,41.75,43.0,41.56,42.72,5408300.0,42.72,GOOG-H
2000-01-14,42.75,42.75,41.5,41.88,5072800.0,41.88,GOOG-H
2000-01-18,41.38,42.75,41.19,42.28,4911200.0,42.28,GOOG-H
2000-01-19,42.13,42.94,41.84,42.88,6033900.0,42.88,GOOG-H
2000-01-20,42.59,42.63,41.34,41.75,4324500.0,41.75,GOOG-H
2000-01-21,42.0,42.59,41.66,42.5,6529700.0,42.5,GOOG-H
2000-01-24,42.88,43.16,41.53,42.06,4434300.0,42.06,GOOG-H
2000-01-25,42.0,43.06,41.91,42.03,5473700.0,42.03,GOOG-H
2000-01-26,42.03,42.28,41.34,41.66,4185900.0,41.66,GOOG-H
2000-01-27,42.03,42.28,39.88,40.5,4761000.0,40.5,GOOG-H
2000-01-28,40.0,40.5,39.44,39.44,4565300.0,39.44,GOOG-H
2000-01-31,39.31,41.75,38.94,41.75,6637400.0,41.75,GOOG-H
2000-02-01,41.66,41.72,40.69,41.59,4696900.0,41.59,GOOG-H
2000-02-02,41.63,42.44,41.63,42.0,5234000.0,42.0,GOOG-H
2000-02-03,41.72,42.0,40.03,41.13,5053300.0,41.13,GOOG-H
2000-02-04,41.72,42.0,40.03,40.34,4986100.0,40.34,GOOG-H
2000-02-07,39.75,40.63,39.75,40.41,3004100.0,40.41,GOOG-H
2000-02-08,40.5,40.94,39.34,39.47,4084300.0,39.47,GOOG-H
2000-02-09,38.38,38.63,38.0,38.03,5335200.0,38.03,GOOG-H
2000-02-10,38.13,38.84,37.69,37.94,5766300.0,37.94,GOOG-H
2000-02-11,38.0,38.34,36.38,36.94,5452300.0,36.94,GOOG-H
2000-02-14,38.0,38.47,36.38,38.22,4207700.0,38.22,GOOG-H
2000-02-15,38.72,40.28,38.72,39.66,4683500.0,39.66,GOOG-H
2000-02-16,39.5,40.19,39.19,39.59,4449200.0,39.59,GOOG-H
2000-02-17,39.5,39.5,38.66,38.94,5269800.0,38.94,GOOG-H
2000-02-18,38.66,38.69,37.75,38.28,6257300.0,38.28,GOOG-H
2000-02-22,38.13,38.41,37.25,37.81,4773600.0,37.81,GOOG-H
2000-02-23,37.91,37.91,36.56,37.31,3865600.0,37.31,GOOG-H
2000-02-24,36.34,36.69,35.75,36.41,4423000.0,36.41,GOOG-H
2000-02-25,36.28,37.19,35.0,35.5,5218600.0,35.5,GOOG-H
2000-02-28,35.5,37.66,34.94,36.81,5142000.0,36.81,GOOG-H
2000-02-29,36.75,37.81,36.47,37.66,5229100.0,37.66,GOOG-H
2000-03-01,37.69,38.13,36.59,38.03,4491800.0,38.03,GOOG-H
2000-03-02,38.0,38.84,37.78,38.41,4380600.0,38.41,GOOG-H
2000-03-03,38.25,38.25,37.13,37.84,4388400.0,37.84,GOOG-H
2000-03-06,37.0,37.5,36.0,36.47,4644100.0,36.47,GOOG-H
2000-03-07,36.06,40.5,36.0,40.5,9997900.0,40.5,GOOG-H
2000-03-08,38.75,41.0,38.75,39.81,8509900.0,39.81,GOOG-H
2000-03-09,38.75,40.28,38.72,40.25,4821600.0,40.25,GOOG-H
2000-03-10,40.0,40.09,38.16,38.5,4187800.0,38.5,GOOG-H
2000-03-13,38.25,38.97,37.22,37.81,4134300.0,37.81,GOOG-H
2000-03-14,37.56,38.78,37.31,38.66,2980400.0,38.66,GOOG-H
2000-03-15,38.59,39.0,37.34,38.88,5057400.0,38.88,GOOG-H
2000-03-16,39.0,39.97,38.0,39.88,5147400.0,39.88,GOOG-H
2000-03-17,39.0,39.84,38.5,38.56,6951900.0,38.56,GOOG-H
2000-03-20,38.09,38.66,37.16,37.34,4657300.0,37.34,GOOG-H
