DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,6.93,6.93,6.66,6.68,440000.0,6.68,GOOG-H
2000-01-04,6.65,6.73,6.53,6.64,505100.0,6.64,GOOG-H
2000-01-05,6.61,6.64,6.57,6.62,735500.0,6.62,GOOG-H
2000-01-06,6.56,6.62,6.54,6.55,661100.0,6.55,GOOG-H
2000-01-07,6.55,6.55,6.37,6.4,913100.0,6.4,GOOG-H
2000-01-10,6.39,6.74,6.39,6.66,884800.0,6.66,GOOG-H
2000-01-11,6.61,6.74,6.53,6.62,675600.0,6.62,GOOG-H
2000-01-12,6.61,6.74,6.55,6.55,1662600.0,6.55,GOOG-H
2000-01-13,6.63,6.82,6.63,6.65,896200.0,6.65,GOOG-H
2000-01-14,6.65,6.65,6.44,6.47,479700.0,6.47,GOOG-H
2000-01-18,6.38,6.42,6.22,6.28,1173000.0,6.28,GOOG-H
2000-01-19,6.25,6.25,6.0,6.04,1554900.0,6.04,GOOG-H
2000-01-20,6.01,6.01,5.7,5.72,1447700.0,5.72,GOOG-H
2000-01-21,5.72,5.79,5.71,5.73,1109700.0,5.73,GOOG-H
2000-01-24,5.72,5.76,5.58,5.61,705100.0,5.61,GOOG-H
2000-01-25,5.61,5.61,5.33,5.46,1122400.0,5.46,GOOG-H
2000-01-26,5.46,5.49,5.39,5.4,727000.0,5.4,GOOG-H
2000-01-27,5.42,5.49,5.39,5.42,606000.0,5.42,GOOG-H
2000-01-28,5.42,5.49,5.17,5.19,575100.0,5.19,GOOG-H
2000-01-31,5.26,5.28,5.12,5.15,373900.0,5.15,GOOG-H
2000-02-01,5.28,5.75,5.28,5.53,1823700.0,5.53,GOOG-H
2000-02-02,5.39,5.44,5.07,5.2,1494500.0,5.2,GOOG-H
2000-02-03,5.27,5.37,5.26,5.33,579400.0,5.33,GOOG-H
2000-02-04,5.34,5.36,5.27,5.3,638300.0,5.3,GOOG-H
2000-02-07,5.29,5.37,5.24,5.29,667500.0,5.29,GOOG-H
2000-02-08,5.29,5.37,5.24,5.37,665000.0,5.37,GOOG-H
2000-02-09,5.31,5.44,5.22,5.38,828900.0,5.38,GOOG-H
2000-02-10,5.39,5.52,4.84,4.94,2928800.0,4.94,GOOG-H
2000-02-11,4.88,5.1,4.88,5.02,1195600.0,5.02,GOOG-H
2000-02-14,5.1,5.1,4.94,5.04,786400.0,5.04,GOOG-H
2000-02-15,5.01,5.13,4.86,5.1,695200.0,5.1,GOOG-H
2000-02-16,5.08,5.15,4.99,5.04,288500.0,5.04,GOOG-H
2000-02-17,5.08,5.29,4.99,5.29,825100.0,5.29,GOOG-H
2000-02-18,5.21,5.21,5.02,5.02,684700.0,5.02,GOOG-H
2000-02-22,5.07,5.07,4.72,4.85,692300.0,4.85,GOOG-H
2000-02-23,4.94,4.94,4.82,4.82,245700.0,4.82,GOOG-H
2000-02-24,4.77,4.77,4.65,4.67,633400.0,4.67,GOOG-H
2000-02-25,4.67,4.71,4.63,4.65,514000.0,4.65,GOOG-H
2000-02-28,4.66,4.66,4.54,4.62,480700.0,4.62,GOOG-H
2000-02-29,4.69,4.85,4.69,4.79,737800.0,4.79,GOOG-H
2000-03-01,4.77,5.11,4.77,5.07,697000.0,5.07,GOOG-H
2000-03-02,5.04,5.06,4.92,4.98,410900.0,4.98,GOOG-H
2000-03-03,5.04,5.06,4.67,4.7,708200.0,4.7,GOOG-H
2000-03-06,4.79,5.02,4.74,4.98,436700.0,4.98,GOOG-H
2000-03-07,4.85,4.89,4.73,4.75,541700.0,4.75,GOOG-H
2000-03-08,4.83,4.83,4.67,4.75,392200.0,4.75,GOOG-H
2000-03-09,4.8,5.06,4.79,5.02,430500.0,5.02,GOOG-H
2000-03-10,4.94,5.06,4.94,4.99,357200.0,4.99,GOOG-H
2000-03-13,4.9,5.06,4.9,4.95,359800.0,4.95,GOOG-H
2000-03-14,4.95,4.95,4.73,4.76,514500.0,4.76,GOOG-H
2000-03-15,4.81,5.21,4.75,5.12,1257900.0,5.12,GOOG-H
2000-03-16,4.99,5.93,4.95,5.91,1761900.0,5.91,GOOG-H
2000-03-17,5.91,5.91,5.62,5.62,1220300.0,5.62,GOOG-H
2000-03-20,5.62,5.62,5.36,5.42,586300.0,5.42,GOOG-H
2000-03-21,5.58,5.58,5.36,5.52,409600.0,5.52,GOOG-H
2000-03-22,5.35,5.47,5.22,5.25,470900.0,5.25,GOOG-H
2000-03-23,5.2,5.26,5.07,5.25,602400.0,5.25,GOOG-H
2000-03-24,5.3,5.4,5.22,5.36,430400.0,5.36,GOOG-H
2000-03-27,5.38,5.45,5.34,5.34,893500.0,5.34,GOOG-H
2000-03-28,5.34,5.34,5.18,5.3,460900.0,5.3,GOOG-H
2000-03-29,5.27,5.33,5.22,5.25,577800.0,5.25,GOOG-H
2000-03-30,5.3,5.64,5.3,5.63,1010300.0,5.63,GOOG-H
2000-03-31,5.58,5.75,5.4,5.58,560000.0,5.58,GOOG-H
2000-04-03,5.58,5.65,5.3,5.45,574900.0,5.45,GOOG-H
2000-04-04,5.54,5.86,5.46,5.61,951100.0,5.61,GOOG-H
2000-04-05,5.56,5.89,5.56,5.84,916700.0,5.84,GOOG-H
2000-04-06,5.8,5.8,5.62,5.67,1176700.0,5.67,GOOG-H
2000-04-07,5.71,5.72,5.65,5.69,445400.0,5.69,GOOG-H
2000-04-10,5.64,5.79,5.63,5.69,373300.0,5.69,GOOG-H
2000-04-11,5.64,5.89,5.63,5.84,317500.0,5.84,GOOG-H
2000-04-12,5.89,6.16,5.89,6.01,594800.0,6.01,GOOG-H
2000-04-13,5.99,6.0,5.71,5.71,522600.0,5.71,GOOG-H
2000-04-14,5.99,6.0,5.18,5.31,1045800.0,5.31,GOOG-H
2000-04-17,5.43,5.73,5.18,5.43,641800.0,5.43,GOOG-H
2000-04-18,5.44,5.53,5.39,5.44,218800.0,5.44,GOOG-H
2000-04-19,5.33,5.51,5.31,5.33,324900.0,5.33,GOOG-H
2000-04-20,5.28,5.82,5.28,5.76,572000.0,5.76,GOOG-H
2000-04-24,5.28,5.95,5.28,5.94,798200.0,5.94,GOOG-H
2000-04-25,5.97,5.99,5.79,5.97,511200.0,5.97,GOOG-H
2000-04-26,6.19,6.31,5.93,6.19,1122700.0,6.19,GOOG-H
2000-04-27,6.01,6.39,5.82,6.39,1727800.0,6.39,GOOG-H
2000-04-28,6.01,6.39,5.97,6.13,684800.0,6.13,GOOG-H
2000-05-01,6.1,6.15,6.03,6.06,610900.0,6.06,GOOG-H
2000-05-02,6.04,6.18,6.04,6.08,646800.0,6.08,GOOG-H
2000-05-03,6.04,6.1,5.76,5.97,349900.0,5.97,GOOG-H
2000-05-04,6.02,6.02,5.44,5.58,786100.0,5.58,GOOG-H
2000-05-05,5.89,5.89,5.62,5.81,406700.0,5.81,GOOG-H
2000-05-08,5.64,5.79,5.6,5.64,350400.0,5.64,GOOG-H
2000-05-09,5.64,5.67,5.53,5.67,609800.0,5.67,GOOG-H
2000-05-10,5.65,5.73,5.64,5.69,446200.0,5.69,GOOG-H
2000-05-11,5.73,5.91,5.64,5.82,364300.0,5.82,GOOG-H
2000-05-12,5.73,5.83,5.57,5.62,401300.0,5.62,GOOG-H
2000-05-15,5.62,5.73,5.54,5.55,323100.0,5.55,GOOG-H
2000-05-16,5.62,6.0,5.54,5.82,586100.0,5.82,GOOG-H
2000-05-17,5.75,5.9,5.66,5.79,286500.0,5.79,GOOG-H
2000-05-18,5.8,5.93,5.79,5.88,381100.0,5.88,GOOG-H
2000-05-19,5.89,5.89,5.53,5.55,473200.0,5.55,GOOG-H
2000-05-22,5.57,5.57,5.48,5.55,456300.0,5.55,GOOG-H
2000-05-23,5.57,5.75,5.56,5.7,566300.0,5.7,GOOG-H
