DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,7.33,7.42,7.13,7.13,9300.0,7.13,GOOG-H
2000-01-04,7.21,7.25,7.21,7.21,5500.0,7.21,GOOG-H
2000-01-05,7.13,7.13,7.0,7.0,10000.0,7.0,GOOG-H
2000-01-06,7.0,7.17,6.88,7.17,6100.0,7.17,GOOG-H
2000-01-07,7.25,7.25,7.21,7.25,3200.0,7.25,GOOG-H
2000-01-10,7.33,7.46,7.33,7.46,13900.0,7.46,GOOG-H
2000-01-11,7.42,7.42,7.25,7.25,7000.0,7.25,GOOG-H
2000-01-12,7.42,7.42,7.08,7.08,1800.0,7.08,GOOG-H
2000-01-13,7.25,7.25,7.04,7.04,2100.0,7.04,GOOG-H
2000-01-14,7.08,7.08,7.0,7.0,5000.0,7.0,GOOG-H
2000-01-18,7.08,7.08,6.58,6.75,17400.0,6.75,GOOG-H
2000-01-19,6.67,6.71,6.67,6.67,12500.0,6.67,GOOG-H
2000-01-20,6.58,6.58,6.58,6.58,600.0,6.58,GOOG-H
2000-01-21,6.54,6.67,6.54,6.67,1500.0,6.67,GOOG-H
2000-01-24,6.67,6.67,6.58,6.58,700.0,6.58,GOOG-H
2000-01-25,6.67,6.75,6.58,6.75,6100.0,6.75,GOOG-H
2000-01-26,6.67,6.83,6.58,6.83,14800.0,6.83,GOOG-H
2000-01-27,6.75,6.75,6.58,6.58,11200.0,6.58,GOOG-H
2000-01-28,6.75,6.75,6.25,6.33,27300.0,6.33,GOOG-H
2000-01-31,6.25,6.25,6.25,6.25,3400.0,6.25,GOOG-H
2000-02-01,6.17,6.17,6.08,6.17,14900.0,6.17,GOOG-H
2000-02-02,6.13,6.17,6.08,6.08,41600.0,6.08,GOOG-H
2000-02-03,6.38,6.38,6.38,6.38,3400.0,6.38,GOOG-H
2000-02-04,6.13,6.38,6.08,6.38,4000.0,6.38,GOOG-H
2000-02-07,6.13,6.46,6.08,6.42,8600.0,6.42,GOOG-H
2000-02-08,6.38,6.38,6.33,6.33,12200.0,6.33,GOOG-H
2000-02-09,6.38,6.38,5.33,5.79,21800.0,5.79,GOOG-H
2000-02-10,6.38,6.38,5.58,5.58,3100.0,5.58,GOOG-H
2000-02-11,5.42,5.42,5.38,5.42,2100.0,5.42,GOOG-H
2000-02-14,5.0,5.33,5.0,5.21,11200.0,5.21,GOOG-H
2000-02-15,5.08,5.33,5.08,5.13,15800.0,5.13,GOOG-H
2000-02-16,5.0,5.33,4.83,4.83,7100.0,4.83,GOOG-H
2000-02-17,4.71,4.71,4.58,4.71,35600.0,4.71,GOOG-H
2000-02-18,5.42,5.92,5.42,5.63,67200.0,5.63,GOOG-H
2000-02-22,5.33,5.33,5.0,5.21,14700.0,5.21,GOOG-H
2000-02-23,5.25,5.33,5.25,5.29,6600.0,5.29,GOOG-H
2000-02-24,5.33,5.5,5.08,5.08,22900.0,5.08,GOOG-H
2000-02-25,5.08,5.08,4.75,4.96,8700.0,4.96,GOOG-H
2000-02-28,4.75,4.83,4.58,4.83,3200.0,4.83,GOOG-H
2000-02-29,5.08,5.08,4.96,5.08,6000.0,5.08,GOOG-H
2000-03-01,4.92,4.92,4.88,4.88,1800.0,4.88,GOOG-H
2000-03-02,4.88,4.88,4.83,4.88,5600.0,4.88,GOOG-H
2000-03-03,4.96,4.96,4.83,4.96,8500.0,4.96,GOOG-H
2000-03-06,4.88,4.88,4.79,4.79,13900.0,4.79,GOOG-H
2000-03-07,4.88,4.88,4.75,4.75,1700.0,4.75,GOOG-H
2000-03-08,4.83,4.92,4.83,4.88,2400.0,4.88,GOOG-H
2000-03-09,4.88,4.96,4.88,4.96,3800.0,4.96,GOOG-H
2000-03-10,4.88,4.92,4.83,4.83,3800.0,4.83,GOOG-H
2000-03-13,4.75,4.96,4.75,4.88,5500.0,4.88,GOOG-H
2000-03-14,5.25,5.46,5.21,5.38,11800.0,5.38,GOOG-H
2000-03-15,5.13,5.13,4.96,5.13,11800.0,5.13,GOOG-H
2000-03-16,5.13,5.29,5.13,5.25,3200.0,5.25,GOOG-H
2000-03-17,5.17,5.17,5.0,5.0,5100.0,5.0,GOOG-H
2000-03-20,4.88,4.88,4.71,4.71,11100.0,4.71,GOOG-H
2000-03-21,4.88,4.96,4.83,4.83,700.0,4.83,GOOG-H
2000-03-22,4.83,4.88,4.83,4.88,2000.0,4.88,GOOG-H
2000-03-23,4.96,4.96,4.71,4.83,6400.0,4.83,GOOG-H
2000-03-24,4.92,4.92,4.67,4.67,1500.0,4.67,GOOG-H
2000-03-27,4.75,4.75,4.71,4.71,3600.0,4.71,GOOG-H
2000-03-28,4.96,5.08,4.96,4.96,10300.0,4.96,GOOG-H
2000-03-29,5.08,5.08,4.96,4.96,2200.0,4.96,GOOG-H
2000-03-30,4.92,4.92,4.75,4.75,200.0,4.75,GOOG-H
2000-03-31,4.92,4.96,4.75,4.96,7200.0,4.96,GOOG-H
2000-04-03,5.0,5.0,4.92,4.92,2400.0,4.92,GOOG-H
2000-04-04,5.0,5.0,4.25,4.5,41400.0,4.5,GOOG-H
2000-04-05,4.58,4.67,4.5,4.67,9300.0,4.67,GOOG-H
2000-04-06,4.75,4.83,4.75,4.83,6700.0,4.83,GOOG-H
2000-04-07,4.75,4.92,4.75,4.92,6000.0,4.92,GOOG-H
2000-04-10,4.92,4.92,4.92,4.92,1000.0,4.92,GOOG-H
2000-04-11,4.83,4.83,4.71,4.71,4000.0,4.71,GOOG-H
2000-04-12,4.75,4.75,4.67,4.67,9600.0,4.67,GOOG-H
2000-04-13,4.75,5.0,4.67,4.92,9700.0,4.92,GOOG-H
2000-04-14,4.75,5.0,4.58,4.58,7000.0,4.58,GOOG-H
2000-04-17,4.54,4.58,4.04,4.54,14400.0,4.54,GOOG-H
2000-04-18,5.0,5.17,5.0,5.17,9900.0,5.17,GOOG-H
2000-04-19,5.33,5.5,5.33,5.5,17200.0,5.5,GOOG-H
2000-04-20,5.33,5.88,5.33,5.67,7100.0,5.67,GOOG-H
2000-04-24,5.67,5.67,5.5,5.58,3400.0,5.58,GOOG-H
2000-04-25,5.67,5.67,5.67,5.67,1900.0,5.67,GOOG-H
2000-04-26,5.92,6.0,5.88,5.88,20000.0,5.88,GOOG-H
2000-04-27,5.92,6.0,5.88,5.92,1500.0,5.92,GOOG-H
2000-04-28,5.92,6.0,5.88,5.92,3100.0,5.92,GOOG-H
2000-05-01,5.96,6.17,5.88,6.17,1800.0,6.17,GOOG-H
2000-05-03,6.08,6.08,5.42,5.42,4300.0,5.42,GOOG-H
2000-05-04,5.83,5.96,5.79,5.88,14000.0,5.88,GOOG-H
2000-05-05,5.79,5.83,5.75,5.83,4800.0,5.83,GOOG-H
2000-05-08,6.17,6.17,6.04,6.04,29800.0,6.04,GOOG-H
2000-05-09,6.17,6.17,6.08,6.08,48600.0,6.08,GOOG-H
2000-05-10,6.17,6.17,5.88,6.08,18200.0,6.08,GOOG-H
2000-05-11,6.17,6.21,6.13,6.13,93800.0,6.13,GOOG-H
2000-05-12,6.5,6.5,6.42,6.42,105200.0,6.42,GOOG-H
2000-05-15,7.17,7.17,7.17,7.17,198800.0,7.17,GOOG-H
2000-05-16,7.17,7.29,6.96,7.29,74400.0,7.29,GOOG-H
2000-05-17,6.96,6.96,6.88,6.88,18800.0,6.88,GOOG-H
2000-05-18,6.96,6.96,6.92,6.92,19600.0,6.92,GOOG-H
2000-05-19,6.96,7.0,6.92,6.96,13500.0,6.96,GOOG-H
