DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1990-01-02,0.55,0.57,0.55,0.55,13100.0,0.55,GOOG-H
1990-01-03,0.57,0.57,0.55,0.57,5100.0,0.57,GOOG-H
1990-01-04,0.52,0.55,0.52,0.52,41200.0,0.52,GOOG-H
1990-01-05,0.55,0.55,0.52,0.55,19000.0,0.55,GOOG-H
1990-01-08,0.55,0.55,0.53,0.55,2000.0,0.55,GOOG-H
1990-01-09,0.53,0.55,0.53,0.53,12800.0,0.53,GOOG-H
1990-01-10,0.53,0.55,0.53,0.53,25700.0,0.53,GOOG-H
1990-01-11,0.55,0.55,0.53,0.55,30200.0,0.55,GOOG-H
1990-01-12,0.5,0.55,0.5,0.5,28600.0,0.5,GOOG-H
1990-01-15,0.5,0.52,0.5,0.5,22500.0,0.5,GOOG-H
1990-01-16,0.51,0.51,0.49,0.51,27500.0,0.51,GOOG-H
1990-01-17,0.52,0.52,0.49,0.52,78000.0,0.52,GOOG-H
1990-01-19,0.54,0.54,0.51,0.54,90800.0,0.54,GOOG-H
1990-01-22,0.54,0.54,0.52,0.54,24200.0,0.54,GOOG-H
1990-01-23,0.52,0.53,0.52,0.52,6100.0,0.52,GOOG-H
1990-01-24,0.5,0.53,0.48,0.5,38600.0,0.5,GOOG-H
1990-01-25,0.48,0.5,0.48,0.48,22600.0,0.48,GOOG-H
1990-01-26,0.48,0.5,0.48,0.48,19800.0,0.48,GOOG-H
1990-01-29,0.51,0.52,0.5,0.51,31200.0,0.51,GOOG-H
1990-01-30,0.5,0.52,0.5,0.5,26600.0,0.5,GOOG-H
1990-01-31,0.52,0.52,0.5,0.52,44200.0,0.52,GOOG-H
1990-02-01,0.51,0.52,0.51,0.51,7200.0,0.51,GOOG-H
1990-02-02,0.49,0.52,0.49,0.49,101400.0,0.49,GOOG-H
1990-02-05,0.51,0.51,0.49,0.51,7400.0,0.51,GOOG-H
